id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.000473709142586,0.000912408759124,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",2279,2520,173888,1,/html,蘋果日報 | APPLE DAILY 地... 版權所有 不得轉載,0
99,0,body,14,1,1,0.000473709142586,0.0912408759124,0.0,0,0,1920,2122,"rgb(68,68,68)","rgb(255,255,255)",2279,2520,146688,1,/html/body,蘋果日報 | APPLE DAILY 地... 版權所有 不得轉載,0
102,99,div,1,1,8,0.00378967314069,0.0939781021898,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,950,0,/html/body/div[1],,0
103,102,iframe,0,1,8,0.00378967314069,0.0948905109489,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,899,1,/html/body/div[1]/iframe,,0
104,99,div,0,1,9,0.00426338228328,0.095802919708,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,56,0,/html/body/div[2],,0
106,99,noscript,0,1,20,0.00947418285173,0.0976277372263,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",128,132,165,1,/html/body/noscript,"<iframe src=""//www.g...></iframe>",0
108,99,div,3,1,29,0.013737565135,0.0994525547445,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1019,1,/html/body/div[3],,0
109,108,div,2,1,29,0.013737565135,0.100364963504,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,887,1,/html/body/div[3]/div[1],,0
110,109,div,1,1,29,0.013737565135,0.101277372263,0.0,0,-10000,0,300,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,808,1,/html/body/div[3]/div[1]/div,,0
111,110,iframe,0,1,29,0.013737565135,0.102189781022,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,397,1,/html/body/div[3]/div[1]/div/iframe[1],,0
