id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00046992481203,0.000950570342205,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",2738,3009,135280,1,/html,蘋果日報 | APPLE DAILY 地... 版權所有 不得轉載,0
101,0,body,14,1,1,0.00046992481203,0.0969581749049,0.0,0,0,1920,3106,"rgb(68,68,68)","rgb(255,255,255)",2738,3009,107832,1,/html/body,蘋果日報 | APPLE DAILY 地... 版權所有 不得轉載,0
104,101,div,1,1,8,0.00375939849624,0.0998098859316,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,830,0,/html/body/div[1],,0
105,104,iframe,0,1,8,0.00375939849624,0.100760456274,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,779,1,/html/body/div[1]/iframe,,0
106,101,div,0,1,9,0.00422932330827,0.101711026616,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,56,0,/html/body/div[2],,0
108,101,noscript,0,1,20,0.0093984962406,0.1036121673,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",128,132,165,1,/html/body/noscript,"<iframe src=""//www.g...></iframe>",0
110,101,div,3,1,29,0.0136278195489,0.105513307985,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1015,1,/html/body/div[3],,0
111,110,div,2,1,29,0.0136278195489,0.106463878327,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,883,1,/html/body/div[3]/div[1],,0
112,111,div,1,1,29,0.0136278195489,0.107414448669,0.0,0,-10000,0,300,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,804,1,/html/body/div[3]/div[1]/div,,0
113,112,iframe,0,1,29,0.0136278195489,0.108365019011,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,395,1,/html/body/div[3]/div[1]/div/iframe[1],,0
114,112,iframe,0,1,29,0.0136278195489,0.109315589354,0.0,0,-9850,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,398,1,/html/body/div[3]/div[1]/div/iframe[2],,0
115,110,div,1,1,29,0.0136278195489,0.110266159696,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[3]/div[2],,0
116,115,div,0,1,29,0.0136278195489,0.111216730038,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[3]/div[2]/div,,0
120,101,div,7,1,50,0.0234962406015,0.115019011407,0.0,0,0,1920,90,"rgb(68,68,68)","rgb(255,255,255)",56,67,8862,1,/html/body/div[4],蘋果日報 | APPLE DAILY 地...gital香港 台灣,0
121,120,div,6,1,52,0.0244360902256,0.115969581749,0.247395833333,475,0,970,90,"rgb(68,68,68)","rgba(0,0,0,0)",56,67,8794,1,/html/body/div[4]/div,蘋果日報 | APPLE DAILY 地...gital香港 台灣,0
122,121,div,2,1,54,0.0253759398496,0.116920152091,0.247395833333,475,0,970,90,"rgb(68,68,68)","rgba(0,0,0,0)",15,18,240,1,/html/body/div[4]/div/div[1],蘋果日報 | APPLE DAILY,0
123,122,div,1,1,55,0.0258458646617,0.117870722433,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",22,27,120,0,/html/body/div[4]/div/div[1]/div[1],This is a part of NextMedia,0
124,123,a,0,1,55,0.0258458646617,0.118821292776,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",22,27,95,1,/html/body/div[4]/div/div[1]/div[1]/a,This is a part of NextMedia,0
125,122,div,1,1,56,0.0263157894737,0.119771863118,0.247395833333,475,0,134,90,"rgb(68,68,68)","rgb(255,255,255)",15,18,106,1,/html/body/div[4]/div/div[1]/div[2],蘋果日報 | APPLE DAILY,0
126,125,a,0,1,56,0.0263157894737,0.12072243346,0.247395833333,475,0,134,90,"rgb(68,68,68)","rgba(0,0,0,0)",15,18,81,1,/html/body/div[4]/div/div[1]/div[2]/a,蘋果日報 | APPLE DAILY,0
127,121,div,5,1,61,0.0286654135338,0.121673003802,0.380729166667,731,15,120,25,"rgb(68,68,68)","rgba(0,0,0,0)",6,8,4652,1,/html/body/div[4]/div/div[2],地區新聞 ​ ▼,0
128,127,style,0,1,62,0.0291353383459,0.122623574144,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",1006,1146,1173,0,/html/body/div[4]/div/div[2]/style,.target-locale { bac... #3366cc },0
130,127,div,4,1,85,0.0399436090226,0.124524714829,0.380729166667,731,15,120,25,"rgb(102,102,102)","rgba(0,0,0,0)",6,8,1171,1,/html/body/div[4]/div/div[2]/div,地區新聞 ​ ▼,0
131,130,div,3,1,87,0.0408834586466,0.125475285171,0.380729166667,731,15,120,25,"rgb(102,102,102)","rgb(255,255,255)",6,8,721,1,/html/body/div[4]/div/div[2]/div/div[1],地區新聞 ​ ▼,0
132,131,img,0,1,88,0.0413533834586,0.126425855513,0.382291666667,734,18,19,19,"rgb(102,102,102)","rgba(0,0,0,0)",0,0,207,1,/html/body/div[4]/div/div[2]/div/div[1]/img,,0
133,131,span,2,1,89,0.0418233082707,0.127376425856,0.3953125,759,20,91,15,"rgb(102,102,102)","rgba(0,0,0,0)",6,8,449,1,/html/body/div[4]/div/div[2]/div/div[1]/span,地區新聞 ​ ▼,0
134,133,a,1,1,90,0.0422932330827,0.128326996198,0.397395833333,763,20,83,15,"rgb(68,68,68)","rgba(0,0,0,0)",6,8,402,1,/html/body/div[4]/div/div[2]/div/div[1]/span/a,地區新聞 ​ ▼,0
135,134,span,0,1,91,0.0427631578947,0.12927756654,0.397395833333,763,20,52,15,"rgb(68,68,68)","rgba(0,0,0,0)",4,4,17,1,/html/body/div[4]/div/div[2]/div/div[1]/span/a/span[1],地區新聞,0
136,134,img,0,1,92,0.0432330827068,0.130228136882,0.427604166667,821,28,1,1,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,75,1,/html/body/div[4]/div/div[2]/div/div[1]/span/a/img,,0
137,134,span,0,1,93,0.0437030075188,0.131178707224,0.43125,828,20,1,15,"rgb(68,68,68)","rgba(0,0,0,0)",1,1,111,1,/html/body/div[4]/div/div[2]/div/div[1]/span/a/span[2],​,0
138,134,span,0,1,95,0.0446428571429,0.132129277567,0.433854166667,833,20,13,15,"rgb(155,155,155)","rgba(0,0,0,0)",1,1,49,1,/html/body/div[4]/div/div[2]/div/div[1]/span/a/span[3],▼,0
139,130,div,1,1,100,0.046992481203,0.133079847909,0.0,0,0,0,0,"rgb(102,102,102)","rgb(255,255,255)",19,24,343,0,/html/body/div[4]/div/div[2]/div/div[2],› 選擇地區 三藩市 紐約 洛杉磯 其他美國地區,0
140,139,div,0,1,101,0.047462406015,0.134030418251,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",5,6,31,1,/html/body/div[4]/div/div[2]/div/div[2]/div[1],› 選擇地區,0
141,139,div,0,1,102,0.0479323308271,0.134980988593,0.0,0,0,0,0,"rgb(0,0,204)","rgb(255,255,255)",3,3,68,1,/html/body/div[4]/div/div[2]/div/div[2]/div[2],三藩市,0
142,139,div,0,1,103,0.0484022556391,0.135931558935,0.0,0,0,0,0,"rgb(0,0,204)","rgb(255,255,255)",2,2,67,1,/html/body/div[4]/div/div[2]/div/div[2]/div[3],紐約,0
143,139,div,0,1,104,0.0488721804511,0.136882129278,0.0,0,0,0,0,"rgb(0,0,204)","rgb(255,255,255)",3,3,68,1,/html/body/div[4]/div/div[2]/div/div[2]/div[4],洛杉磯,0
144,139,div,0,1,105,0.0493421052632,0.13783269962,0.0,0,0,0,0,"rgb(0,0,204)","rgb(255,255,255)",6,6,71,1,/html/body/div[4]/div/div[2]/div/div[2]/div[5],其他美國地區,0
146,121,div,5,1,180,0.0845864661654,0.139733840304,0.447395833333,859,15,154,24,"rgb(68,68,68)","rgba(0,0,0,0)",16,17,919,1,/html/body/div[4]/div/div[3],Select Language​▼,0
147,146,div,4,1,180,0.0845864661654,0.140684410646,0.447395833333,859,15,154,24,"rgb(102,102,102)","rgba(0,0,0,0)",16,17,849,1,/html/body/div[4]/div/div[3]/div,Select Language​▼,0
148,147,div,3,1,180,0.0845864661654,0.141634980989,0.447395833333,859,15,154,24,"rgb(102,102,102)","rgb(255,255,255)",16,17,782,1,/html/body/div[4]/div/div[3]/div/div,Select Language​▼,0
