id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,19,1,1,8.36890116328e-05,0.000200762899016,0.0,0,0,1920,3364.46875,"rgb(0,0,0)","rgba(0,0,0,0)",4829,5069,300051,1,/html,港文集 以Facebook分享次數（括號...一通車，過往的...,0
32,0,body,18,1,1,8.36890116328e-05,0.00662517566754,0.0,0,0,1920,3364.46875,"rgb(0,0,0)","rgb(255,255,255)",4829,5069,276398,1,/html/body,港文集 以Facebook分享次數（括號...一通車，過往的...,0
33,32,div,3,1,2,0.000167378023266,0.00682593856655,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1011,1,/html/body/div[1],,0
34,33,div,2,1,2,0.000167378023266,0.00702670146557,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,879,1,/html/body/div[1]/div[1],,0
35,34,div,1,1,2,0.000167378023266,0.00722746436459,0.0,0,-10000,0,302,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,800,1,/html/body/div[1]/div[1]/div,,0
36,35,iframe,0,1,2,0.000167378023266,0.0074282272636,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,393,1,/html/body/div[1]/div[1]/div/iframe[1],,0
37,35,iframe,0,1,2,0.000167378023266,0.00762899016262,0.0,0,-9849,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,396,1,/html/body/div[1]/div[1]/div/iframe[2],,0
38,33,div,1,1,2,0.000167378023266,0.00782975306163,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
39,38,div,0,1,2,0.000167378023266,0.00803051596065,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
41,32,div,3,1,10,0.000836890116328,0.00843204175868,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",1192,1255,2587,0,/html/body/div[2],function setAttribut...t); }})();,0
42,41,div,2,1,10,0.000836890116328,0.0086328046577,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",1192,1255,2541,1,/html/body/div[2]/div,function setAttribut...t); }})();,0
44,42,div,1,1,20,0.00167378023266,0.00903433045573,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,989,1,/html/body/div[2]/div/div,,0
45,44,iframe,0,1,20,0.00167378023266,0.00923509335475,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,949,1,/html/body/div[2]/div/div/iframe,,0
49,32,div,17,1,43,0.00359862750021,0.0100381449508,0.181770833333,349,0,1222,3364.46875,"rgb(0,0,0)","rgba(0,0,0,0)",4829,5069,264735,1,/html/body/div[3],港文集 以Facebook分享次數（括號...一通車，過往的...,0
50,49,div,6,1,44,0.00368231651184,0.0102389078498,0.199495442708,383.03125,10,1153.9375,60,"rgb(0,0,0)","rgba(0,0,0,0)",29,30,386,1,/html/body/div[3]/div[1],港文集 以Facebook分享次數（括號內數字）選擇轉載文章,0
51,50,div,5,1,45,0.00376600552347,0.0104396707488,0.199495442708,383.03125,10,1153.9375,56.71875,"rgb(0,51,102)","rgba(0,0,0,0)",29,30,353,1,/html/body/div[3]/div[1]/div,港文集 以Facebook分享次數（括號內數字）選擇轉載文章,0
52,51,div,4,1,45,0.00376600552347,0.0106404336479,0.199495442708,383.03125,10,1153.9375,56.71875,"rgb(0,51,102)","rgba(0,0,0,0)",29,30,307,1,/html/body/div[3]/div[1]/div/div,港文集 以Facebook分享次數（括號內數字）選擇轉載文章,0
53,52,div,3,1,46,0.00384969453511,0.0108411965469,0.199495442708,383.03125,10,1153.9375,56.71875,"rgb(0,51,102)","rgba(0,0,0,0)",29,30,242,1,/html/body/div[3]/div[1]/div/div/div,港文集 以Facebook分享次數（括號內數字）選擇轉載文章,0
54,53,div,2,1,47,0.00393338354674,0.0110419594459,0.199495442708,383.03125,10,1153.9375,43.71875,"rgb(0,51,102)","rgba(0,0,0,0)",3,3,104,1,/html/body/div[3]/div[1]/div/div/div/div[1],港文集,0
55,54,h1,1,1,48,0.00401707255837,0.0112427223449,0.202099609375,388.03125,10,1143.9375,43.71875,"rgb(0,51,102)","rgba(0,0,0,0)",3,3,70,1,/html/body/div[3]/div[1]/div/div/div/div[1]/h1,港文集,0
56,55,a,0,1,49,0.00410076157001,0.0114434852439,0.472631518046,907.452514648,15,104.157470703,32,"rgb(0,51,102)","rgba(0,0,0,0)",3,3,45,1,/html/body/div[3]/div[1]/div/div/div/div[1]/h1/a,港文集,0
57,53,div,2,1,52,0.0043518286049,0.0116442481429,0.199495442708,383.03125,53.71875,1153.9375,13,"rgb(0,51,102)","rgba(0,0,0,0)",26,26,106,1,/html/body/div[3]/div[1]/div/div/div/div[2],以Facebook分享次數（括號內數字）選擇轉載文章,0
58,57,p,1,1,53,0.00443551761654,0.011845011042,0.202099609375,388.03125,53.71875,1143.9375,13,"rgb(18,82,146)","rgba(0,0,0,0)",26,26,66,1,/html/body/div[3]/div[1]/div/div/div/div[2]/p,以Facebook分享次數（括號內數字）選擇轉載文章,0
59,58,span,0,1,53,0.00443551761654,0.012045773941,0.420774586995,807.887207031,53.71875,303.288085938,12,"rgb(18,82,146)","rgba(0,0,0,0)",26,26,39,1,/html/body/div[3]/div[1]/div/div/div/div[2]/p/span,以Facebook分享次數（括號內數字）選擇轉載文章,0
60,49,div,16,1,58,0.0048539626747,0.01224653684,0.186979166667,359,80,1202,3274.46875,"rgb(0,0,0)","rgba(0,0,0,0)",4800,5038,264194,1,/html/body/div[3]/div[2],2017-01-25 練乙錚：氣短集：兩...一通車，過往的...,0
61,60,div,6,1,59,0.00493765168633,0.012447299739,0.199495442708,383.03125,80,1153.9375,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1019,1,/html/body/div[3]/div[2]/div[1],,0
62,61,div,5,1,60,0.00502134069797,0.012648062638,0.199495442708,383.03125,80,1153.9375,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,958,1,/html/body/div[3]/div[2]/div[1]/div,,0
63,62,div,4,1,60,0.00502134069797,0.012848825537,0.199495442708,383.03125,80,1153.9375,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,908,1,/html/body/div[3]/div[2]/div[1]/div/div,,0
64,63,div,1,1,61,0.0051050297096,0.0130495884361,0.199495442708,383.03125,80,1153.9375,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,306,1,/html/body/div[3]/div[2]/div[1]/div/div/div[1],,0
65,64,style,0,1,62,0.00518871872123,0.0132503513351,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",132,148,181,0,/html/body/div[3]/div[2]/div[1]/div/div/div[1]/style,.post-body img { hei...#000000; },0
66,64,noscript,0,1,74,0.00619298686083,0.0134511142341,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",54,55,88,1,/html/body/div[3]/div[2]/div[1]/div/div/div[1]/noscript,<style type='text/cs...e}</style>,0
67,63,div,0,1,76,0.00636036488409,0.0136518771331,0.199495442708,383.03125,80,1153.9375,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,25,1,/html/body/div[3]/div[2]/div[1]/div/div/div[2],,0
68,63,span,3,1,77,0.00644405389572,0.0138526400321,0.800504557292,1536.96875,60,0,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,488,1,/html/body/div[3]/div[2]/div[1]/div/div/span,,0
69,68,span,2,1,78,0.00652774290736,0.0140534029311,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,445,0,/html/body/div[3]/div[2]/div[1]/div/div/span/span,,0
70,69,a,1,1,79,0.00661143191899,0.0142541658302,0.0,0,0,0,0,"rgb(33,86,112)","rgba(0,0,0,0)",0,0,398,1,/html/body/div[3]/div[2]/div[1]/div/div/span/span/a,,0
71,70,img,0,1,80,0.00669512093062,0.0144549287292,0.0,0,0,0,0,"rgb(33,86,112)","rgba(0,0,0,0)",0,0,101,1,/html/body/div[3]/div[2]/div[1]/div/div/span/span/a/img,,0
