id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00315457413249,0.00219298245614,0.0,0,0,1920,9576.75,"rgb(0,0,0)","rgba(0,0,0,0)",24342,25555,58531,1,/html,殖民無間道 這是最好的時代......這...nts (Atom),0
23,0,body,14,1,1,0.00315457413249,0.0526315789474,0.0,0,0,1920,9556.75,"rgb(0,0,0)","rgb(233,214,97)",24342,25555,50501,1,/html/body,殖民無間道 這是最好的時代......這...nts (Atom),0
24,23,div,3,1,2,0.00630914826498,0.0548245614035,0.0,0,0,1920,30,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,3033,1,/html/body/div[1],,0
25,24,div,2,1,2,0.00630914826498,0.0570175438596,0.0,0,0,1920,30,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,2987,1,/html/body/div[1]/div,,0
29,25,div,1,1,12,0.0378548895899,0.0657894736842,0.0,0,0,1920,30,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1004,1,/html/body/div[1]/div/div,,0
30,29,iframe,0,1,12,0.0378548895899,0.0679824561404,0.0,0,0,1923,30,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,964,1,/html/body/div[1]/div/div/iframe,,0
34,23,div,13,1,35,0.110410094637,0.0767543859649,0.025,48,51.4375,1824,9505.3125,"rgb(0,0,0)","rgba(0,0,0,0)",24342,25555,41192,1,/html/body/div[2],殖民無間道 這是最好的時代......這...nts (Atom),0
35,34,div,12,1,36,0.11356466877,0.0789473684211,0.025,48,51.4375,1824,9505.3125,"rgb(0,0,0)","rgba(0,0,0,0)",24342,25555,41160,1,/html/body/div[2]/div,殖民無間道 這是最好的時代......這...nts (Atom),0
36,35,div,4,1,36,0.11356466877,0.0811403508772,0.025,48,51.4375,1824,98,"rgb(0,0,0)","rgba(0,0,0,0)",31,32,312,1,/html/body/div[2]/div/div[1],殖民無間道 這是最好的時代......這是最壞的時代......,0
37,36,div,3,1,37,0.116719242902,0.0833333333333,0.025,48,51.4375,1824,72,"rgb(0,0,0)","rgba(0,0,0,0)",31,32,247,1,/html/body/div[2]/div/div[1]/div,殖民無間道 這是最好的時代......這是最壞的時代......,0
38,37,div,2,1,38,0.119873817035,0.0855263157895,0.025,48,51.4375,1824,37,"rgb(0,0,0)","rgba(0,0,0,0)",5,5,109,1,/html/body/div[2]/div/div[1]/div/div[1],殖民無間道,0
39,38,h1,1,1,39,0.123028391167,0.0877192982456,0.025,48,51.4375,1824,37,"rgb(0,0,0)","rgba(0,0,0,0)",5,5,75,1,/html/body/div[2]/div/div[1]/div/div[1]/h1,殖民無間道,0
40,39,a,0,1,40,0.1261829653,0.0899122807018,0.025,48,51.4375,165,36,"rgb(0,0,0)","rgba(0,0,0,0)",5,5,50,1,/html/body/div[2]/div/div[1]/div/div[1]/h1/a,殖民無間道,0
41,37,div,2,1,45,0.141955835962,0.0921052631579,0.025,48,104.4375,1824,19,"rgb(0,0,0)","rgba(0,0,0,0)",26,26,106,1,/html/body/div[2]/div/div[1]/div/div[2],這是最好的時代......這是最壞的時代......,0
42,41,p,1,1,46,0.145110410095,0.094298245614,0.025,48,104.4375,1824,19,"rgb(0,0,0)","rgba(0,0,0,0)",26,26,66,1,/html/body/div[2]/div/div[1]/div/div[2]/p,這是最好的時代......這是最壞的時代......,0
43,42,span,0,1,46,0.145110410095,0.0964912280702,0.025,48,104.4375,272,19,"rgb(0,0,0)","rgba(0,0,0,0)",26,26,39,1,/html/body/div[2]/div/div[1]/div/div[2]/p/span,這是最好的時代......這是最壞的時代......,0
44,35,div,4,1,49,0.154574132492,0.0986842105263,0.025,48,169.4375,1824,857,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,776,1,/html/body/div[2]/div/div[2],,0
45,44,div,1,1,50,0.157728706625,0.100877192982,0.025,48,169.4375,1824,846,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,184,1,/html/body/div[2]/div/div[2]/div[1],,0
46,45,img,0,1,51,0.160883280757,0.103070175439,0.025,48,169.4375,600,842,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,143,1,/html/body/div[2]/div/div[2]/div[1]/img,,0
47,45,br,0,1,52,0.16403785489,0.105263157895,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div/div[2]/div[1]/br,,0
48,44,div,0,1,54,0.170347003155,0.107456140351,0.025,48,1015.4375,1824,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,25,1,/html/body/div[2]/div/div[2]/div[2],,0
49,44,span,3,1,55,0.173501577287,0.109649122807,0.975,1872,995.4375,0,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,476,1,/html/body/div[2]/div/div[2]/span,,0
50,49,span,2,1,56,0.17665615142,0.111842105263,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,433,0,/html/body/div[2]/div/div[2]/span/span,,0
