id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.142857142857,0.00355871886121,0.0,0,0,1920,2128,"rgb(0,0,0)","rgba(0,0,0,0)",621,666,56773,1,/html,HomepageSign in / Si...ET UPDATES,0
56,0,body,17,1,1,0.142857142857,0.202846975089,0.0,0,0,1920,2128,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",621,666,48489,1,/html/body,HomepageSign in / Si...ET UPDATES,0
58,56,div,16,1,1,0.142857142857,0.209964412811,0.0,0,0,1920,2128,"rgba(0,0,0,0.8)","rgb(255,255,255)",621,666,33768,1,/html/body/div[1],HomepageSign in / Si...ET UPDATES,0
59,58,div,0,1,1,0.142857142857,0.213523131673,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
60,58,div,15,1,1,0.142857142857,0.217081850534,0.0,0,0,1920,2128,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",621,666,33625,1,/html/body/div[1]/div[2],HomepageSign in / Si...ET UPDATES,0
61,60,div,14,1,1,0.142857142857,0.220640569395,0.0,0,0,1920,2128,"rgba(0,0,0,0.8)","rgb(255,255,255)",621,666,33514,1,/html/body/div[1]/div[2]/div,HomepageSign in / Si...ET UPDATES,0
62,61,canvas,0,1,1,0.142857142857,0.224199288256,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
63,61,div,0,1,1,0.142857142857,0.227758007117,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[1]/div[2]/div/div[1],,0
64,61,div,6,1,1,0.142857142857,0.231316725979,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",21,25,1729,1,/html/body/div[1]/div[2]/div/div[2],HomepageSign in / Sign up,0
65,64,div,5,1,1,0.142857142857,0.23487544484,0.229166666667,440,0,1040,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",21,25,1680,1,/html/body/div[1]/div[2]/div/div[2]/div,HomepageSign in / Sign up,0
66,65,div,4,1,1,0.142857142857,0.238434163701,0.239583333333,460,0,53,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,973,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1],Homepage,0
67,66,a,3,1,1,0.142857142857,0.241992882562,0.2375,456,0,57,59,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,883,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a,Homepage,0
68,67,span,2,1,1,0.142857142857,0.245551601423,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,758,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1],,0
69,68,svg,1,1,1,0.142857142857,0.249110320285,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,685,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg,,0
70,69,path,0,1,1,0.142857142857,0.252669039146,0.250868225098,481.666992188,19.9910831451,10.3330078125,24.9605884552,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,151,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[1],,0
71,69,path,0,1,1,0.142857142857,0.256227758007,0.245485941569,471.333007812,19.9727783203,20.6177062988,20.6572227478,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,128,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[2],,0
72,69,path,0,1,1,0.142857142857,0.259786476868,0.240422884623,461.611938477,20.183216095,20.0540771484,20.4447822571,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,134,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[3],,0
73,69,path,0,1,1,0.142857142857,0.26334519573,0.240104166667,461,20.098739624,10.3330078125,24.9234390259,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,173,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[4],,0
74,67,span,0,1,1,0.142857142857,0.266903914591,0.259895833333,499,10,1,1,"rgba(255,255,255,0)","rgba(0,0,0,0)",8,8,48,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[2],Homepage,0
75,65,div,2,1,1,0.142857142857,0.270462633452,0.703645833333,1351,0,109,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,596,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2],Sign in / Sign up,0
76,75,div,1,1,1,0.142857142857,0.274021352313,0.708854166667,1361,10,99,44,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,460,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div,Sign in / Sign up,0
77,76,a,0,1,1,0.142857142857,0.277580071174,0.708854166667,1361,17,99,32,"rgb(0,171,107)","rgba(0,0,0,0)",13,17,431,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div/a,Sign in / Sign up,0
78,61,div,0,1,1,0.142857142857,0.281138790036,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",0,0,85,1,/html/body/div[1]/div[2]/div/div[3],,0
79,61,main,13,1,1,0.142857142857,0.284697508897,0.0,0,65,1920,2023,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",532,556,13768,1,/html/body/div[1]/div[2]/div/main,ㄏㄨㄤㄌㄧㄥFollow Jan 6 M...low ㄏㄨㄤㄌㄧㄥ,0
80,79,article,12,1,1,0.142857142857,0.288256227758,0.0,0,65,1920,2023,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",532,556,13743,1,/html/body/div[1]/div[2]/div/main/article,ㄏㄨㄤㄌㄧㄥFollow Jan 6 M...low ㄏㄨㄤㄌㄧㄥ,0
81,80,header,7,1,1,0.142857142857,0.291814946619,0.307291666667,590,65,740,126,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",16,18,2504,1,/html/body/div[1]/div[2]/div/main/article/header,ㄏㄨㄤㄌㄧㄥFollow Jan 6,0
82,81,div,6,1,1,0.142857142857,0.29537366548,0.307291666667,590,65,740,126,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",16,18,2455,1,/html/body/div[1]/div[2]/div/main/article/header/div,ㄏㄨㄤㄌㄧㄥFollow Jan 6,0
83,82,div,5,1,1,0.142857142857,0.298932384342,0.307291666667,590,100,740,81,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",16,18,2399,1,/html/body/div[1]/div[2]/div/main/article/header/div/div,ㄏㄨㄤㄌㄧㄥFollow Jan 6,0
84,83,div,4,1,1,0.142857142857,0.302491103203,0.317708333333,610,100,700,81,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",16,18,2345,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div,ㄏㄨㄤㄌㄧㄥFollow Jan 6,0
85,84,div,2,1,1,0.142857142857,0.306049822064,0.317708333333,610,100,700,40,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,466,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1],,0
86,85,a,1,1,1,0.142857142857,0.309608540925,0.317708333333,610,100,700,40,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,439,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1]/a,,0
