id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.00581395348837,0.002849002849,0.0,0,0,1920,2860,"rgb(0,0,0)","rgba(0,0,0,0)",770,824,97958,1,/html,HomepageFollowSign i...与中国有关的分贴 4,0
57,0,body,17,1,1,0.00581395348837,0.165242165242,0.0,0,0,1920,2860,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",770,824,89518,1,/html/body,HomepageFollowSign i...与中国有关的分贴 4,0
59,57,div,16,1,1,0.00581395348837,0.17094017094,0.0,0,0,1920,2860,"rgba(0,0,0,0.8)","rgb(255,255,255)",770,824,65497,1,/html/body/div[1],HomepageFollowSign i...与中国有关的分贴 4,0
60,59,div,0,1,1,0.00581395348837,0.173789173789,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
61,59,div,15,1,1,0.00581395348837,0.176638176638,0.0,0,0,1920,2860,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",770,824,65354,1,/html/body/div[1]/div[2],HomepageFollowSign i...与中国有关的分贴 4,0
62,61,div,14,1,1,0.00581395348837,0.179487179487,0.0,0,0,1920,2860,"rgba(0,0,0,0.8)","rgb(255,255,255)",770,824,65243,1,/html/body/div[1]/div[2]/div,HomepageFollowSign i...与中国有关的分贴 4,0
63,62,canvas,0,1,1,0.00581395348837,0.182336182336,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
64,62,div,1,1,1,0.00581395348837,0.185185185185,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,172,1,/html/body/div[1]/div[2]/div/div[1],,0
65,64,div,0,1,1,0.00581395348837,0.188034188034,0.692708333333,1330,0,0,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,67,1,/html/body/div[1]/div[2]/div/div[1]/div,,0
66,62,div,8,1,1,0.00581395348837,0.190883190883,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",27,31,3339,1,/html/body/div[1]/div[2]/div/div[2],HomepageFollowSign in / Sign up,0
67,66,div,7,1,1,0.00581395348837,0.193732193732,0.229166666667,440,0,1040,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",27,31,3290,1,/html/body/div[1]/div[2]/div/div[2]/div,HomepageFollowSign in / Sign up,0
68,67,div,6,1,1,0.00581395348837,0.196581196581,0.239583333333,460,0,449.890625,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",14,14,2476,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1],HomepageFollow,0
69,68,a,3,1,1,0.00581395348837,0.19943019943,0.2375,456,0,57,59,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,883,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a,Homepage,0
70,69,span,2,1,1,0.00581395348837,0.202279202279,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,758,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1],,0
71,70,svg,1,1,1,0.00581395348837,0.205128205128,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,685,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg,,0
72,71,path,0,1,1,0.00581395348837,0.207977207977,0.250868225098,481.666992188,19.9910831451,10.3330078125,24.9605884552,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,151,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[1],,0
73,71,path,0,1,1,0.00581395348837,0.210826210826,0.245485941569,471.333007812,19.9727783203,20.6177062988,20.6572227478,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,128,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[2],,0
74,71,path,0,1,1,0.00581395348837,0.213675213675,0.240422884623,461.611938477,20.183216095,20.0540771484,20.4447822571,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,134,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[3],,0
75,71,path,0,1,1,0.00581395348837,0.216524216524,0.240104166667,461,20.098739624,10.3330078125,24.9234390259,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,173,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[4],,0
76,69,span,0,1,1,0.00581395348837,0.219373219373,0.259895833333,499,10,1,1,"rgba(255,255,255,0)","rgba(0,0,0,0)",8,8,48,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[2],Homepage,0
77,68,div,2,1,1,0.00581395348837,0.222222222222,0.2671875,513,0,21,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,239,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[1],,0
78,77,div,1,1,1,0.00581395348837,0.225071225071,0.2671875,513,18,21,28,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,148,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[1]/div,,0
79,78,span,0,1,1,0.00581395348837,0.22792022792,0.2671875,513,18,1,28,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,116,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[1]/div/span,,0
80,68,div,3,1,1,0.00581395348837,0.230769230769,0.278125,534,0,300,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,481,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[2],,0
81,80,div,2,1,1,0.00581395348837,0.233618233618,0.278125,534,10,300,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,374,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[2]/div,,0
82,81,a,1,1,1,0.00581395348837,0.236467236467,0.278125,534,36,300,19,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,342,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[2]/div/a,,0
83,82,img,0,1,1,0.00581395348837,0.239316239316,0.278125,534,10,300,41,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,214,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[2]/div/a/img,,0
84,68,div,5,1,1,0.00581395348837,0.242165242165,0.44375,852,0,57.890625,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,783,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[3],Follow,0
85,84,div,4,1,1,0.00581395348837,0.245014245014,0.44375,852,12,57.890625,41,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,682,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[3]/div,Follow,0
86,85,div,3,1,1,0.00581395348837,0.247863247863,0.44375,852,22,57.890625,21,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,650,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[3]/div/div,Follow,0
87,86,div,2,1,1,0.00581395348837,0.250712250712,0.44375,852,22,57.890625,21,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,587,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[3]/div/div/div,Follow,0
88,87,button,1,1,1,0.00581395348837,0.253561253561,0.44375,852,24,57.890625,19,"rgb(28,153,99)","rgba(0,0,0,0)",6,6,552,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[3]/div/div/div/button,Follow,0
89,88,span,0,1,1,0.00581395348837,0.25641025641,0.449479166667,863,25,35.890625,16,"rgb(28,153,99)","rgba(0,0,0,0)",6,6,55,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/div[3]/div/div/div/button/span,Follow,0
90,67,div,4,1,1,0.00581395348837,0.259259259259,0.703645833333,1351,0,109,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,703,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2],Sign in / Sign up,0
91,90,div,3,1,1,0.00581395348837,0.262108262108,0.703645833333,1351,0,109,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,567,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div,Sign in / Sign up,0
92,91,div,2,1,1,0.00581395348837,0.264957264957,0.703645833333,1351,6,109,52,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,476,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div/div,Sign in / Sign up,0
93,92,div,1,1,1,0.00581395348837,0.267806267806,0.708854166667,1361,16,99,32,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,444,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div/div/div,Sign in / Sign up,0
94,93,a,0,1,1,0.00581395348837,0.270655270655,0.708854166667,1361,16,99,32,"rgb(28,153,99)","rgba(0,0,0,0)",13,17,395,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div/div/div/a,Sign in / Sign up,0
95,62,div,0,1,1,0.00581395348837,0.273504273504,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",0,0,85,1,/html/body/div[1]/div[2]/div/div[3],,0
96,62,main,13,1,1,0.00581395348837,0.276353276353,0.0,0,65,1920,2795,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",742,790,19880,1,/html/body/div[1]/div[2]/div/main,jeremy0417Follow 旅行、...n 与中国有关的分贴,0
97,96,article,12,1,1,0.00581395348837,0.279202279202,0.0,0,65,1920,2795,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",742,790,19855,1,/html/body/div[1]/div[2]/div/main/article,jeremy0417Follow 旅行、...n 与中国有关的分贴,0
98,97,header,7,1,1,0.00581395348837,0.282051282051,0.307291666667,590,65,740,166,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",39,43,2614,1,/html/body/div[1]/div[2]/div/main/article/header,"jeremy0417Follow 旅行、...v 26, 2014",0
99,98,div,6,1,1,0.00581395348837,0.2849002849,0.307291666667,590,65,740,166,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",39,43,2565,1,/html/body/div[1]/div[2]/div/main/article/header/div,"jeremy0417Follow 旅行、...v 26, 2014",0
100,99,div,5,1,1,0.00581395348837,0.287749287749,0.307291666667,590,100,740,121,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",39,43,2509,1,/html/body/div[1]/div[2]/div/main/article/header/div/div,"jeremy0417Follow 旅行、...v 26, 2014",0
101,100,div,4,1,1,0.00581395348837,0.290598290598,0.317708333333,610,100,700,121,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",39,43,2455,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div,"jeremy0417Follow 旅行、...v 26, 2014",0
102,101,div,2,1,1,0.00581395348837,0.293447293447,0.317708333333,610,100,700,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,462,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1],,0
