id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.00581395348837,0.002849002849,0.0,0,0,1920,2925,"rgb(0,0,0)","rgba(0,0,0,0)",1001,1064,96576,1,/html,Homepage鬼島成癮手札Follow...ET UPDATES,0
57,0,body,17,1,1,0.00581395348837,0.165242165242,0.0,0,0,1920,2925,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1001,1064,88397,1,/html/body,Homepage鬼島成癮手札Follow...ET UPDATES,0
59,57,div,16,1,1,0.00581395348837,0.17094017094,0.0,0,0,1920,2925,"rgba(0,0,0,0.8)","rgb(255,255,255)",1001,1064,65257,1,/html/body/div[1],Homepage鬼島成癮手札Follow...ET UPDATES,0
60,59,div,0,1,1,0.00581395348837,0.173789173789,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
61,59,div,15,1,1,0.00581395348837,0.176638176638,0.0,0,0,1920,2925,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1001,1064,65114,1,/html/body/div[1]/div[2],Homepage鬼島成癮手札Follow...ET UPDATES,0
62,61,div,14,1,1,0.00581395348837,0.179487179487,0.0,0,0,1920,2925,"rgba(0,0,0,0.8)","rgb(255,255,255)",1001,1064,65003,1,/html/body/div[1]/div[2]/div,Homepage鬼島成癮手札Follow...ET UPDATES,0
63,62,canvas,0,1,1,0.00581395348837,0.182336182336,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
64,62,div,0,1,1,0.00581395348837,0.185185185185,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[1]/div[2]/div/div[1],,0
65,62,div,9,1,1,0.00581395348837,0.188034188034,0.0,0,0,1920,105,"rgba(0,0,0,0.439216)","rgb(255,255,255)",42,47,5060,1,/html/body/div[1]/div[2]/div/div[2],Homepage鬼島成癮手札Follow... HOMEGOODS,0
66,65,div,7,1,1,0.00581395348837,0.190883190883,0.229166666667,440,0,1040,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",33,37,3198,1,/html/body/div[1]/div[2]/div/div[2]/div[1],Homepage鬼島成癮手札Follow... / Sign up,0
67,66,div,6,1,1,0.00581395348837,0.193732193732,0.239583333333,460,0,257.890625,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",20,20,2404,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1],Homepage鬼島成癮手札Follow,0
68,67,a,3,1,1,0.00581395348837,0.196581196581,0.2375,456,0,57,59,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,883,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a,Homepage,0
69,68,span,2,1,1,0.00581395348837,0.19943019943,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,758,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1],,0
70,69,svg,1,1,1,0.00581395348837,0.202279202279,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,685,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg,,0
71,70,path,0,1,1,0.00581395348837,0.205128205128,0.250868225098,481.666992188,19.9910831451,10.3330078125,24.9605884552,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,151,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[1],,0
72,70,path,0,1,1,0.00581395348837,0.207977207977,0.245485941569,471.333007812,19.9727783203,20.6177062988,20.6572227478,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,128,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[2],,0
73,70,path,0,1,1,0.00581395348837,0.210826210826,0.240422884623,461.611938477,20.183216095,20.0540771484,20.4447822571,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,134,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[3],,0
74,70,path,0,1,1,0.00581395348837,0.213675213675,0.240104166667,461,20.098739624,10.3330078125,24.9234390259,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,173,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[4],,0
75,68,span,0,1,1,0.00581395348837,0.216524216524,0.259895833333,499,10,1,1,"rgba(255,255,255,0)","rgba(0,0,0,0)",8,8,48,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[2],Homepage,0
76,67,div,2,1,1,0.00581395348837,0.219373219373,0.2671875,513,0,21,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,239,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1],,0
77,76,div,1,1,1,0.00581395348837,0.222222222222,0.2671875,513,18,21,28,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,148,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div,,0
78,77,span,0,1,1,0.00581395348837,0.225071225071,0.2671875,513,18,1,28,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,116,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div/span,,0
79,67,div,3,1,1,0.00581395348837,0.22792022792,0.278125,534,0,108,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,426,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2],鬼島成癮手札,0
80,79,div,2,1,1,0.00581395348837,0.230769230769,0.278125,534,22,108,20,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,319,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div,鬼島成癮手札,0
81,80,a,1,1,1,0.00581395348837,0.233618233618,0.278125,534,23,108,19,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,287,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/a,鬼島成癮手札,0
82,81,span,0,1,1,0.00581395348837,0.236467236467,0.278125,534,22,108,18,"rgba(0,0,0,0.6)","rgba(0,0,0,0)",6,6,175,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/a/span,鬼島成癮手札,0
83,67,div,5,1,1,0.00581395348837,0.239316239316,0.34375,660,0,57.890625,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,766,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[3],Follow,0
84,83,div,4,1,1,0.00581395348837,0.242165242165,0.34375,660,12,57.890625,41,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,665,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[3]/div,Follow,0
85,84,div,3,1,1,0.00581395348837,0.245014245014,0.34375,660,22,57.890625,21,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,633,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[3]/div/div,Follow,0
86,85,div,2,1,1,0.00581395348837,0.247863247863,0.34375,660,22,57.890625,21,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",6,6,570,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[3]/div/div/div,Follow,0
87,86,button,1,1,1,0.00581395348837,0.250712250712,0.34375,660,24,57.890625,19,"rgb(28,153,99)","rgba(0,0,0,0)",6,6,535,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[3]/div/div/div/button,Follow,0
88,87,span,0,1,1,0.00581395348837,0.253561253561,0.349479166667,671,25,35.890625,16,"rgb(28,153,99)","rgba(0,0,0,0)",6,6,55,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[3]/div/div/div/button/span,Follow,0
89,66,div,4,1,1,0.00581395348837,0.25641025641,0.703645833333,1351,0,109,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,683,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2],Sign in / Sign up,0
90,89,div,3,1,1,0.00581395348837,0.259259259259,0.703645833333,1351,0,109,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,547,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div,Sign in / Sign up,0
91,90,div,2,1,1,0.00581395348837,0.262108262108,0.703645833333,1351,6,109,52,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,456,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div,Sign in / Sign up,0
92,91,div,1,1,1,0.00581395348837,0.264957264957,0.708854166667,1361,16,99,32,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,424,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div/div,Sign in / Sign up,0
93,92,a,0,1,1,0.00581395348837,0.267806267806,0.708854166667,1361,16,99,32,"rgb(28,153,99)","rgba(0,0,0,0)",13,17,375,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div/div/a,Sign in / Sign up,0
94,65,div,8,1,1,0.00581395348837,0.270655270655,0.239583333333,460,65,1000,40,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",9,9,1813,1,/html/body/div[1]/div[2]/div/div[2]/div[2],HOMEGOODS,0
95,94,div,7,1,1,0.00581395348837,0.273504273504,0.239583333333,460,65,1000,40,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",9,9,1735,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div,HOMEGOODS,0
96,95,div,6,1,1,0.00581395348837,0.276353276353,0.239583333333,460,65,1000,148,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",9,9,1652,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div,HOMEGOODS,0
97,96,span,1,1,1,0.00581395348837,0.279202279202,0.239583333333,460,65,61.625,42,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",4,4,357,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[1],HOME,0
98,97,a,0,1,1,0.00581395348837,0.282051282051,0.239583333333,460,70,41.625,19,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",4,4,129,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[1]/a,HOME,0
99,96,span,1,1,1,0.00581395348837,0.2849002849,0.2716796875,521.625,65,69.03125,42,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",5,5,378,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[2],GOODS,0
100,99,a,0,1,1,0.00581395348837,0.287749287749,0.2716796875,521.625,70,49.03125,19,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",5,5,150,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[2]/a,GOODS,0
101,96,span,5,1,1,0.00581395348837,0.290598290598,0.307633463542,590.65625,65,25,48,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,781,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[3],,0
102,101,a,4,1,1,0.00581395348837,0.293447293447,0.307633463542,590.65625,71,25,25,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,553,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[3]/a,,0
103,102,span,3,1,1,0.00581395348837,0.296296296296,0.307633463542,590.65625,71,25,25,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,363,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[3]/a/span,,0
104,103,span,2,1,1,0.00581395348837,0.299145299145,0.307633463542,590.65625,67,25,25,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,322,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[3]/a/span/span,,0
105,104,svg,1,1,1,0.00581395348837,0.301994301994,0.307633463542,590.65625,67,25,25,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,263,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[3]/a/span/span/svg,,0
106,105,path,0,1,1,0.00581395348837,0.304843304843,0.310367012024,595.904663086,71.9984359741,15.0020141602,15.001991272,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,189,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[3]/a/span/span/svg/path,,0
107,62,div,0,1,1,0.00581395348837,0.307692307692,0.0,0,0,1920,105,"rgba(0,0,0,0.439216)","rgb(255,255,255)",0,0,86,1,/html/body/div[1]/div[2]/div/div[3],,0
108,62,main,13,1,1,0.00581395348837,0.310541310541,0.0,0,105,1920,2780,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",888,927,17704,1,/html/body/div[1]/div[2]/div/main,Reacher YinFollow We...的好物、好食與碎碎念,0
109,108,article,12,1,1,0.00581395348837,0.31339031339,0.0,0,105,1920,2780,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",888,927,17679,1,/html/body/div[1]/div[2]/div/main/article,Reacher YinFollow We...的好物、好食與碎碎念,0
110,109,header,7,1,1,0.00581395348837,0.316239316239,0.307291666667,590,105,740,166,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",57,65,2632,1,/html/body/div[1]/div[2]/div/main/article/header,"Reacher YinFollow We...b 10, 2014",0
111,110,div,6,1,1,0.00581395348837,0.319088319088,0.307291666667,590,105,740,166,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",57,65,2583,1,/html/body/div[1]/div[2]/div/main/article/header/div,"Reacher YinFollow We...b 10, 2014",0
112,111,div,5,1,1,0.00581395348837,0.321937321937,0.307291666667,590,140,740,121,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",57,65,2527,1,/html/body/div[1]/div[2]/div/main/article/header/div/div,"Reacher YinFollow We...b 10, 2014",0
113,112,div,4,1,1,0.00581395348837,0.324786324786,0.317708333333,610,140,700,121,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",57,65,2473,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div,"Reacher YinFollow We...b 10, 2014",0
114,113,div,2,1,1,0.00581395348837,0.327635327635,0.317708333333,610,140,700,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,461,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1],,0
115,114,a,1,1,1,0.00581395348837,0.330484330484,0.317708333333,610,140,700,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,434,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1]/a,,0
116,115,img,0,1,1,0.00581395348837,0.333333333333,0.317708333333,610,140,60,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,159,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1]/a/img,,0
117,113,div,3,1,1,0.00581395348837,0.336182336182,0.317708333333,610,200,700,61,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",57,65,1923,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2],"Reacher YinFollow We...b 10, 2014",0
118,117,a,0,1,1,0.00581395348837,0.339031339031,0.325520833333,625,200,79,20,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",10,11,310,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/a,Reacher Yin,0
119,117,span,2,1,1,0.00581395348837,0.34188034188,0.366666666667,704,200,67.890625,20,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",6,6,1303,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span,Follow,0
120,119,button,1,1,1,0.00581395348837,0.344729344729,0.0,0,0,0,0,"rgb(255,255,255)","rgb(204,84,84)",14,14,560,0,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[1],BlockedUnblock,0
121,120,span,0,1,1,0.00581395348837,0.347578347578,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",7,7,61,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[1]/span[1],Blocked,0
122,120,span,0,1,1,0.00581395348837,0.350427350427,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",7,7,59,0,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[1]/span[2],Unblock,0
