id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.00581395348837,0.00278551532033,0.0,0,0,1920,5187.890625,"rgb(0,0,0)","rgba(0,0,0,0)",2864,2928,105424,1,/html,HomepageFollowSign i...ET UPDATES,0
57,0,body,17,1,1,0.00581395348837,0.161559888579,0.0,0,0,1920,5187.890625,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",2864,2928,96719,1,/html/body,HomepageFollowSign i...ET UPDATES,0
59,57,div,16,1,1,0.00581395348837,0.16713091922,0.0,0,0,1920,5187.890625,"rgba(0,0,0,0.8)","rgb(255,255,255)",2864,2928,70231,1,/html/body/div[1],HomepageFollowSign i...ET UPDATES,0
60,59,div,0,1,1,0.00581395348837,0.16991643454,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
61,59,div,15,1,1,0.00581395348837,0.172701949861,0.0,0,0,1920,5187.890625,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",2864,2928,70088,1,/html/body/div[1]/div[2],HomepageFollowSign i...ET UPDATES,0
62,61,div,14,1,1,0.00581395348837,0.175487465181,0.0,0,0,1920,5187.890625,"rgba(0,0,0,0.8)","rgb(255,255,255)",2864,2928,69977,1,/html/body/div[1]/div[2]/div,HomepageFollowSign i...ET UPDATES,0
63,62,canvas,0,1,1,0.00581395348837,0.178272980501,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
64,62,div,0,1,1,0.00581395348837,0.181058495822,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[1]/div[2]/div/div[1],,0
65,62,div,10,1,1,0.00581395348837,0.183844011142,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",27,31,4100,1,/html/body/div[1]/div[2]/div/div[2],HomepageFollowSign in / Sign up,0
66,65,div,9,1,1,0.00581395348837,0.186629526462,0.229166666667,440,0,1040,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",27,31,4051,1,/html/body/div[1]/div[2]/div/div[2]/div,HomepageFollowSign in / Sign up,0
67,66,div,8,1,1,0.00581395348837,0.189415041783,0.239583333333,460,0,219.890625,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",14,14,3219,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1],HomepageFollow,0
68,67,a,3,1,1,0.00581395348837,0.192200557103,0.2375,456,0,57,59,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,883,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a,Homepage,0
69,68,span,2,1,1,0.00581395348837,0.194986072423,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,758,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1],,0
70,69,svg,1,1,1,0.00581395348837,0.197771587744,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,685,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg,,0
