id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,14,1,1,0.00153609831029,0.00144927536232,0.0,0,0,1920,3191,"rgb(0,0,0)","rgba(0,0,0,0)",2161,2518,52656,1,/html,新. AK事件簿 what is ak?...費網站或網誌. 關注,0
73,0,body,13,1,1,0.00153609831029,0.107246376812,0.0,0,0,1920,3191,"rgb(0,0,0)","rgb(204,204,204)",2161,2518,40757,1,/html/body,新. AK事件簿 what is ak?...費網站或網誌. 關注,0
74,73,div,12,1,3,0.00460829493088,0.108695652174,0.298177083333,572.5,0,775,3144,"rgb(0,0,0)","rgb(255,255,255)",2135,2486,28467,1,/html/body/div[1],新. AK事件簿 what is ak?...8 29 30 31,0
75,74,div,4,1,5,0.00768049155146,0.110144927536,0.298177083333,572.5,0,776,100,"rgb(255,255,255)","rgb(51,51,51)",16,20,277,1,/html/body/div[1]/div[1],新. AK事件簿 what is ak?,0
76,75,div,3,1,6,0.00921658986175,0.111594202899,0.298697916667,573.5,0,775,0,"rgb(255,255,255)","rgba(0,0,0,0)",16,20,252,1,/html/body/div[1]/div[1]/div,新. AK事件簿 what is ak?,0
77,76,div,1,1,7,0.010752688172,0.113043478261,0.298697916667,573.5,0,163,100,"rgb(255,255,255)","rgba(0,0,0,0)",7,8,106,1,/html/body/div[1]/div[1]/div/div,新. AK事件簿,0
78,77,a,0,1,8,0.0122887864823,0.114492753623,0.298697916667,573.5,0,162,100,"rgb(255,255,255)","rgba(0,0,0,0)",7,8,82,1,/html/body/div[1]/div[1]/div/div/a,新. AK事件簿,0
79,76,ul,2,1,11,0.0168970814132,0.115942028986,0.298697916667,573.5,0,1550,0,"rgb(255,255,255)","rgba(0,0,0,0)",9,11,120,1,/html/body/div[1]/div[1]/div/ul,what is ak?,0
80,79,li,1,1,12,0.0184331797235,0.117391304348,0.38359375,736.5,0,78,100,"rgb(255,255,255)","rgba(0,0,0,0)",9,11,99,1,/html/body/div[1]/div[1]/div/ul/li,what is ak?,0
81,80,a,0,1,12,0.0184331797235,0.11884057971,0.38359375,736.5,0,77,100,"rgb(255,255,255)","rgba(0,0,0,0)",9,11,60,1,/html/body/div[1]/div[1]/div/ul/li/a,what is ak?,0
82,74,hr,0,1,18,0.0276497695853,0.120289855072,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,4,0,/html/body/div[1]/hr,,0
83,74,div,11,1,20,0.0307219662058,0.121739130435,0.298177083333,572.5,100,775,3044,"rgb(0,0,0)","rgba(0,0,0,0)",2119,2465,28129,1,/html/body/div[1]/div[2],« Linkin Park – Irid...8 29 30 31,0
84,83,div,10,1,22,0.0337941628264,0.123188405797,0.298177083333,572.5,100,550.25,1413.15625,"rgb(0,0,0)","rgba(0,0,0,0)",742,785,16031,1,/html/body/div[1]/div[2]/div[1],« Linkin Park – Irid... 發表迴響 發表迴響,0
85,84,div,2,1,31,0.047619047619,0.124637681159,0.310286458333,595.75,130,503.75,13,"rgb(0,0,0)","rgba(0,0,0,0)",22,26,231,1,/html/body/div[1]/div[2]/div[1]/div[1],« Linkin Park – Iridescent,0
86,85,div,1,1,32,0.0491551459293,0.126086956522,0.310286458333,595.75,130,251.875,13,"rgb(0,0,0)","rgba(0,0,0,0)",22,26,147,1,/html/body/div[1]/div[2]/div[1]/div[1]/div[1],« Linkin Park – Iridescent,0
87,86,span,0,1,32,0.0491551459293,0.127536231884,0.310286458333,595.75,130,7,13,"rgb(0,0,0)","rgba(0,0,0,0)",1,1,14,1,/html/body/div[1]/div[2]/div[1]/div[1]/div[1]/span,«,0
88,86,a,0,1,32,0.0491551459293,0.128985507246,0.316015625,606.75,130,135,13,"rgb(153,153,153)","rgba(0,0,0,0)",21,24,108,1,/html/body/div[1]/div[2]/div[1]/div[1]/div[1]/a,Linkin Park – Iridescent,0
89,85,div,0,1,33,0.0506912442396,0.130434782609,0.441471354167,847.625,130,251.875,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,25,1,/html/body/div[1]/div[2]/div[1]/div[1]/div[2],,0
90,85,div,0,1,34,0.0522273425499,0.131884057971,0.310286458333,595.75,143,503.75,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,25,1,/html/body/div[1]/div[2]/div[1]/div[1]/div[3],,0
91,84,div,7,1,39,0.0599078341014,0.133333333333,0.310286458333,595.75,153,503.75,1020.15625,"rgb(0,0,0)","rgba(0,0,0,0)",657,682,5330,1,/html/body/div[1]/div[2]/div[1]/div[2],簡單化問題 03十二月12 社會上不少的... a Comment,0
92,91,div,1,1,40,0.0614439324117,0.134782608696,0.310286458333,595.75,153,503.75,29,"rgb(0,0,0)","rgba(0,0,0,0)",12,13,213,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[1],簡單化問題 03十二月12,1
93,92,h3,0,1,41,0.062980030722,0.136231884058,0.310286458333,595.75,153,122,29,"rgb(68,68,68)","rgba(0,0,0,0)",5,5,16,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[1]/h3,簡單化問題,1
94,92,div,0,1,43,0.0660522273425,0.13768115942,0.375390625,720.75,156,114,26,"rgb(204,204,204)","rgba(0,0,0,0)",7,7,37,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[1]/div,03十二月12,1
95,91,div,6,1,50,0.0768049155146,0.139130434783,0.310286458333,595.75,195,503.75,932.15625,"rgb(51,51,51)","rgba(0,0,0,0)",615,630,4611,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2],社會上不少的人看見立法會審議長者生活津貼...代價 在「事件簿」中,1
96,95,p,0,1,51,0.0783410138249,0.140579710145,0.310286458333,595.75,195,503.75,57,"rgb(51,51,51)","rgba(0,0,0,0)",113,114,121,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/p[1],社會上不少的人看見立法會審議長者生活津貼...，實在是過於簡單化…,1
97,95,p,0,1,52,0.0798771121352,0.142028985507,0.310286458333,595.75,265,503.75,57,"rgb(51,51,51)","rgba(0,0,0,0)",85,85,92,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/p[2],政府願意「俾錢」，但到底是如何「俾」，是...否在政治上可以接受…,1
98,95,p,0,1,53,0.0814132104455,0.14347826087,0.310286458333,595.75,335,503.75,76,"rgb(51,51,51)","rgba(0,0,0,0)",138,138,145,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/p[3],堅持資產審查，從之前的民調中，大體上獲民...能申請長者生活津貼…,1
99,95,p,0,1,54,0.0829493087558,0.144927536232,0.310286458333,595.75,424,503.75,38,"rgb(51,51,51)","rgba(0,0,0,0)",51,51,58,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/p[4],根據報道，拉布議員雖然以「七十歲以上免審...步，是有可能收貨的…,1
100,95,p,0,1,55,0.0844854070661,0.146376811594,0.310286458333,595.75,475,503.75,76,"rgb(51,51,51)","rgba(0,0,0,0)",152,152,159,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/p[5],到底是議員為老人家的生計設想，還是政府「...不是無知，而是惰懶…,1
101,95,div,4,1,56,0.0860215053763,0.147826086957,0.310286458333,595.75,564,503.75,302,"rgb(51,51,51)","rgba(0,0,0,0)",14,14,1584,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/div[1],Advertisements,0
102,101,div,3,1,57,0.0875576036866,0.149275362319,0.363151041667,697.25,577,300,276,"rgb(51,51,51)","rgba(0,0,0,0)",14,14,1557,1,/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/div,Advertisements,0
