id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,9,1,1,0.00255754475703,0.00214132762313,0.0,0,0,1920,7080.21875,"rgb(0,0,0)","rgb(248,248,248)",2231,2319,63217,1,/html,關於我們 作者群 時事觀察 公共政策 社... Reserved.,0
78,0,body,8,1,1,0.00255754475703,0.169164882227,0.0,0,0,1920,7080.21875,"rgb(0,0,0)","rgba(0,0,0,0)",2231,2319,32866,1,/html/body,關於我們 作者群 時事觀察 公共政策 社... Reserved.,0
79,78,div,2,1,2,0.00511508951407,0.17130620985,0.0,0,0,0,0,"rgb(0,0,0)","rgb(255,255,255)",98,121,1865,0,/html/body/div[1],今日新聞 生活資訊 元氣網 NBA台灣 ...務條款 刊登網站廣告,0
80,79,a,1,1,3,0.0076726342711,0.173447537473,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,72,1,/html/body/div[1]/a[1],今日新聞,0
81,80,span,0,1,3,0.0076726342711,0.175588865096,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[1]/span,,0
82,79,a,1,1,4,0.0102301790281,0.177730192719,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,81,1,/html/body/div[1]/a[2],生活資訊,0
83,82,span,0,1,4,0.0102301790281,0.179871520343,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[2]/span,,0
84,79,a,1,1,5,0.0127877237852,0.182012847966,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",3,3,78,1,/html/body/div[1]/a[3],元氣網,0
85,84,span,0,1,5,0.0127877237852,0.184154175589,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[3]/span,,0
86,79,a,1,1,6,0.0153452685422,0.186295503212,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",5,5,77,1,/html/body/div[1]/a[4],NBA台灣,0
87,86,span,0,1,6,0.0153452685422,0.188436830835,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[4]/span,,0
88,79,a,1,1,7,0.0179028132992,0.190578158458,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",5,5,79,1,/html/body/div[1]/a[5],追星圖擊隊,0
89,88,span,0,1,7,0.0179028132992,0.192719486081,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[5]/span,,0
90,79,a,1,1,8,0.0204603580563,0.194860813704,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,79,1,/html/body/div[1]/a[6],願景工程,0
91,90,span,0,1,8,0.0204603580563,0.197002141328,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[6]/span,,0
92,79,a,1,1,9,0.0230179028133,0.199143468951,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,78,1,/html/body/div[1]/a[7],發燒車訊,0
93,92,span,0,1,9,0.0230179028133,0.201284796574,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[7]/span,,0
94,79,a,1,1,10,0.0255754475703,0.203426124197,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",8,8,82,1,/html/body/div[1]/a[8],udnSTYLE,0
95,94,span,0,1,10,0.0255754475703,0.20556745182,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[8]/span,,0
96,79,a,1,1,11,0.0281329923274,0.207708779443,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",3,3,79,1,/html/body/div[1]/a[9],鳴人堂,0
97,96,span,0,1,11,0.0281329923274,0.209850107066,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[9]/span,,0
98,79,a,1,1,12,0.0306905370844,0.21199143469,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,79,1,/html/body/div[1]/a[10],轉角國際,0
99,98,span,0,1,12,0.0306905370844,0.214132762313,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[10]/span,,0
100,79,a,1,1,13,0.0332480818414,0.216274089936,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,78,1,/html/body/div[1]/a[11],時事話題,0
101,100,span,0,1,13,0.0332480818414,0.218415417559,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[11]/span,,0
102,79,a,1,1,14,0.0358056265985,0.220556745182,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",5,5,79,1,/html/body/div[1]/a[12],聯合財經網,0
103,102,span,0,1,14,0.0358056265985,0.222698072805,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[12]/span,,0
104,79,a,1,1,15,0.0383631713555,0.224839400428,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",3,3,77,1,/html/body/div[1]/a[13],影音網,0
105,104,span,0,1,15,0.0383631713555,0.226980728051,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[13]/span,,0
106,79,a,1,1,16,0.0409207161125,0.229122055675,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",8,8,81,1,/html/body/div[1]/a[14],Oops!新鮮事,0
107,106,span,0,1,16,0.0409207161125,0.231263383298,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[14]/span,,0
108,79,a,1,1,17,0.0434782608696,0.233404710921,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",6,7,80,1,/html/body/div[1]/a[15],udn 部落格,0
109,108,span,0,1,17,0.0434782608696,0.235546038544,0.0,0,0,0,0,"rgb(214,214,214)","rgba(0,0,0,0)",0,0,39,1,/html/body/div[1]/a[15]/span,,0
