id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,139,1,1,0.000307314074985,0.00045045045045,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3200,3590,169813,1,/html,歡迎聯絡: redmonkeykan@g...y Blogger.,0
30,0,body,138,1,1,0.000307314074985,0.013963963964,0.0,0,0,1920,4909.5,"rgb(34,34,34)","rgb(207,231,209)",3200,3590,141720,1,/html/body,歡迎聯絡: redmonkeykan@g...y Blogger.,0
31,30,div,3,1,2,0.000614628149969,0.0144144144144,0.0,0,0,1920,30,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,2594,1,/html/body/div[1],,0
32,31,div,2,1,2,0.000614628149969,0.0148648648649,0.0,0,0,1920,30,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,2534,1,/html/body/div[1]/div,,0
34,32,div,1,1,12,0.00368776889982,0.0157657657658,0.0,0,0,1920,30,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,989,1,/html/body/div[1]/div/div,,0
35,34,iframe,0,1,12,0.00368776889982,0.0162162162162,0.0,0,0,1923,30,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,949,1,/html/body/div[1]/div/div/iframe,,0
39,30,div,3,1,35,0.0107559926245,0.018018018018,0.0,0,0,1920,4909.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,388,1,/html/body/div[2],,0
40,39,div,2,1,36,0.0110633066994,0.0184684684685,0.0,0,0,1920,4909.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,350,1,/html/body/div[2]/div,,0
41,40,div,1,1,37,0.0113706207744,0.0189189189189,0.0,0,0,1920,400,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,87,1,/html/body/div[2]/div/div[1],,0
42,41,div,0,1,38,0.0116779348494,0.0193693693694,0.0,0,0,1920,400,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[2]/div/div[1]/div[1],,0
43,41,div,0,1,39,0.0119852489244,0.0198198198198,1.0,1920,0,0,400,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[2]/div/div[1]/div[2],,0
44,40,div,1,1,41,0.0125998770744,0.0202702702703,0.0,0,0,1920,4909.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[2]/div/div[2],,0
45,44,div,0,1,42,0.0129071911494,0.0207207207207,1.0,1920,0,0,4909.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,36,1,/html/body/div[2]/div/div[2]/div[1],,0
46,44,div,0,1,43,0.0132145052243,0.0211711711712,0.0,0,0,1920,4909.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,37,1,/html/body/div[2]/div/div[2]/div[2],,0
47,40,div,1,1,46,0.0141364474493,0.0216216216216,0.0,0,4909.5,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/div/div[3],,0
48,47,div,0,1,47,0.0144437615243,0.0220720720721,0.0,0,4909.5,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[2]/div/div[3]/div[1],,0
49,47,div,0,1,48,0.0147510755993,0.0225225225225,1.0,1920,4909.5,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[2]/div/div[3]/div[2],,0
50,30,div,137,1,52,0.0159803318992,0.022972972973,0.0,0,30,1920,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",3200,3590,127739,1,/html/body/div[3],歡迎聯絡: redmonkeykan@g...y Blogger.,0
51,50,div,3,1,53,0.0162876459742,0.0234234234234,0.0,0,30,1920,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,394,1,/html/body/div[3]/div[1],,0
52,51,div,2,1,54,0.0165949600492,0.0238738738739,0.140625,270,30,1380,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,353,1,/html/body/div[3]/div[1]/div,,0
53,52,div,1,1,55,0.0169022741242,0.0243243243243,0.140625,270,30,1380,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,87,1,/html/body/div[3]/div[1]/div/div[1],,0
54,53,div,0,1,56,0.0172095881991,0.0247747747748,0.140625,270,30,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[1]/div/div[1]/div[1],,0
55,53,div,0,1,57,0.0175169022741,0.0252252252252,0.859375,1650,30,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[1]/div/div[1]/div[2],,0
56,52,div,1,1,59,0.0181315304241,0.0256756756757,0.140625,270,30,1380,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[3]/div[1]/div/div[2],,0
57,56,div,0,1,60,0.0184388444991,0.0261261261261,0.859375,1650,30,0,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,36,1,/html/body/div[3]/div[1]/div/div[2]/div[1],,0
58,56,div,0,1,61,0.0187461585741,0.0265765765766,0.140625,270,30,1380,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,37,1,/html/body/div[3]/div[1]/div/div[2]/div[2],,0
59,52,div,1,1,64,0.019668100799,0.027027027027,0.140625,270,4909.5,1380,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[3]/div[1]/div/div[3],,0
60,59,div,0,1,65,0.019975414874,0.0274774774775,0.140625,270,4909.5,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[1]/div/div[3]/div[1],,0
61,59,div,0,1,66,0.020282728949,0.0279279279279,0.859375,1650,4909.5,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[1]/div/div[3]/div[2],,0
62,50,div,136,1,70,0.0215119852489,0.0283783783784,0.0,0,30,1920,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",3200,3590,127315,1,/html/body/div[3]/div[2],歡迎聯絡: redmonkeykan@g...y Blogger.,0
63,62,div,1,1,71,0.0218192993239,0.0288288288288,0.0,0,30,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,103,1,/html/body/div[3]/div[2]/div[1],,0
64,63,div,0,1,72,0.0221266133989,0.0292792792793,0.0,0,30,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[1]/div[1],,0
65,63,div,0,1,73,0.0224339274739,0.0297297297297,1.0,1920,30,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[1]/div[2],,0
66,62,div,135,1,75,0.0230485556238,0.0301801801802,0.0,0,30,1920,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",3200,3590,127066,1,/html/body/div[3]/div[2]/div[2],歡迎聯絡: redmonkeykan@g...y Blogger.,0
67,66,div,0,1,76,0.0233558696988,0.0306306306306,1.0,1920,30,0,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,61,1,/html/body/div[3]/div[2]/div[2]/div[1],,0
68,66,div,134,1,77,0.0236631837738,0.0310810810811,0.0,0,30,1920,4879.5,"rgb(34,34,34)","rgba(0,0,0,0)",3200,3590,126943,1,/html/body/div[3]/div[2]/div[2]/div[2],歡迎聯絡: redmonkeykan@g...y Blogger.,0
69,68,header,8,1,78,0.0239704978488,0.0315315315315,0.0,0,30,1920,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,875,1,/html/body/div[3]/div[2]/div[2]/div[2]/header,,0
70,69,div,7,1,79,0.0242778119238,0.031981981982,0.0,0,30,1920,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,856,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div,,0
71,70,div,1,1,80,0.0245851259988,0.0324324324324,0.0,0,30,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,102,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[1],,0
72,71,div,0,1,81,0.0248924400738,0.0328828828829,0.0,0,30,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[1]/div[1],,0
73,71,div,0,1,82,0.0251997541487,0.0333333333333,1.0,1920,30,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[1]/div[2],,0
74,70,div,6,1,84,0.0258143822987,0.0337837837838,0.0,0,30,1920,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,610,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2],,0
75,74,div,0,1,85,0.0261216963737,0.0342342342342,1.0,1920,30,0,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,60,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[1],,0
76,74,div,5,1,86,0.0264290104487,0.0346846846847,0.140625,270,30,1380,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,489,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2],,0
77,76,div,4,1,87,0.0267363245237,0.0351351351351,0.140625,270,30,1380,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,442,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div,,0
78,77,div,3,1,87,0.0267363245237,0.0355855855856,0.140625,270,30,1380,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,382,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div/div,,0
79,78,div,2,1,88,0.0270436385986,0.036036036036,0.140625,270,30,1380,131,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,317,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div/div/div,,0
80,79,a,1,1,89,0.0273509526736,0.0364864864865,0.140625,270,30,1380,131,"rgb(0,0,255)","rgba(0,0,0,0)",0,0,286,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div/div/div/a,,0
81,80,img,0,1,90,0.0276582667486,0.0369369369369,0.140625,270,30,853,131,"rgb(0,0,255)","rgba(0,0,0,0)",0,0,212,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div/div/div/a/img,,0
82,70,div,1,1,96,0.0295021511985,0.0373873873874,0.0,0,161,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,108,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[3],,0
83,82,div,0,1,97,0.0298094652735,0.0378378378378,0.0,0,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[3]/div[1],,0
84,82,div,0,1,98,0.0301167793485,0.0382882882883,1.0,1920,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[3]/div[2],,0
85,68,div,3,1,102,0.0313460356484,0.0387387387387,0.0,0,161,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,564,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1],,0
86,85,div,1,1,103,0.0316533497234,0.0391891891892,0.0,0,161,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,100,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[1],,0
87,86,div,0,1,104,0.0319606637984,0.0396396396396,0.0,0,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1],,0
88,86,div,0,1,105,0.0322679778734,0.0400900900901,1.0,1920,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/div[2],,0
89,85,div,2,1,107,0.0328826060234,0.0405405405405,0.0,0,161,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,324,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[2],,0
90,89,div,0,1,108,0.0331899200983,0.040990990991,1.0,1920,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,58,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[2]/div[1],,0
91,89,div,1,1,109,0.0334972341733,0.0414414414414,0.1328125,255,161,1410,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,207,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[2]/div[2],,0
92,91,div,0,1,110,0.0338045482483,0.0418918918919,0.1484375,285,161,1350,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,75,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[1],,0
93,91,div,0,1,111,0.0341118623233,0.0423423423423,0.1484375,285,161,1350,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,86,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[2],,0
94,85,div,1,1,114,0.0350338045482,0.0427927927928,0.0,0,161,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,106,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[3],,0
95,94,div,0,1,115,0.0353411186232,0.0432432432432,0.0,0,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[3]/div[1],,0
96,94,div,0,1,116,0.0356484326982,0.0436936936937,1.0,1920,161,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[1]/div[3]/div[2],,0
97,68,div,133,1,119,0.0365703749232,0.0441441441441,0.0,0,161,1920,4639.5,"rgb(34,34,34)","rgb(255,255,255)",3144,3525,123585,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2],歡迎聯絡: redmonkeykan@g...未經本人授權不得轉載,0
98,97,div,1,1,120,0.0368776889982,0.0445945945946,0.0,0,162,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,100,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[1],,0
99,98,div,0,1,121,0.0371850030731,0.045045045045,0.0,0,162,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[1]/div[1],,0
100,98,div,0,1,122,0.0374923171481,0.0454954954955,1.0,1920,162,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[1]/div[2],,0
101,97,div,132,1,124,0.0381069452981,0.0459459459459,0.0,0,162,1920,4638.5,"rgb(34,34,34)","rgba(0,0,0,0)",3144,3525,123345,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[2],歡迎聯絡: redmonkeykan@g...未經本人授權不得轉載,0
102,101,div,0,1,125,0.0384142593731,0.0463963963964,1.0,1920,162,0,4638.5,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,58,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[2]/div[1],,0
103,101,div,131,1,126,0.0387215734481,0.0468468468468,0.140625,270,162,1380,4638.5,"rgb(34,34,34)","rgba(0,0,0,0)",3144,3525,123228,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[2]/div[2],歡迎聯絡: redmonkeykan@g...未經本人授權不得轉載,0
104,103,div,130,1,127,0.039028887523,0.0472972972973,0.140625,270,192,1380,4578.5,"rgb(34,34,34)","rgba(0,0,0,0)",3144,3525,123169,1,/html/body/div[3]/div[2]/div[2]/div[2]/div[2]/div[2]/div[2]/div,歡迎聯絡: redmonkeykan@g...未經本人授權不得轉載,0
