id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,12,1,1,0.000414937759336,0.000878734622144,0.0,0,0,1920,10525.5625,"rgb(0,0,0)","rgb(242,242,242)",8405,8640,442443,1,/html,隱藏廣告Ｘ 端聞 觀點 國際 香港 大陸...tium Media,0
60,0,body,11,1,1,0.000414937759336,0.0536028119508,0.0,0,0,1920,10525.5625,"rgb(21,23,25)","rgba(0,0,0,0)",8405,8640,420624,1,/html/body,隱藏廣告Ｘ 端聞 觀點 國際 香港 大陸...tium Media,0
61,60,div,4,1,4,0.00165975103734,0.0544815465729,0.0,0,0,1920,90,"rgb(21,23,25)","rgba(0,0,0,0)",5,5,2029,1,/html/body/div[1],隱藏廣告Ｘ,0
62,61,div,3,1,6,0.00248962655602,0.0553602811951,0.247395833333,475,0,970,90,"rgb(21,23,25)","rgba(0,0,0,0)",5,5,1959,1,/html/body/div[1]/div,隱藏廣告Ｘ,0
63,62,div,2,1,7,0.00290456431535,0.0562390158172,0.247395833333,475,0,970,90,"rgb(21,23,25)","rgba(0,0,0,0)",0,0,637,1,/html/body/div[1]/div/div,,0
65,63,div,1,1,14,0.00580912863071,0.0579964850615,0.247395833333,475,0,970,90,"rgb(21,23,25)","rgba(0,0,0,0)",0,0,416,1,/html/body/div[1]/div/div/div,,0
66,65,iframe,0,1,14,0.00580912863071,0.0588752196837,0.310416666667,596,0,728,90,"rgb(21,23,25)","rgba(0,0,0,0)",0,0,285,1,/html/body/div[1]/div/div/div/iframe,,0
67,62,button,0,1,18,0.00746887966805,0.0597539543058,0.744791666667,1430,0.046875,0,0,"rgb(179,179,179)","rgba(0,0,0,0)",5,5,60,1,/html/body/div[1]/div/button,隱藏廣告Ｘ,0
69,60,div,4,1,72,0.0298755186722,0.0615114235501,0.0,0,0,0,0,"rgb(21,23,25)","rgba(0,0,0,0)",76,79,1027,0,/html/body/div[2],"googletag.cmd.push(f...88-4""); })",0
70,69,div,3,1,74,0.0307053941909,0.0623901581722,0.0,0,0,0,0,"rgb(21,23,25)","rgba(0,0,0,0)",76,79,958,1,/html/body/div[2]/div,"googletag.cmd.push(f...88-4""); })",0
71,70,div,2,1,75,0.0311203319502,0.0632688927944,0.0,0,0,0,0,"rgb(21,23,25)","rgba(0,0,0,0)",76,79,598,0,/html/body/div[2]/div/div,"googletag.cmd.push(f...88-4""); })",0
73,71,div,1,1,82,0.0340248962656,0.0650263620387,0.0,0,0,0,0,"rgb(21,23,25)","rgba(0,0,0,0)",0,0,413,1,/html/body/div[2]/div/div/div,,0
74,73,iframe,0,1,82,0.0340248962656,0.0659050966608,0.0,0,0,0,0,"rgb(21,23,25)","rgba(0,0,0,0)",0,0,282,1,/html/body/div[2]/div/div/div/iframe,,0
75,60,div,10,1,105,0.0435684647303,0.066783831283,0.0,0,90,1920,10435.5625,"rgb(21,23,25)","rgba(0,0,0,0)",8400,8634,406495,1,/html/body/div[3],端聞 觀點 國際 香港 大陸 台灣 風物...tium Media,0
76,75,nav,7,1,107,0.044398340249,0.0676625659051,0.0,0,0,0,0,"rgb(21,23,25)","rgba(0,0,0,0)",314,389,7902,0,/html/body/div[3]/nav[1],搜索 简体 頻道 首頁 端聞 觀點 國際...公民在香港 母語專題,0
