id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.00632911392405,0.000652315720809,0.0,0,0,1920,3119,"rgb(0,0,0)","rgba(0,0,0,0)",1935,2106,214493,1,/html,首頁 政治 2016立法會選舉 2016... reserved.,0
46,0,body,16,1,1,0.00632911392405,0.030658838878,0.0,0,0,1920,3119,"rgb(51,51,51)","rgb(255,255,255)",1935,2106,195254,1,/html/body,首頁 政治 2016立法會選舉 2016... reserved.,0
47,46,div,3,1,1,0.00632911392405,0.0313111545988,0.0,0,0,1920,1080,"rgb(51,51,51)","rgba(255,255,255,0.901961)",0,0,2797,1,/html/body/div[1],,0
48,47,div,2,1,1,0.00632911392405,0.0319634703196,0.0,0,0,1920,1080,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,1366,1,/html/body/div[1]/div[1],,0
49,48,p,1,1,1,0.00632911392405,0.0326157860404,0.00833333333333,16,326,1888,125,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,93,1,/html/body/div[1]/div[1]/p[1],,0
50,49,br,0,1,2,0.0126582278481,0.0332681017613,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[1]/div[1]/p[1]/br,,0
51,49,span,0,1,2,0.0126582278481,0.0339204174821,0.395833333333,760,386,400,59,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,37,1,/html/body/div[1]/div[1]/p[1]/span,,0
52,48,p,1,1,2,0.0126582278481,0.0345727332029,0.00833333333333,16,481,1888,81,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,77,1,/html/body/div[1]/div[1]/p[2],,0
53,52,br,0,1,3,0.0189873417722,0.0352250489237,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[1]/div[1]/p[2]/br[1],,0
54,52,br,0,1,3,0.0189873417722,0.0358773646445,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[1]/div[1]/p[2]/br[2],,0
