id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,23,1,1,0.000246002460025,0.000441501103753,0.0,0,0,1920,8556.671875,"rgb(0,0,0)","rgba(0,0,0,0)",5995,6841,145084,1,/html,VICSFORUM - ONE MAN'...1) FEEDJIT,0
23,0,body,22,1,1,0.000246002460025,0.0105960264901,0.0,0,0,1920,8556.671875,"rgb(51,51,51)","rgb(255,255,255)",5995,6841,131252,1,/html/body,VICSFORUM - ONE MAN'...1) FEEDJIT,0
24,23,div,3,1,2,0.000492004920049,0.0110375275938,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,2543,1,/html/body/div[1],,0
25,24,div,2,1,2,0.000492004920049,0.0114790286976,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,2497,1,/html/body/div[1]/div,,0
27,25,div,1,1,12,0.0029520295203,0.0123620309051,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,967,1,/html/body/div[1]/div/div,,0
28,27,iframe,0,1,12,0.0029520295203,0.0128035320088,0.0,0,0,1923,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,927,1,/html/body/div[1]/div/div/iframe,,0
32,23,div,21,1,35,0.00861008610086,0.0145695364238,0.322916666667,620,30,680,8526.671875,"rgb(51,51,51)","rgba(0,0,0,0)",5995,6841,121433,1,/html/body/div[2],VICSFORUM - ONE MAN'...1) FEEDJIT,0
33,32,div,20,1,35,0.00861008610086,0.0150110375276,0.328125,630,40,660,8506.671875,"rgb(51,51,51)","rgba(0,0,0,0)",5995,6841,121403,1,/html/body/div[2]/div,VICSFORUM - ONE MAN'...1) FEEDJIT,0
34,33,span,1,1,37,0.00910209102091,0.0154525386313,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",24,30,126,0,/html/body/div[2]/div/span,skip to main | skip to sidebar,0
35,34,a,0,1,38,0.00934809348093,0.0158940397351,0.0,0,0,0,0,"rgb(85,136,170)","rgba(0,0,0,0)",10,12,33,1,/html/body/div[2]/div/span/a[1],skip to main,0
36,34,a,0,1,39,0.00959409594096,0.0163355408389,0.0,0,0,0,0,"rgb(85,136,170)","rgba(0,0,0,0)",13,15,38,1,/html/body/div[2]/div/span/a[2],skip to sidebar,0
37,33,div,6,1,41,0.010086100861,0.0167770419426,0.328125,630,40,662,90.5,"rgb(51,51,51)","rgba(0,0,0,0)",23,27,388,1,/html/body/div[2]/div/div[1],VICSFORUM - ONE MAN'S FORUM,0
38,37,div,5,1,42,0.010332103321,0.0172185430464,0.33125,636,46,650,78.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,355,1,/html/body/div[2]/div/div[1]/div,VICSFORUM - ONE MAN'S FORUM,0
39,38,div,4,1,42,0.010332103321,0.0176600441501,0.331770833333,637,52,648,66.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,309,1,/html/body/div[2]/div/div[1]/div/div,VICSFORUM - ONE MAN'S FORUM,0
40,39,div,3,1,43,0.0105781057811,0.0181015452539,0.331770833333,637,52,648,66.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,244,1,/html/body/div[2]/div/div[1]/div/div/div,VICSFORUM - ONE MAN'S FORUM,0
41,40,div,2,1,44,0.0108241082411,0.0185430463576,0.331770833333,637,52,648,51.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,131,1,/html/body/div[2]/div/div[1]/div/div/div/div[1],VICSFORUM - ONE MAN'S FORUM,0
42,41,h1,1,1,45,0.0110701107011,0.0189845474614,0.334375,642,52,638,51.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,97,1,/html/body/div[2]/div/div[1]/div/div/div/div[1]/h1,VICSFORUM - ONE MAN'S FORUM,0
43,42,a,0,1,46,0.0113161131611,0.0194260485651,0.354720052083,681.0625,67,559.875,30,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,72,1,/html/body/div[2]/div/div[1]/div/div/div/div[1]/h1/a,VICSFORUM - ONE MAN'S FORUM,0
44,40,div,2,1,49,0.0120541205412,0.0198675496689,0.331770833333,637,103.5,648,15,"rgb(102,102,102)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[2]/div/div[1]/div/div/div/div[2],,0
45,44,p,1,1,50,0.0123001230012,0.0203090507726,0.334375,642,103.5,638,15,"rgb(153,153,153)","rgba(0,0,0,0)",0,0,41,1,/html/body/div[2]/div/div[1]/div/div/div/div[2]/p,,0
46,45,span,0,1,50,0.0123001230012,0.0207505518764,0.334375,642,103.5,0,0,"rgb(153,153,153)","rgba(0,0,0,0)",0,0,14,1,/html/body/div[2]/div/div[1]/div/div/div/div[2]/p/span,,0
47,33,div,19,1,56,0.0137761377614,0.0211920529801,0.328125,630,140.5,660,8391.171875,"rgb(51,51,51)","rgba(0,0,0,0)",5972,6813,120707,1,/html/body/div[2]/div/div[2],2016年10月5日 星期三 練乙錚 -...1) FEEDJIT,0
48,47,div,1,1,57,0.0140221402214,0.0216335540839,0.328125,630,140.5,660,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,120,1,/html/body/div[2]/div/div[2]/div[1],,0
49,48,div,0,1,58,0.0142681426814,0.0220750551876,0.328125,630,140.5,660,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,59,1,/html/body/div[2]/div/div[2]/div[1]/div,,0
50,47,div,18,1,60,0.0147601476015,0.0225165562914,0.328125,630,140.5,410,3831.640625,"rgb(51,51,51)","rgba(0,0,0,0)",3332,3418,22477,1,/html/body/div[2]/div/div[2]/div[2],2016年10月5日 星期三 練乙錚 -...貼留言 (Atom),0
51,50,div,17,1,61,0.0150061500615,0.0229580573951,0.328125,630,155.703125,410,3796.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3332,3418,22446,1,/html/body/div[2]/div/div[2]/div[2]/div,2016年10月5日 星期三 練乙錚 -...貼留言 (Atom),0
52,51,div,16,1,61,0.0150061500615,0.0233995584989,0.328125,630,155.703125,410,3796.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3332,3418,22404,1,/html/body/div[2]/div/div[2]/div[2]/div/div,2016年10月5日 星期三 練乙錚 -...貼留言 (Atom),0
53,52,div,15,1,62,0.0152521525215,0.0238410596026,0.328125,630,155.703125,410,3701.4375,"rgb(51,51,51)","rgba(0,0,0,0)",3307,3387,21517,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1],2016年10月5日 星期三 練乙錚 -...00 意思是？ 回覆,0
54,53,div,14,1,64,0.0157441574416,0.0242825607064,0.328125,630,155.703125,410,3701.4375,"rgb(51,51,51)","rgba(0,0,0,0)",3307,3387,21479,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div,2016年10月5日 星期三 練乙錚 -...00 意思是？ 回覆,0
55,54,h2,1,1,66,0.0162361623616,0.0247240618102,0.328125,630,155.703125,410,14,"rgb(153,153,153)","rgba(0,0,0,0)",13,14,56,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/h2,2016年10月5日 星期三,0
56,55,span,0,1,66,0.0162361623616,0.0251655629139,0.328125,630,156.703125,126.231140137,11,"rgb(153,153,153)","rgba(0,0,0,0)",13,14,27,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/h2/span,2016年10月5日 星期三,0
57,54,div,13,1,68,0.0167281672817,0.0256070640177,0.328125,630,176.203125,410,3680.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3294,3372,21391,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div,練乙錚 - 兵行險着－－毓民出線、泛民提...00 意思是？ 回覆,0
58,57,div,12,1,70,0.0172201722017,0.0260485651214,0.328125,630,176.203125,410,3680.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3294,3372,21359,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div,練乙錚 - 兵行險着－－毓民出線、泛民提...00 意思是？ 回覆,0
59,58,div,6,1,71,0.0174661746617,0.0264900662252,0.328125,630,176.203125,410,2954.4375,"rgb(51,51,51)","rgba(0,0,0,0)",3119,3170,8154,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1],"練乙錚 - 兵行險着－－毓民出線、泛民提...籤： 練乙錚, 選舉",0
60,59,a,0,1,72,0.0177121771218,0.0269315673289,0.328125,630,176.203125,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,33,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1]/a,,0
61,59,h3,0,1,73,0.0179581795818,0.0273730684327,0.328125,630,176.203125,410,29,"rgb(204,102,0)","rgba(0,0,0,0)",19,21,63,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1]/h3,練乙錚 - 兵行險着－－毓民出線、泛民提名,1
62,59,div,1,1,76,0.0186961869619,0.0278145695364,0.328125,630,205.203125,410,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,71,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1]/div[1],,0
63,62,div,0,1,77,0.0189421894219,0.0282560706402,0.328125,630,205.203125,410,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,38,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1]/div[1]/div,,0
64,59,div,2,1,79,0.0194341943419,0.0286975717439,0.328125,630,205.203125,410,2740,"rgb(51,51,51)","rgba(0,0,0,0)",3032,3067,3466,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1]/div[2],氣短集   香港蘋果日報   2016年...者可以憑空企求的了。,1
