id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,23,1,1,0.000240731824747,0.000431592576608,0.0,0,0,1920,8218.671875,"rgb(0,0,0)","rgba(0,0,0,0)",6270,7043,147266,1,/html,VICSFORUM - ONE MAN'...1) FEEDJIT,0
23,0,body,22,1,1,0.000240731824747,0.0103582218386,0.0,0,0,1920,8218.671875,"rgb(51,51,51)","rgb(255,255,255)",6270,7043,133441,1,/html/body,VICSFORUM - ONE MAN'...1) FEEDJIT,0
24,23,div,3,1,2,0.000481463649494,0.0107898144152,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,2548,1,/html/body/div[1],,0
25,24,div,2,1,2,0.000481463649494,0.0112214069918,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,2502,1,/html/body/div[1]/div,,0
27,25,div,1,1,12,0.00288878189697,0.012084592145,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,969,1,/html/body/div[1]/div/div,,0
28,27,iframe,0,1,12,0.00288878189697,0.0125161847216,0.0,0,0,1923,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,929,1,/html/body/div[1]/div/div/iframe,,0
32,23,div,21,1,35,0.00842561386615,0.0142425550281,0.322916666667,620,30,680,8188.671875,"rgb(51,51,51)","rgba(0,0,0,0)",6270,7043,123696,1,/html/body/div[2],VICSFORUM - ONE MAN'...1) FEEDJIT,0
33,32,div,20,1,35,0.00842561386615,0.0146741476047,0.328125,630,40,660,8168.671875,"rgb(51,51,51)","rgba(0,0,0,0)",6270,7043,123666,1,/html/body/div[2]/div,VICSFORUM - ONE MAN'...1) FEEDJIT,0
34,33,span,1,1,37,0.00890707751565,0.0151057401813,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",24,30,126,0,/html/body/div[2]/div/span,skip to main | skip to sidebar,0
35,34,a,0,1,38,0.00914780934039,0.0155373327579,0.0,0,0,0,0,"rgb(85,136,170)","rgba(0,0,0,0)",10,12,33,1,/html/body/div[2]/div/span/a[1],skip to main,0
36,34,a,0,1,39,0.00938854116514,0.0159689253345,0.0,0,0,0,0,"rgb(85,136,170)","rgba(0,0,0,0)",13,15,38,1,/html/body/div[2]/div/span/a[2],skip to sidebar,0
37,33,div,6,1,41,0.00987000481464,0.0164005179111,0.328125,630,40,662,90.5,"rgb(51,51,51)","rgba(0,0,0,0)",23,27,387,1,/html/body/div[2]/div/div[1],VICSFORUM - ONE MAN'S FORUM,0
38,37,div,5,1,42,0.0101107366394,0.0168321104877,0.33125,636,46,650,78.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,354,1,/html/body/div[2]/div/div[1]/div,VICSFORUM - ONE MAN'S FORUM,0
39,38,div,4,1,42,0.0101107366394,0.0172637030643,0.331770833333,637,52,648,66.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,308,1,/html/body/div[2]/div/div[1]/div/div,VICSFORUM - ONE MAN'S FORUM,0
40,39,div,3,1,43,0.0103514684641,0.0176952956409,0.331770833333,637,52,648,66.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,243,1,/html/body/div[2]/div/div[1]/div/div/div,VICSFORUM - ONE MAN'S FORUM,0
41,40,div,2,1,44,0.0105922002889,0.0181268882175,0.331770833333,637,52,648,51.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,130,1,/html/body/div[2]/div/div[1]/div/div/div/div[1],VICSFORUM - ONE MAN'S FORUM,0
42,41,h1,1,1,45,0.0108329321136,0.0185584807941,0.334375,642,52,638,51.5,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,96,1,/html/body/div[2]/div/div[1]/div/div/div/div[1]/h1,VICSFORUM - ONE MAN'S FORUM,0
43,42,a,0,1,46,0.0110736639384,0.0189900733707,0.354720052083,681.0625,67,559.875,30,"rgb(102,102,102)","rgba(0,0,0,0)",23,27,71,1,/html/body/div[2]/div/div[1]/div/div/div/div[1]/h1/a,VICSFORUM - ONE MAN'S FORUM,0
44,40,div,2,1,49,0.0117958594126,0.0194216659473,0.331770833333,637,103.5,648,15,"rgb(102,102,102)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[2]/div/div[1]/div/div/div/div[2],,0
45,44,p,1,1,50,0.0120365912374,0.019853258524,0.334375,642,103.5,638,15,"rgb(153,153,153)","rgba(0,0,0,0)",0,0,41,1,/html/body/div[2]/div/div[1]/div/div/div/div[2]/p,,0
46,45,span,0,1,50,0.0120365912374,0.0202848511006,0.334375,642,103.5,0,0,"rgb(153,153,153)","rgba(0,0,0,0)",0,0,14,1,/html/body/div[2]/div/div[1]/div/div/div/div[2]/p/span,,0
47,33,div,19,1,56,0.0134809821858,0.0207164436772,0.328125,630,140.5,660,8053.171875,"rgb(51,51,51)","rgba(0,0,0,0)",6247,7015,122971,1,/html/body/div[2]/div/div[2],2017年1月11日 星期三 練乙錚 -...1) FEEDJIT,0
48,47,div,1,1,57,0.0137217140106,0.0211480362538,0.328125,630,140.5,660,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,120,1,/html/body/div[2]/div/div[2]/div[1],,0
49,48,div,0,1,58,0.0139624458353,0.0215796288304,0.328125,630,140.5,660,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,59,1,/html/body/div[2]/div/div[2]/div[1]/div,,0
50,47,div,18,1,60,0.0144439094848,0.022011221407,0.328125,630,140.5,410,3772.640625,"rgb(51,51,51)","rgba(0,0,0,0)",3694,3766,25401,1,/html/body/div[2]/div/div[2]/div[2],2017年1月11日 星期三 練乙錚 -...貼留言 (Atom),0
51,50,div,17,1,61,0.0146846413096,0.0224428139836,0.328125,630,155.703125,410,3737.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3694,3766,25370,1,/html/body/div[2]/div/div[2]/div[2]/div,2017年1月11日 星期三 練乙錚 -...貼留言 (Atom),0
52,51,div,16,1,61,0.0146846413096,0.0228744065602,0.328125,630,155.703125,410,3737.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3694,3766,25328,1,/html/body/div[2]/div/div[2]/div[2]/div/div,2017年1月11日 星期三 練乙錚 -...貼留言 (Atom),0
53,52,div,15,1,62,0.0149253731343,0.0233059991368,0.328125,630,155.703125,410,3642.4375,"rgb(51,51,51)","rgba(0,0,0,0)",3669,3735,24424,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1],2017年1月11日 星期三 練乙錚 -...心，有何改變？ 回覆,0
54,53,div,14,1,64,0.0154068367838,0.0237375917134,0.328125,630,155.703125,410,3642.4375,"rgb(51,51,51)","rgba(0,0,0,0)",3669,3735,24386,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div,2017年1月11日 星期三 練乙錚 -...心，有何改變？ 回覆,0
55,54,h2,1,1,66,0.0158883004333,0.02416918429,0.328125,630,155.703125,410,14,"rgb(153,153,153)","rgba(0,0,0,0)",13,14,56,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/h2,2017年1月11日 星期三,0
56,55,span,0,1,66,0.0158883004333,0.0246007768666,0.328125,630,156.703125,126.231140137,11,"rgb(153,153,153)","rgba(0,0,0,0)",13,14,27,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/h2/span,2017年1月11日 星期三,0
57,54,div,13,1,68,0.0163697640828,0.0250323694432,0.328125,630,176.203125,410,3621.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3656,3720,24298,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div,練乙錚 - 梁特誰隊冧？林鄭怎上台？ 氣...心，有何改變？ 回覆,0
58,57,div,12,1,70,0.0168512277323,0.0254639620199,0.328125,630,176.203125,410,3621.9375,"rgb(51,51,51)","rgba(0,0,0,0)",3656,3720,24266,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div,練乙錚 - 梁特誰隊冧？林鄭怎上台？ 氣...心，有何改變？ 回覆,0
59,58,div,6,1,71,0.0170919595571,0.0258955545965,0.328125,630,176.203125,410,2994.4375,"rgb(51,51,51)","rgba(0,0,0,0)",3351,3406,14688,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1],"練乙錚 - 梁特誰隊冧？林鄭怎上台？ 氣...治, 練乙錚, 選舉",0
60,59,a,0,1,72,0.0173326913818,0.0263271471731,0.328125,630,176.203125,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,34,1,/html/body/div[2]/div/div[2]/div[2]/div/div/div[1]/div/div/div/div[1]/a,,0
