id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00166666666667,0.00172117039587,0.0,0,0,1920,3562.65625,"rgb(0,0,0)","rgba(0,0,0,0)",1357,1469,74154,1,/html,Skip to content wong...COM 建置. 關注,0
91,0,body,14,1,1,0.00166666666667,0.15834767642,0.0,0,48,1920,3466.65625,"rgb(119,119,119)","rgb(243,243,243)",1357,1469,56387,1,/html/body,Skip to content wong...COM 建置. 關注,0
92,91,div,13,1,2,0.00333333333333,0.160068846816,0.202604166667,389,48,1142,3466.65625,"rgb(119,119,119)","rgb(255,255,255)",1355,1466,34824,1,/html/body/div[1],Skip to content wong...SS.COM 建置.,0
93,92,a,0,1,3,0.005,0.161790017212,-8.13072916667,-15611,96,1,1,"rgb(247,135,105)","rgba(0,0,0,0)",13,15,75,1,/html/body/div[1]/a,Skip to content,0
94,92,header,3,1,5,0.00833333333333,0.163511187608,0.244270833333,469,96,982,356.5,"rgb(119,119,119)","rgba(0,0,0,0)",36,44,497,1,/html/body/div[1]/header,wongchau DON`T GIVE ...T YOU CAN.,0
95,94,div,2,1,6,0.01,0.165232358003,0.244270833333,469,96,982,352,"rgb(119,119,119)","rgba(0,0,0,0)",36,44,407,1,/html/body/div[1]/header/div,wongchau DON`T GIVE ...T YOU CAN.,0
96,95,a,1,1,7,0.0116666666667,0.166953528399,0.244270833333,469,338,982,19,"rgb(247,135,105)","rgba(0,0,0,0)",0,0,208,1,/html/body/div[1]/header/div/a,,0
97,96,img,0,1,8,0.0133333333333,0.168674698795,0.244270833333,469,96,982,250,"rgb(247,135,105)","rgba(0,0,0,0)",0,0,149,1,/html/body/div[1]/header/div/a/img,,0
98,95,h1,1,1,10,0.0166666666667,0.170395869191,0.244270833333,469,360,982,58,"rgb(119,119,119)","rgba(0,0,0,0)",8,8,93,1,/html/body/div[1]/header/div/h1,wongchau,0
99,98,a,0,1,10,0.0166666666667,0.172117039587,0.45048421224,864.9296875,353,190.140625,72,"rgb(247,135,105)","rgba(0,0,0,0)",8,8,65,1,/html/body/div[1]/header/div/h1/a,wongchau,0
