id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,25,1,1,0.000268024658269,0.000601684717208,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3099,3249,134299,1,/html,"梁文道文集 香港雜評 2017年1月22...17,418,384",0
28,0,body,24,1,1,0.000268024658269,0.017448856799,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgb(255,255,255)",3099,3249,100248,1,/html/body,"梁文道文集 香港雜評 2017年1月22...17,418,384",0
29,28,div,3,1,2,0.000536049316537,0.0180505415162,0.0,0,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",1186,1249,2574,0,/html/body/div[1],function setAttribut...t); }})();,0
30,29,div,2,1,2,0.000536049316537,0.0186522262335,0.0,0,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",1186,1249,2528,1,/html/body/div[1]/div,function setAttribut...t); }})();,0
32,30,div,1,1,12,0.00321629589922,0.0198555956679,0.0,0,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,982,1,/html/body/div[1]/div/div,,0
33,32,iframe,0,1,12,0.00321629589922,0.0204572803851,0.0,0,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,942,1,/html/body/div[1]/div/div/iframe,,0
37,28,div,3,1,35,0.0093808630394,0.0228640192539,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,388,1,/html/body/div[2],,0
38,37,div,2,1,36,0.00964888769767,0.0234657039711,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,350,1,/html/body/div[2]/div,,0
39,38,div,1,1,37,0.00991691235594,0.0240673886883,0.0,0,0,1920,400,"rgb(85,85,85)","rgb(255,255,255)",0,0,87,1,/html/body/div[2]/div/div[1],,0
40,39,div,0,1,38,0.0101849370142,0.0246690734055,0.0,0,0,1920,400,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[2]/div/div[1]/div[1],,0
41,39,div,0,1,39,0.0104529616725,0.0252707581227,1.0,1920,0,0,400,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[2]/div/div[1]/div[2],,0
42,38,div,1,1,41,0.010989010989,0.02587244284,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[2]/div/div[2],,0
43,42,div,0,1,42,0.0112570356473,0.0264741275572,1.0,1920,0,0,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,36,1,/html/body/div[2]/div/div[2]/div[1],,0
44,42,div,0,1,43,0.0115250603055,0.0270758122744,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,37,1,/html/body/div[2]/div/div[2]/div[2],,0
45,38,div,1,1,46,0.0123291342804,0.0276774969916,0.0,0,3295.1875,1920,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/div/div[3],,0
46,45,div,0,1,47,0.0125971589386,0.0282791817088,0.0,0,3295.1875,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[2]/div/div[3]/div[1],,0
47,45,div,0,1,48,0.0128651835969,0.028880866426,1.0,1920,3295.1875,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[2]/div/div[3]/div[2],,0
48,28,div,23,1,52,0.01393728223,0.0294825511432,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",3099,3249,89838,1,/html/body/div[3],"梁文道文集 香港雜評 2017年1月22...17,418,384",0
49,48,div,3,1,53,0.0142053068882,0.0300842358604,0.0,0,0,1920,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,394,1,/html/body/div[3]/div[1],,0
50,49,div,2,1,54,0.0144733315465,0.0306859205776,0.234375,450,0,1020,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,353,1,/html/body/div[3]/div[1]/div,,0
51,50,div,1,1,55,0.0147413562048,0.0312876052948,0.234375,450,0,1020,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,87,1,/html/body/div[3]/div[1]/div/div[1],,0
52,51,div,0,1,56,0.015009380863,0.031889290012,0.234375,450,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[1]/div/div[1]/div[1],,0
53,51,div,0,1,57,0.0152774055213,0.0324909747292,0.765625,1470,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[1]/div/div[1]/div[2],,0
54,50,div,1,1,59,0.0158134548378,0.0330926594465,0.234375,450,0,1020,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[3]/div[1]/div/div[2],,0
55,54,div,0,1,60,0.0160814794961,0.0336943441637,0.765625,1470,0,0,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,36,1,/html/body/div[3]/div[1]/div/div[2]/div[1],,0
56,54,div,0,1,61,0.0163495041544,0.0342960288809,0.234375,450,0,1020,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,37,1,/html/body/div[3]/div[1]/div/div[2]/div[2],,0
57,50,div,1,1,64,0.0171535781292,0.0348977135981,0.234375,450,3295.1875,1020,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[3]/div[1]/div/div[3],,0
58,57,div,0,1,65,0.0174216027875,0.0354993983153,0.234375,450,3295.1875,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[1]/div/div[3]/div[1],,0
59,57,div,0,1,66,0.0176896274457,0.0361010830325,0.765625,1470,3295.1875,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[1]/div/div[3]/div[2],,0
60,48,div,22,1,70,0.0187617260788,0.0367027677497,0.234375,450,0,1020,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",3099,3249,89414,1,/html/body/div[3]/div[2],"梁文道文集 香港雜評 2017年1月22...17,418,384",0
61,60,div,1,1,71,0.0190297507371,0.0373044524669,0.234375,450,0,1020,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,103,1,/html/body/div[3]/div[2]/div[1],,0
62,61,div,0,1,72,0.0192977753953,0.0379061371841,0.234375,450,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[1]/div[1],,0
63,61,div,0,1,73,0.0195658000536,0.0385078219013,0.765625,1470,0,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[1]/div[2],,0
64,60,div,21,1,75,0.0201018493701,0.0391095066185,0.234375,450,0,1020,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",3099,3249,89165,1,/html/body/div[3]/div[2]/div[2],"梁文道文集 香港雜評 2017年1月22...17,418,384",0
65,64,div,0,1,76,0.0203698740284,0.0397111913357,0.765625,1470,0,0,3295.1875,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,61,1,/html/body/div[3]/div[2]/div[2]/div[1],,0
66,64,div,20,1,77,0.0206378986867,0.0403128760529,0.234375,450,0,1020,3295.1875,"rgb(85,85,85)","rgb(255,255,255)",3099,3249,89042,1,/html/body/div[3]/div[2]/div[2]/div[2],"梁文道文集 香港雜評 2017年1月22...17,418,384",0
67,66,header,9,1,78,0.0209059233449,0.0409145607702,0.255208333333,490,10,940,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,1785,1,/html/body/div[3]/div[2]/div[2]/div[2]/header,梁文道文集 香港雜評,0
68,67,div,8,1,79,0.0211739480032,0.0415162454874,0.255208333333,490,10,940,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,1766,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div,梁文道文集 香港雜評,0
69,68,div,1,1,80,0.0214419726615,0.0421179302046,0.255208333333,490,10,940,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,102,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[1],,0
70,69,div,0,1,81,0.0217099973198,0.0427196149218,0.255208333333,490,10,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[1]/div[1],,0
71,69,div,0,1,82,0.021978021978,0.043321299639,0.744791666667,1430,10,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[1]/div[2],,0
72,68,div,7,1,84,0.0225140712946,0.0439229843562,0.255208333333,490,10,940,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,1520,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2],梁文道文集 香港雜評,0
73,72,div,0,1,85,0.0227820959528,0.0445246690734,0.744791666667,1430,10,0,86,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,60,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[1],,0
74,72,div,6,1,86,0.0230501206111,0.0451263537906,0.255208333333,490,10,940,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,1399,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2],梁文道文集 香港雜評,0
75,74,div,5,1,87,0.0233181452694,0.0457280385078,0.255208333333,490,10,125,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,332,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div[1],梁文道文集 香港雜評,0
76,75,div,4,1,87,0.0233181452694,0.046329723225,0.255208333333,490,10,125,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,286,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div[1]/div,梁文道文集 香港雜評,0
77,76,div,3,1,88,0.0235861699276,0.0469314079422,0.255208333333,490,10,125,86,"rgb(85,85,85)","rgba(0,0,0,0)",9,10,221,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div[1]/div/div,梁文道文集 香港雜評,0
78,77,div,2,1,89,0.0238541945859,0.0475330926594,0.255208333333,490,10,125,35,"rgb(85,85,85)","rgba(0,0,0,0)",5,5,105,1,/html/body/div[3]/div[2]/div[2]/div[2]/header/div/div[2]/div[2]/div[1]/div/div/div[1],梁文道文集,0
