id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.000945179584121,0.000904977375566,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3616,3979,79234,1,/html,正體 | 簡體 2017年02月03日星...與許可   服務條款,0
61,0,body,16,1,1,0.000945179584121,0.0561085972851,0.0,0,0,1920,1080,"rgb(34,34,34)","rgb(255,255,255)",3616,3979,72448,1,/html/body,正體 | 簡體 2017年02月03日星...與許可   服務條款,0
62,61,noscript,0,1,2,0.00189035916824,0.0570135746606,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",128,132,165,1,/html/body/noscript,"<iframe src=""//www.g...></iframe>",0
65,61,div,15,1,11,0.0103969754253,0.0597285067873,0.0,0,0,1920,6281.375,"rgb(34,34,34)","rgba(0,0,0,0)",3616,3979,56256,1,/html/body/div[1],正體 | 簡體 2017年02月03日星...與許可   服務條款,0
66,65,header,13,1,12,0.0113421550095,0.0606334841629,0.0,0,0,1920,108.375,"rgb(34,34,34)","rgba(0,0,0,0)",364,467,10535,1,/html/body/div[1]/header,正體 | 簡體 2017年02月03日星... 地產 健康 電子報,0
67,66,div,12,1,13,0.0122873345936,0.0615384615385,0.0,0,0,1920,108.375,"rgb(34,34,34)","rgb(4,25,115)",364,467,10456,1,/html/body/div[1]/header/div[1],正體 | 簡體 2017年02月03日星... 地產 健康 電子報,0
68,67,div,7,1,14,0.0132325141777,0.062443438914,0.239583333333,460,0,1000,69.78125,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,1555,1,/html/body/div[1]/header/div[1]/div[1],正體 | 簡體 2017年02月03日星期五 【萬年曆】,0
69,68,div,2,1,15,0.0141776937618,0.0633484162896,0.239583333333,460,0,250,69.78125,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,161,1,/html/body/div[1]/header/div[1]/div[1]/div[1],,0
70,69,a,1,1,16,0.0151228733459,0.0642533936652,0.239583333333,460,30,178,17,"rgb(44,88,163)","rgba(0,0,0,0)",0,0,107,1,/html/body/div[1]/header/div[1]/div[1]/div[1]/a,,0
71,70,img,0,1,16,0.0151228733459,0.0651583710407,0.239583333333,460,19.1875,178,41,"rgb(44,88,163)","rgba(0,0,0,0)",0,0,91,1,/html/body/div[1]/header/div[1]/div[1]/div[1]/a/img,,0
72,68,div,6,1,18,0.0170132325142,0.0660633484163,0.369791666667,710,0,750,64.796875,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,1333,1,/html/body/div[1]/header/div[1]/div[1]/div[2],正體 | 簡體 2017年02月03日星期五 【萬年曆】,0
73,72,div,5,1,19,0.0179584120983,0.0669683257919,0.372395833333,715,0,740,64.796875,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,1278,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div,正體 | 簡體 2017年02月03日星期五 【萬年曆】,0
74,73,div,4,1,20,0.0189035916824,0.0678733031674,0.372395833333,715,0,555,49,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,708,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1],正體 | 簡體 2017年02月03日星期五 【萬年曆】,0
75,74,div,3,1,21,0.0198487712665,0.068778280543,0.372395833333,715,0,555,49,"rgb(255,255,255)","rgba(0,0,0,0)",24,28,662,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div,正體 | 簡體 2017年02月03日星期五 【萬年曆】,0
76,75,span,1,1,22,0.0207939508507,0.0696832579186,0.504166666667,968,29,26,15,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,79,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[1],正體,0
77,76,a,0,1,22,0.0207939508507,0.0705882352941,0.504166666667,968,29,26,15,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[1]/a,正體,0
78,75,span,0,1,23,0.0217391304348,0.0714932126697,0.519791666667,998,29,3,15,"rgb(255,255,255)","rgba(0,0,0,0)",1,1,14,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[2],|,0
79,75,span,1,1,24,0.0226843100189,0.0723981900452,0.5234375,1005,5,42,39,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,106,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[3],簡體,0
80,79,a,0,1,24,0.0226843100189,0.0733031674208,0.5234375,1005,29,26,15,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[3]/a,簡體,0
