id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.000945179584121,0.000884955752212,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3617,3979,87391,1,/html,正体 | 简体 2017年02月03日星...与许可   服务条款,0
68,0,body,16,1,1,0.000945179584121,0.0610619469027,0.0,0,0,1920,1080,"rgb(34,34,34)","rgb(255,255,255)",3617,3979,76512,1,/html/body,正体 | 简体 2017年02月03日星...与许可   服务条款,0
69,68,noscript,0,1,2,0.00189035916824,0.0619469026549,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",128,132,165,1,/html/body/noscript,"<iframe src=""//www.g...></iframe>",0
72,68,div,15,1,11,0.0103969754253,0.0646017699115,0.0,0,0,1920,6531.375,"rgb(34,34,34)","rgba(0,0,0,0)",3617,3979,59009,1,/html/body/div[1],正体 | 简体 2017年02月03日星...与许可   服务条款,0
73,72,header,13,1,12,0.0113421550095,0.0654867256637,0.0,0,0,1920,108.375,"rgb(34,34,34)","rgba(0,0,0,0)",364,467,10535,1,/html/body/div[1]/header,正体 | 简体 2017年02月03日星... 地产 健康 电子报,0
74,73,div,12,1,13,0.0122873345936,0.0663716814159,0.0,0,0,1920,108.375,"rgb(34,34,34)","rgb(4,25,115)",364,467,10456,1,/html/body/div[1]/header/div[1],正体 | 简体 2017年02月03日星... 地产 健康 电子报,0
75,74,div,7,1,14,0.0132325141777,0.0672566371681,0.239583333333,460,0,1000,69.78125,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,1555,1,/html/body/div[1]/header/div[1]/div[1],正体 | 简体 2017年02月03日星期五 【万年历】,0
76,75,div,2,1,15,0.0141776937618,0.0681415929204,0.239583333333,460,0,250,69.78125,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,161,1,/html/body/div[1]/header/div[1]/div[1]/div[1],,0
77,76,a,1,1,16,0.0151228733459,0.0690265486726,0.239583333333,460,30,178,17,"rgb(44,88,163)","rgba(0,0,0,0)",0,0,107,1,/html/body/div[1]/header/div[1]/div[1]/div[1]/a,,0
78,77,img,0,1,16,0.0151228733459,0.0699115044248,0.239583333333,460,19.1875,178,41,"rgb(44,88,163)","rgba(0,0,0,0)",0,0,91,1,/html/body/div[1]/header/div[1]/div[1]/div[1]/a/img,,0
79,75,div,6,1,18,0.0170132325142,0.070796460177,0.369791666667,710,0,750,64.796875,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,1333,1,/html/body/div[1]/header/div[1]/div[1]/div[2],正体 | 简体 2017年02月03日星期五 【万年历】,0
80,79,div,5,1,19,0.0179584120983,0.0716814159292,0.372395833333,715,0,740,64.796875,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,1278,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div,正体 | 简体 2017年02月03日星期五 【万年历】,0
81,80,div,4,1,20,0.0189035916824,0.0725663716814,0.372395833333,715,0,555,49,"rgb(34,34,34)","rgba(0,0,0,0)",24,28,708,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1],正体 | 简体 2017年02月03日星期五 【万年历】,0
82,81,div,3,1,21,0.0198487712665,0.0734513274336,0.372395833333,715,0,555,49,"rgb(255,255,255)","rgba(0,0,0,0)",24,28,662,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div,正体 | 简体 2017年02月03日星期五 【万年历】,0
83,82,span,1,1,22,0.0207939508507,0.0743362831858,0.504166666667,968,29,26,15,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,79,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[1],正体,0
84,83,a,0,1,22,0.0207939508507,0.0752212389381,0.504166666667,968,29,26,15,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[1]/a,正体,0
85,82,span,0,1,23,0.0217391304348,0.0761061946903,0.519791666667,998,29,3,15,"rgb(255,255,255)","rgba(0,0,0,0)",1,1,14,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[2],|,0
86,82,span,1,1,24,0.0226843100189,0.0769911504425,0.5234375,1005,5,42,39,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,106,1,/html/body/div[1]/header/div[1]/div[1]/div[2]/div/div[1]/div/span[3],简体,0
