id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,12,1,1,0.000765110941086,0.00093370681606,0.0,0,0,1920,5900.203125,"rgb(0,0,0)","rgba(0,0,0,0)",2893,3082,107202,1,/html,2017.2.3  14:25  星期五...權所有 © 2017,0
93,0,body,11,1,1,0.000765110941086,0.0877684407096,0.0,0,0,1920,5900.203125,"rgb(0,0,0)","rgba(0,0,0,0)",2893,3082,79140,1,/html/body,2017.2.3  14:25  星期五...權所有 © 2017,0
94,93,div,3,1,5,0.00382555470543,0.0887021475257,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,613,1,/html/body/div[1],,0
95,94,div,2,1,5,0.00382555470543,0.0896358543417,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,481,1,/html/body/div[1]/div[1],,0
96,95,div,1,1,5,0.00382555470543,0.0905695611578,0.0,0,-10000,0,152,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,402,1,/html/body/div[1]/div[1]/div,,0
97,96,iframe,0,1,5,0.00382555470543,0.0915032679739,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,391,1,/html/body/div[1]/div[1]/div/iframe,,0
98,94,div,1,1,5,0.00382555470543,0.0924369747899,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
99,98,div,0,1,5,0.00382555470543,0.093370681606,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
102,93,noscript,0,1,43,0.0328997704667,0.0961718020542,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",121,126,161,1,/html/body/noscript,"<img height=""1"" widt...ript=1"" />",0
103,93,div,0,1,46,0.03519510329,0.0971055088702,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,24,1,/html/body/div[2],,0
104,93,header,7,1,48,0.0367253251721,0.0980392156863,0.0,0,0,1920,150,"rgb(0,0,0)","rgba(0,0,0,0)",158,172,9110,1,/html/body/header,2017.2.3  14:25  星期五...活動01空間會員專區,0
105,104,div,6,1,49,0.0374904361132,0.0989729225023,0.0,0,0,1920,30,"rgb(255,255,255)","rgb(41,52,80)",24,33,998,1,/html/body/header/div[1],2017.2.3  14:25  星期五    17°C 會員登入,0
106,105,div,5,1,50,0.0382555470543,0.0999066293184,0.0,0,0,1920,30,"rgb(255,255,255)","rgba(0,0,0,0)",24,33,967,1,/html/body/header/div[1]/div,2017.2.3  14:25  星期五    17°C 會員登入,0
107,106,div,4,1,51,0.0390206579954,0.100840336134,0.0,0,0,1920,30,"rgb(255,255,255)","rgba(0,0,0,0)",24,33,435,1,/html/body/header/div[1]/div/div[1],2017.2.3  14:25  星期五    17°C 會員登入,0
108,107,a,2,1,52,0.0397857689365,0.101774042951,0.0,0,0,214,30,"rgb(255,255,255)","rgba(0,0,0,0)",20,28,219,1,/html/body/header/div[1]/div/div[1]/a,2017.2.3  14:25  星期五    17°C,0
109,108,div,1,1,53,0.0405508798776,0.102707749767,0.00416666666667,8,0,198,30,"rgb(255,255,255)","rgba(0,0,0,0)",20,28,190,1,/html/body/header/div[1]/div/div[1]/a/div,2017.2.3  14:25  星期五    17°C,0
110,109,span,0,1,54,0.0413159908187,0.103641456583,0.00416666666667,8,7,100,16,"rgb(255,255,255)","rgba(0,0,0,0)",13,15,51,1,/html/body/header/div[1]/div/div[1]/a/div/span[1],2017.2.3  14:25,0
111,109,span,0,1,55,0.0420811017598,0.104575163399,0.0583333333333,112,7,54,16,"rgb(255,255,255)","rgba(0,0,0,0)",3,3,47,1,/html/body/header/div[1]/div/div[1]/a/div/span[2],星期五,0
112,109,span,0,1,56,0.0428462127008,0.105508870215,0.0885416666667,170,7,36,16,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,36,1,/html/body/header/div[1]/div/div[1]/a/div/span[3],17°C,0
113,107,div,3,1,59,0.0451415455241,0.106442577031,0.9328125,1791,0,129,30,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,184,1,/html/body/header/div[1]/div/div[1]/div,會員登入,0
114,113,a,2,1,60,0.0459066564652,0.107376283847,0.9328125,1791,0,34,30,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,64,1,/html/body/header/div[1]/div/div[1]/div/a[1],,0
115,114,div,1,1,60,0.0459066564652,0.108309990663,0.936979166667,1799,0,16,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,39,1,/html/body/header/div[1]/div/div[1]/div/a[1]/div,,0
116,115,span,0,1,60,0.0459066564652,0.109243697479,0.936979166667,1799,0,16,30,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,13,1,/html/body/header/div[1]/div/div[1]/div/a[1]/div/span,,0
117,113,a,2,1,61,0.0466717674063,0.110177404295,0.950520833333,1825,0,95,30,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,76,1,/html/body/header/div[1]/div/div[1]/div/a[2],會員登入,0
118,117,div,1,1,62,0.0474368783474,0.111111111111,0.9546875,1833,0,79,30,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,49,1,/html/body/header/div[1]/div/div[1]/div/a[2]/div,會員登入,0
119,118,span,0,1,63,0.0482019892884,0.112044817927,0.9546875,1833,0,13,30,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,13,1,/html/body/header/div[1]/div/div[1]/div/a[2]/div/span,,0
120,106,div,4,1,67,0.0512624330528,0.112978524743,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",8,9,326,0,/html/body/header/div[1]/div/div[2],登入 註冊成為會員,0
121,120,div,3,1,68,0.0520275439939,0.113912231559,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",8,9,243,1,/html/body/header/div[1]/div/div[2]/div,登入 註冊成為會員,0
122,121,ul,2,1,69,0.052792654935,0.114845938375,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",8,9,192,1,/html/body/header/div[1]/div/div[2]/div/ul,登入 註冊成為會員,0
123,122,li,1,1,70,0.0535577658761,0.115779645191,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",2,2,85,1,/html/body/header/div[1]/div/div[2]/div/ul/li[1],登入,0
124,123,a,0,1,70,0.0535577658761,0.116713352007,0.0,0,0,0,0,"rgb(255,255,255)","rgb(15,99,150)",2,2,76,1,/html/body/header/div[1]/div/div[2]/div/ul/li[1]/a,登入,0
125,122,li,1,1,71,0.0543228768171,0.117647058824,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",6,6,95,1,/html/body/header/div[1]/div/div[2]/div/ul/li[2],註冊成為會員,0
126,125,a,0,1,71,0.0543228768171,0.11858076564,0.0,0,0,0,0,"rgb(255,255,255)","rgb(19,114,142)",6,6,86,1,/html/body/header/div[1]/div/div[2]/div/ul/li[2]/a,註冊成為會員,0
