id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,12,1,1,0.000755287009063,0.000931098696462,0.0,0,0,1920,5618.203125,"rgb(0,0,0)","rgba(0,0,0,0)",3047,3242,102590,1,/html,2017.2.3  14:25  星期五...權所有 © 2017,0
92,0,body,11,1,1,0.000755287009063,0.0865921787709,0.0,0,0,1920,5618.203125,"rgb(0,0,0)","rgba(0,0,0,0)",3047,3242,75314,1,/html/body,2017.2.3  14:25  星期五...權所有 © 2017,0
93,92,div,3,1,5,0.00377643504532,0.0875232774674,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,613,1,/html/body/div[1],,0
94,93,div,2,1,5,0.00377643504532,0.0884543761639,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,481,1,/html/body/div[1]/div[1],,0
95,94,div,1,1,5,0.00377643504532,0.0893854748603,0.0,0,-10000,0,152,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,402,1,/html/body/div[1]/div[1]/div,,0
96,95,iframe,0,1,5,0.00377643504532,0.0903165735568,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,391,1,/html/body/div[1]/div[1]/div/iframe,,0
97,93,div,1,1,5,0.00377643504532,0.0912476722533,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
98,97,div,0,1,5,0.00377643504532,0.0921787709497,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
101,92,noscript,0,1,43,0.0324773413897,0.0949720670391,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",121,126,161,1,/html/body/noscript,"<img height=""1"" widt...ript=1"" />",0
102,92,div,0,1,46,0.0347432024169,0.0959031657356,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,24,1,/html/body/div[2],,0
103,92,header,7,1,48,0.036253776435,0.096834264432,0.0,0,0,1920,150,"rgb(0,0,0)","rgba(0,0,0,0)",158,172,9110,1,/html/body/header,2017.2.3  14:25  星期五...活動01空間會員專區,0
104,103,div,6,1,49,0.0370090634441,0.0977653631285,0.0,0,0,1920,30,"rgb(255,255,255)","rgb(41,52,80)",24,33,998,1,/html/body/header/div[1],2017.2.3  14:25  星期五    17°C 會員登入,0
105,104,div,5,1,50,0.0377643504532,0.098696461825,0.0,0,0,1920,30,"rgb(255,255,255)","rgba(0,0,0,0)",24,33,967,1,/html/body/header/div[1]/div,2017.2.3  14:25  星期五    17°C 會員登入,0
106,105,div,4,1,51,0.0385196374622,0.0996275605214,0.0,0,0,1920,30,"rgb(255,255,255)","rgba(0,0,0,0)",24,33,435,1,/html/body/header/div[1]/div/div[1],2017.2.3  14:25  星期五    17°C 會員登入,0
107,106,a,2,1,52,0.0392749244713,0.100558659218,0.0,0,0,214,30,"rgb(255,255,255)","rgba(0,0,0,0)",20,28,219,1,/html/body/header/div[1]/div/div[1]/a,2017.2.3  14:25  星期五    17°C,0
108,107,div,1,1,53,0.0400302114804,0.101489757914,0.00416666666667,8,0,198,30,"rgb(255,255,255)","rgba(0,0,0,0)",20,28,190,1,/html/body/header/div[1]/div/div[1]/a/div,2017.2.3  14:25  星期五    17°C,0
109,108,span,0,1,54,0.0407854984894,0.102420856611,0.00416666666667,8,7,100,16,"rgb(255,255,255)","rgba(0,0,0,0)",13,15,51,1,/html/body/header/div[1]/div/div[1]/a/div/span[1],2017.2.3  14:25,0
110,108,span,0,1,55,0.0415407854985,0.103351955307,0.0583333333333,112,7,54,16,"rgb(255,255,255)","rgba(0,0,0,0)",3,3,47,1,/html/body/header/div[1]/div/div[1]/a/div/span[2],星期五,0
111,108,span,0,1,56,0.0422960725076,0.104283054004,0.0885416666667,170,7,36,16,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,36,1,/html/body/header/div[1]/div/div[1]/a/div/span[3],17°C,0
112,106,div,3,1,59,0.0445619335347,0.1052141527,0.9328125,1791,0,129,30,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,184,1,/html/body/header/div[1]/div/div[1]/div,會員登入,0
113,112,a,2,1,60,0.0453172205438,0.106145251397,0.9328125,1791,0,34,30,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,64,1,/html/body/header/div[1]/div/div[1]/div/a[1],,0
114,113,div,1,1,60,0.0453172205438,0.107076350093,0.936979166667,1799,0,16,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,39,1,/html/body/header/div[1]/div/div[1]/div/a[1]/div,,0
115,114,span,0,1,60,0.0453172205438,0.10800744879,0.936979166667,1799,0,16,30,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,13,1,/html/body/header/div[1]/div/div[1]/div/a[1]/div/span,,0
116,112,a,2,1,61,0.0460725075529,0.108938547486,0.950520833333,1825,0,95,30,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,76,1,/html/body/header/div[1]/div/div[1]/div/a[2],會員登入,0
117,116,div,1,1,62,0.0468277945619,0.109869646182,0.9546875,1833,0,79,30,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,49,1,/html/body/header/div[1]/div/div[1]/div/a[2]/div,會員登入,0
118,117,span,0,1,63,0.047583081571,0.110800744879,0.9546875,1833,0,13,30,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,13,1,/html/body/header/div[1]/div/div[1]/div/a[2]/div/span,,0
119,105,div,4,1,67,0.0506042296073,0.111731843575,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",8,9,326,0,/html/body/header/div[1]/div/div[2],登入 註冊成為會員,0
120,119,div,3,1,68,0.0513595166163,0.112662942272,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",8,9,243,1,/html/body/header/div[1]/div/div[2]/div,登入 註冊成為會員,0
121,120,ul,2,1,69,0.0521148036254,0.113594040968,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",8,9,192,1,/html/body/header/div[1]/div/div[2]/div/ul,登入 註冊成為會員,0
122,121,li,1,1,70,0.0528700906344,0.114525139665,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",2,2,85,1,/html/body/header/div[1]/div/div[2]/div/ul/li[1],登入,0
123,122,a,0,1,70,0.0528700906344,0.115456238361,0.0,0,0,0,0,"rgb(255,255,255)","rgb(15,99,150)",2,2,76,1,/html/body/header/div[1]/div/div[2]/div/ul/li[1]/a,登入,0
124,121,li,1,1,71,0.0536253776435,0.116387337058,0.0,0,0,0,0,"rgb(102,102,102)","rgba(0,0,0,0)",6,6,95,1,/html/body/header/div[1]/div/div[2]/div/ul/li[2],註冊成為會員,0
125,124,a,0,1,71,0.0536253776435,0.117318435754,0.0,0,0,0,0,"rgb(255,255,255)","rgb(19,114,142)",6,6,86,1,/html/body/header/div[1]/div/div[2]/div/ul/li[2]/a,註冊成為會員,0
126,105,div,1,1,80,0.0604229607251,0.118249534451,0.0,0,0,0,0,"rgb(255,255,255)","rgb(244,244,244)",2,2,175,0,/html/body/header/div[1]/div/div[3],搜尋,0
127,126,input,0,1,81,0.0611782477341,0.119180633147,0.0,0,0,0,0,"rgb(0,0,0)","rgb(255,255,255)",0,0,53,1,/html/body/header/div[1]/div/div[3]/input,,0
