id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,13,1,1,0.00127226463104,0.0016583747927,0.0,0,0,1920,5792.453125,"rgb(0,0,0)","rgba(0,0,0,0)",1885,2014,65406,1,/html,特首選舉倒數50.95833333333...權所有 © 2016,0
91,0,body,12,1,1,0.00127226463104,0.152570480929,0.0,0,60,1920,5732.453125,"rgb(0,0,0)","rgba(0,0,0,0)",1885,2014,40615,1,/html/body,特首選舉倒數50.95833333333...權所有 © 2016,0
92,91,div,3,1,5,0.00636132315522,0.154228855721,0.0,0,120,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,612,1,/html/body/div[1],,0
93,92,div,2,1,5,0.00636132315522,0.155887230514,0.0,0,-9940,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,480,1,/html/body/div[1]/div[1],,0
94,93,div,1,1,5,0.00636132315522,0.157545605307,0.0,0,-9940,0,152,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,401,1,/html/body/div[1]/div[1]/div,,0
95,94,iframe,0,1,5,0.00636132315522,0.1592039801,0.0,0,-9940,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,390,1,/html/body/div[1]/div[1]/div/iframe,,0
96,92,div,1,1,5,0.00636132315522,0.160862354892,0.0,0,-9940,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
97,96,div,0,1,5,0.00636132315522,0.162520729685,0.0,0,-9940,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
100,91,noscript,0,1,43,0.0547073791349,0.167495854063,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",121,126,161,1,/html/body/noscript,"<img height=""1"" widt...ript=1"" />",0
101,91,header,6,1,45,0.0572519083969,0.169154228856,0.0,0,120,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",69,70,2199,1,/html/body/header,特首選舉倒數50.95833333333...選委投票之路選戰評論,0
102,101,div,5,1,46,0.058524173028,0.170812603648,0.0,0,0,1920,108,"rgb(0,0,0)","rgba(0,0,0,0)",69,70,2148,1,/html/body/header/div[1],特首選舉倒數50.95833333333...選委投票之路選戰評論,0
103,102,div,4,1,47,0.059796437659,0.172470978441,0.166666666667,320,0,1280,65,"rgb(0,0,0)","rgba(0,0,0,0)",25,25,1231,1,/html/body/header/div[1]/div[1],特首選舉倒數50.958333333333336天,0
104,103,div,2,1,48,0.0610687022901,0.174129353234,0.184895833333,355,0,1210,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,428,1,/html/body/header/div[1]/div[1]/div[1],,0
105,104,a,1,1,49,0.0623409669211,0.175787728027,0.184895833333,355,23,72,31,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,154,1,/html/body/header/div[1]/div[1]/div[1]/a[1],,0
106,105,img,0,1,50,0.0636132315522,0.177446102819,0.184895833333,355,23,66,31,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,98,1,/html/body/header/div[1]/div[1]/div[1]/a[1]/img,,0
107,104,a,1,1,53,0.0674300254453,0.179104477612,0.227604166667,437,11,88,47,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,156,1,/html/body/header/div[1]/div[1]/div[1]/a[2],,0
108,107,img,0,1,54,0.0687022900763,0.180762852405,0.227604166667,437,11,88,47,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,88,1,/html/body/header/div[1]/div[1]/div[1]/a[2]/img,,0
109,103,div,3,1,59,0.0750636132316,0.182421227197,0.184895833333,355,0,1210,0,"rgb(0,0,0)","rgba(0,0,0,0)",25,25,753,1,/html/body/header/div[1]/div[1]/div[2],特首選舉倒數50.958333333333336天,0
110,109,div,2,1,60,0.0763358778626,0.18407960199,0.793229166667,1523,15,37,53,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,455,1,/html/body/header/div[1]/div[1]/div[2]/div[1],,0
111,110,a,0,1,61,0.0776081424936,0.185737976783,0.793229166667,1523,23,37,37,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,202,1,/html/body/header/div[1]/div[1]/div[2]/div[1]/a[1],,0
112,110,a,1,1,62,0.0788804071247,0.187396351575,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,216,0,/html/body/header/div[1]/div[1]/div[2]/div[1]/a[2],,0
113,112,span,0,1,63,0.0801526717557,0.189054726368,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,36,1,/html/body/header/div[1]/div[1]/div[2]/div[1]/a[2]/span,,0
114,109,div,1,1,66,0.0839694656489,0.190713101161,0.585416666667,1124,15,391,50,"rgb(255,255,255)","rgba(0,0,0,0)",25,25,190,1,/html/body/header/div[1]/div[1]/div[2]/div[2],特首選舉倒數50.958333333333336天,0
115,114,span,0,1,67,0.0852417302799,0.192371475954,0.6453125,1239,25,231,28,"rgb(255,255,255)","rgba(0,0,0,0)",18,18,69,1,/html/body/header/div[1]/div[1]/div[2]/div[2]/span,50.958333333333336,0
116,102,div,3,1,72,0.0916030534351,0.194029850746,0.166666666667,320,65,1280,43,"rgb(0,0,0)","rgba(0,0,0,0)",44,44,885,1,/html/body/header/div[1]/div[2],首頁選戰新聞特首戰走勢參選人履歷政綱比併...選委投票之路選戰評論,0
117,116,div,0,1,73,0.0928753180662,0.195688225539,0.184895833333,355,65,1210,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,29,1,/html/body/header/div[1]/div[2]/div[1],,0
118,116,div,2,1,74,0.0941475826972,0.197346600332,0.184895833333,355,65,1210,0,"rgb(255,255,255)","rgba(0,0,0,0)",44,44,795,1,/html/body/header/div[1]/div[2]/div[2],首頁選戰新聞特首戰走勢參選人履歷政綱比併...選委投票之路選戰評論,0
119,118,div,1,1,75,0.0954198473282,0.199004975124,0.184895833333,355,65,1108,0,"rgb(255,255,255)","rgba(0,0,0,0)",44,44,769,1,/html/body/header/div[1]/div[2]/div[2]/div,首頁選戰新聞特首戰走勢參選人履歷政綱比併...選委投票之路選戰評論,0
120,119,a,0,1,76,0.0966921119593,0.200663349917,0.184895833333,355,65,72.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",2,2,66,1,/html/body/header/div[1]/div[2]/div[2]/div/a[1],首頁,0
121,119,a,0,1,77,0.0979643765903,0.20232172471,0.222900390625,427.96875,65,104.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,75,1,/html/body/header/div[1]/div[2]/div[2]/div/a[2],選戰新聞,0
122,119,a,0,1,78,0.0992366412214,0.203980099502,0.277571614583,532.9375,65,120.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",5,5,78,1,/html/body/header/div[1]/div[2]/div[2]/div/a[3],特首戰走勢,0
123,119,a,0,1,79,0.100508905852,0.205638474295,0.340576171875,653.90625,65,120.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",5,5,79,1,/html/body/header/div[1]/div[2]/div[2]/div/a[4],參選人履歷,0
124,119,a,0,1,80,0.101781170483,0.207296849088,0.403580729167,774.875,65,104.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,75,1,/html/body/header/div[1]/div[2]/div[2]/div/a[5],政綱比併,0
125,119,a,0,1,81,0.103053435115,0.208955223881,0.458251953125,879.84375,65,152.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",7,7,77,1,/html/body/header/div[1]/div[2]/div[2]/div/a[6],特首跑馬仔遊戲,0
126,119,a,0,1,82,0.104325699746,0.210613598673,0.537923177083,1032.8125,65,152.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",7,7,93,1,/html/body/header/div[1]/div[2]/div[2]/div/a[7],選委名單勢力圖,0
127,119,a,0,1,83,0.105597964377,0.212271973466,0.617594401042,1185.78125,65,136.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",6,6,92,1,/html/body/header/div[1]/div[2]/div[2]/div/a[8],選委投票之路,0
128,119,a,0,1,84,0.106870229008,0.213930348259,0.688932291667,1322.75,65,104.96875,43,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,73,1,/html/body/header/div[1]/div[2]/div[2]/div/a[9],選戰評論,0
129,116,div,0,1,87,0.110687022901,0.215588723051,0.184895833333,355,65,1210,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,30,1,/html/body/header/div[1]/div[2]/div[3],,0
130,101,div,0,1,90,0.114503816794,0.217247097844,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,31,0,/html/body/header/div[2],,0
131,91,div,4,1,93,0.118320610687,0.218905472637,0.0,0,120,1920,90,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,615,1,/html/body/div[2],,0
132,131,div,3,1,94,0.119592875318,0.22056384743,0.0,0,120,1920,90,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,575,1,/html/body/div[2]/div,,0
133,132,div,2,1,95,0.120865139949,0.222222222222,0.0,0,120,1920,90,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,536,1,/html/body/div[2]/div/div,,0
134,133,div,1,1,95,0.120865139949,0.223880597015,0.0,0,120,1920,90,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,451,1,/html/body/div[2]/div/div/div,,0
135,134,iframe,0,1,95,0.120865139949,0.225538971808,0.247395833333,475,120,970,90,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,331,1,/html/body/div[2]/div/div/div/iframe,,0
136,91,section,11,1,98,0.124681933842,0.2271973466,0.0,0,210,1920,5482.453125,"rgb(0,0,0)","rgba(0,0,0,0)",1797,1921,29942,1,/html/body/section,【特首選戰】曾俊華網上眾籌　市民極踴躍　...2017年1月26日,0
137,136,div,10,1,99,0.125954198473,0.228855721393,0.291666666667,560,230,800,5462.453125,"rgb(0,0,0)","rgba(0,0,0,0)",1797,1921,29870,1,/html/body/section/div,【特首選戰】曾俊華網上眾籌　市民極踴躍　...2017年1月26日,0
138,137,div,9,1,100,0.127226463104,0.230514096186,0.291666666667,560,230,800,5462.453125,"rgb(0,0,0)","rgb(255,255,255)",1797,1921,29841,1,/html/body/section/div/div,【特首選戰】曾俊華網上眾籌　市民極踴躍　...2017年1月26日,0
139,138,div,8,1,102,0.129770992366,0.232172470978,0.3125,600,265,720,3333,"rgb(0,0,0)","rgba(0,0,0,0)",1153,1214,17202,1,/html/body/section/div/div/div[1],【特首選戰】曾俊華網上眾籌　市民極踴躍　...7特首選舉 特首選舉,0
140,139,section,6,1,103,0.131043256997,0.233830845771,0.3125,600,265,720,210,"rgb(0,0,0)","rgba(0,0,0,0)",73,83,2579,1,/html/body/section/div/div/div[1]/section,【特首選戰】曾俊華網上眾籌　市民極踴躍　...2-03 12:43,1
141,140,div,1,1,104,0.132315521628,0.235489220564,0.0,0,0,0,0,"rgb(136,136,136)","rgba(0,0,0,0)",8,8,52,0,/html/body/section/div/div/div[1]/section/div[1],特首選舉2017,0
142,141,tit,0,1,105,0.13358778626,0.237147595357,0.0,0,0,0,0,"rgb(136,136,136)","rgba(0,0,0,0)",8,8,19,1,/html/body/section/div/div/div[1]/section/div[1]/tit,特首選舉2017,1
143,140,div,1,1,107,0.136132315522,0.238805970149,0.3125,600,265,720,110,"rgb(0,0,0)","rgba(0,0,0,0)",25,27,69,1,/html/body/section/div/div/div[1]/section/div[2],【特首選戰】曾俊華網上眾籌　市民極踴躍　網站超負荷死機,1
