id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00141843971631,0.00125470514429,0.0,0,0,1920,5511,"rgb(0,0,0)","rgba(0,0,0,0)",5309,5619,84110,1,/html,墙外楼 网络热门话题追踪 首页 传闻 科... CSS 3 验证.,0
38,0,body,14,1,1,0.00141843971631,0.0489335006274,0.0,0,0,1920,5511,"rgb(85,85,85)","rgb(190,195,198)",5309,5619,62664,1,/html/body,墙外楼 网络热门话题追踪 首页 传闻 科... CSS 3 验证.,0
39,38,div,13,1,3,0.00425531914894,0.0501882057716,0.0,0,0,1920,5511,"rgb(85,85,85)","rgba(0,0,0,0)",5309,5619,60707,1,/html/body/div,墙外楼 网络热门话题追踪 首页 传闻 科... CSS 3 验证.,0
40,39,div,12,1,5,0.00709219858156,0.0514429109159,0.244791666667,470,20,980,5471,"rgb(85,85,85)","rgba(0,0,0,0)",5309,5619,60684,1,/html/body/div/div,墙外楼 网络热门话题追踪 首页 传闻 科... CSS 3 验证.,0
41,40,div,3,1,7,0.00992907801418,0.0526976160602,0.244791666667,470,20,980,91,"rgb(85,85,85)","rgba(0,0,0,0)",11,12,173,1,/html/body/div/div/div[1],墙外楼 网络热门话题追踪,0
42,41,div,2,1,10,0.0141843971631,0.0539523212045,0.244791666667,470,20,980,76,"rgb(85,85,85)","rgba(0,0,0,0)",11,12,122,1,/html/body/div/div/div[1]/div[1],墙外楼 网络热门话题追踪,0
43,42,h1,1,1,11,0.0156028368794,0.0552070263488,0.260416666667,500,45,920,30,"rgb(85,85,85)","rgba(0,0,0,0)",3,3,63,1,/html/body/div/div/div[1]/div[1]/h1,墙外楼,0
44,43,a,0,1,11,0.0156028368794,0.0564617314931,0.260416666667,500,45,920,30,"rgb(255,255,255)","rgba(0,0,0,0)",3,3,43,1,/html/body/div/div/div[1]/div[1]/h1/a,墙外楼,0
45,42,div,0,1,12,0.0170212765957,0.0577164366374,0.260416666667,500,75,102,16,"rgb(255,255,255)","rgba(0,0,0,0)",8,8,32,1,/html/body/div/div/div[1]/div[1]/div,网络热门话题追踪,0
46,41,div,0,1,14,0.0198581560284,0.0589711417817,0.244791666667,470,96,980,0,"rgb(85,85,85)","rgba(0,0,0,0)",0,0,25,1,/html/body/div/div/div[1]/div[2],,0
47,40,div,5,1,18,0.0255319148936,0.060225846926,0.244791666667,470,111,980,32,"rgb(85,85,85)","rgb(255,255,255)",14,20,3223,1,/html/body/div/div/div[2],首页 传闻 科技 经济 美食 资料 新闻,0
48,47,ul,4,1,20,0.0283687943262,0.0614805520703,0.244791666667,470,111,980,0,"rgb(85,85,85)","rgba(0,0,0,0)",14,20,2808,1,/html/body/div/div/div[2]/ul,首页 传闻 科技 经济 美食 资料 新闻,0
49,48,li,1,1,21,0.0297872340426,0.0627352572146,0.244791666667,470,111,0,0,"rgb(85,85,85)","rgba(0,0,0,0)",2,2,93,1,/html/body/div/div/div[2]/ul/li[1],首页,0
