id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,21,1,1,0.00242718446602,0.00219298245614,0.0,0,0,1920,5504,"rgb(0,0,0)","rgba(0,0,0,0)",2747,2797,84195,1,/html,Skip to content 首頁時事...偽？ ©2015評台,0
51,0,body,20,1,1,0.00242718446602,0.114035087719,0.0,0,0,1920,5490,"rgb(94,94,94)","rgb(255,255,255)",2747,2797,64066,1,/html/body,Skip to content 首頁時事...偽？ ©2015評台,0
56,51,div,3,1,21,0.0509708737864,0.125,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1001,1,/html/body/div[1],,0
57,56,div,2,1,21,0.0509708737864,0.127192982456,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,869,1,/html/body/div[1]/div[1],,0
58,57,div,1,1,21,0.0509708737864,0.129385964912,0.0,0,-10000,0,302,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,790,1,/html/body/div[1]/div[1]/div,,0
59,58,iframe,0,1,21,0.0509708737864,0.131578947368,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,388,1,/html/body/div[1]/div[1]/div/iframe[1],,0
60,58,iframe,0,1,21,0.0509708737864,0.133771929825,0.0,0,-9849,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,391,1,/html/body/div[1]/div[1]/div/iframe[2],,0
61,56,div,1,1,21,0.0509708737864,0.135964912281,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
62,61,div,0,1,21,0.0509708737864,0.138157894737,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
63,51,div,19,1,23,0.0558252427184,0.140350877193,0.0,0,0,1920,5490,"rgb(94,94,94)","rgba(0,0,0,0)",2747,2797,59822,1,/html/body/div[2],Skip to content 首頁時事...偽？ ©2015評台,0
