id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,21,1,1,0.00250626566416,0.00227272727273,0.0,0,0,1920,3657,"rgb(0,0,0)","rgba(0,0,0,0)",1670,1705,81207,1,/html,Skip to content 首頁時事...偽？ ©2015評台,0
51,0,body,20,1,1,0.00250626566416,0.118181818182,0.0,0,0,1920,3643,"rgb(94,94,94)","rgb(255,255,255)",1670,1705,61340,1,/html/body,Skip to content 首頁時事...偽？ ©2015評台,0
56,51,div,3,1,21,0.0526315789474,0.129545454545,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,999,1,/html/body/div[1],,0
57,56,div,2,1,21,0.0526315789474,0.131818181818,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,867,1,/html/body/div[1]/div[1],,0
58,57,div,1,1,21,0.0526315789474,0.134090909091,0.0,0,-10000,0,302,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,788,1,/html/body/div[1]/div[1]/div,,0
59,58,iframe,0,1,21,0.0526315789474,0.136363636364,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,387,1,/html/body/div[1]/div[1]/div/iframe[1],,0
60,58,iframe,0,1,21,0.0526315789474,0.138636363636,0.0,0,-9849,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,390,1,/html/body/div[1]/div[1]/div/iframe[2],,0
61,56,div,1,1,21,0.0526315789474,0.140909090909,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
62,61,div,0,1,21,0.0526315789474,0.143181818182,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
63,51,div,19,1,23,0.0576441102757,0.145454545455,0.0,0,0,1920,3643,"rgb(94,94,94)","rgba(0,0,0,0)",1670,1705,57097,1,/html/body/div[2],Skip to content 首頁時事...偽？ ©2015評台,0
64,63,header,18,1,24,0.0601503759398,0.147727272727,0.0,0,0,1920,0,"rgb(94,94,94)","rgba(0,0,0,0)",55,58,35465,1,/html/body/div[2]/header,Skip to content 首頁時事...台對談作者榜關於我們,0
65,64,div,17,1,25,0.062656641604,0.15,0.232291666667,446,0,1028,0,"rgb(94,94,94)","rgba(0,0,0,0)",55,58,35182,1,/html/body/div[2]/header/div[1],Skip to content 首頁時事...台對談作者榜關於我們,0
66,65,div,4,1,26,0.0651629072682,0.152272727273,0.232291666667,446,0,1028,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,27967,1,/html/body/div[2]/header/div[1]/div[1],,0
67,66,div,3,1,27,0.0676691729323,0.154545454545,0.232291666667,446,0,728,90,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,7989,1,/html/body/div[2]/header/div[1]/div[1]/div[1],,0
70,67,div,2,1,42,0.105263157895,0.161363636364,0.232291666667,446,0,728,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,7245,1,/html/body/div[2]/header/div[1]/div[1]/div[1]/div,,0
73,70,div,1,1,47,0.117794486216,0.168181818182,0.232291666667,446,0,728,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,5804,1,/html/body/div[2]/header/div[1]/div[1]/div[1]/div/div,,0
78,73,noscript,0,1,47,0.117794486216,0.179545454545,0.0,0,0,0,0,"rgb(94,94,94)","rgba(0,0,0,0)",143,147,186,1,/html/body/div[2]/header/div[1]/div[1]/div[1]/div/div/noscript,<a href='http://serv...r='0'></a>,0
82,66,div,3,1,55,0.137844611529,0.188636363636,0.611458333333,1174,0,300,250,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,19951,1,/html/body/div[2]/header/div[1]/div[1]/div[2],,0
84,82,div,2,1,64,0.160401002506,0.193181818182,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,7343,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[1],,0
87,84,div,1,1,69,0.172932330827,0.2,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,5802,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[1]/div,,0
95,82,div,1,1,79,0.197994987469,0.218181818182,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1529,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[2],,0
98,82,div,1,1,86,0.215538847118,0.225,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1547,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[3],,0
101,82,div,2,1,93,0.233082706767,0.231818181818,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,7458,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[4],,0
104,101,div,1,1,98,0.245614035088,0.238636363636,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,5899,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[4]/div,,0
109,104,noscript,0,1,98,0.245614035088,0.25,0.0,0,0,0,0,"rgb(94,94,94)","rgba(0,0,0,0)",143,147,186,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[4]/div/noscript,<a href='http://serv...r='0'></a>,0
113,82,div,1,1,102,0.255639097744,0.259090909091,0.611458333333,1174,0,300,0,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1554,1,/html/body/div[2]/header/div[1]/div[1]/div[2]/div[5],,0
116,65,div,16,1,111,0.278195488722,0.265909090909,0.232291666667,446,90,728,153,"rgb(94,94,94)","rgba(0,0,0,0)",55,58,7183,1,/html/body/div[2]/header/div[1]/div[2],Skip to content 首頁時事...台對談作者榜關於我們,0
117,116,div,2,1,112,0.280701754386,0.268181818182,0.232291666667,446,90,150,153,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,163,1,/html/body/div[2]/header/div[1]/div[2]/div[1],,0
118,117,a,1,1,112,0.280701754386,0.270454545455,0.232291666667,446,223,150,22,"rgb(59,141,189)","rgba(0,0,0,0)",0,0,139,1,/html/body/div[2]/header/div[1]/div[2]/div[1]/a,,0
119,118,img,0,1,112,0.280701754386,0.272727272727,0.232291666667,446,90,150,150,"rgb(59,141,189)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[2]/header/div[1]/div[2]/div[1]/a/img,,0
120,116,div,5,1,113,0.28320802005,0.275,0.311979166667,599,110,575,126,"rgb(94,94,94)","rgba(0,0,0,0)",55,58,2726,1,/html/body/div[2]/header/div[1]/div[2]/div[2],Skip to content 首頁時事...台對談作者榜關於我們,0
121,120,nav,4,1,113,0.28320802005,0.277272727273,0.311979166667,599,110,575,126,"rgb(94,94,94)","rgba(0,0,0,0)",55,58,2674,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav,Skip to content 首頁時事...台對談作者榜關於我們,0
122,121,h3,0,1,114,0.285714285714,0.279545454545,0.0,0,0,0,0,"rgb(255,255,255)","rgb(32,157,194)",4,4,33,0,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/h3,Menu,0
123,121,a,0,1,115,0.288220551378,0.281818181818,0.311979166667,599,110,119.265625,18,"rgb(59,141,189)","rgba(0,0,0,0)",13,15,85,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/a,Skip to content,0
124,121,div,3,1,117,0.293233082707,0.284090909091,0.311979166667,599,110,575,126,"rgb(94,94,94)","rgba(0,0,0,0)",42,42,2478,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div,首頁時事社會文化生活中國國際2016立法...台對談作者榜關於我們,0
125,124,ul,2,1,117,0.293233082707,0.286363636364,0.311979166667,599,110,575,123,"rgb(94,94,94)","rgba(0,0,0,0)",42,42,2437,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul,首頁時事社會文化生活中國國際2016立法...台對談作者榜關於我們,0
126,125,li,1,1,117,0.293233082707,0.288636363636,0.321354166667,617,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,163,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[1],首頁,0
127,126,a,0,1,117,0.293233082707,0.290909090909,0.321354166667,617,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,38,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[1]/a,首頁,0
128,125,li,1,1,118,0.295739348371,0.293181818182,0.3609375,693,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,242,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[2],時事,0
129,128,a,0,1,118,0.295739348371,0.295454545455,0.3609375,693,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[2]/a,時事,0
130,125,li,1,1,119,0.298245614035,0.297727272727,0.400520833333,769,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,180,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[3],社會,0
131,130,a,0,1,119,0.298245614035,0.3,0.400520833333,769,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[3]/a,社會,0
132,125,li,1,1,120,0.300751879699,0.302272727273,0.440104166667,845,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,180,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[4],文化,0
133,132,a,0,1,120,0.300751879699,0.304545454545,0.440104166667,845,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[4]/a,文化,0
134,125,li,1,1,121,0.303258145363,0.306818181818,0.4796875,921,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,180,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[5],生活,0
135,134,a,0,1,121,0.303258145363,0.309090909091,0.4796875,921,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[5]/a,生活,0
136,125,li,1,1,122,0.305764411028,0.311363636364,0.519270833333,997,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,182,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[6],中國,0
137,136,a,0,1,122,0.305764411028,0.313636363636,0.519270833333,997,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,68,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[6]/a,中國,0
138,125,li,1,1,123,0.308270676692,0.315909090909,0.558854166667,1073,117,40,27,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,180,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[7],國際,0
139,138,a,0,1,123,0.308270676692,0.318181818182,0.558854166667,1073,118,40,25,"rgb(94,94,94)","rgba(0,0,0,0)",2,2,66,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[7]/a,國際,0
140,125,li,1,1,124,0.310776942356,0.320454545455,0.321354166667,617,158,147.9375,27,"rgb(94,94,94)","rgba(0,0,0,0)",9,9,213,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[8],2016立法會選舉,0
141,140,a,0,1,124,0.310776942356,0.322727272727,0.321354166667,617,159,147.9375,25,"rgb(94,94,94)","rgba(0,0,0,0)",9,9,99,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[8]/a,2016立法會選舉,0
142,125,li,1,1,125,0.31328320802,0.325,0.417154947917,800.9375,158,80,27,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,156,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[9],歡迎投稿,0
143,142,a,0,1,125,0.31328320802,0.327272727273,0.417154947917,800.9375,159,80,25,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,45,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[9]/a,歡迎投稿,0
144,125,li,1,1,126,0.315789473684,0.329545454545,0.477571614583,916.9375,158,80,27,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,169,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[10],評台製作,0
145,144,a,0,1,126,0.315789473684,0.331818181818,0.477571614583,916.9375,159,80,25,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,59,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[10]/a,評台製作,0
146,125,li,1,1,127,0.318295739348,0.334090909091,0.53798828125,1032.9375,158,80,27,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,195,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[11],評台對談,0
147,146,a,0,1,127,0.318295739348,0.336363636364,0.53798828125,1032.9375,159,80,25,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,81,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[11]/a,評台對談,0
148,125,li,1,1,128,0.320802005013,0.338636363636,0.321354166667,617,199,60,27,"rgb(94,94,94)","rgba(0,0,0,0)",3,3,182,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[12],作者榜,0
149,148,a,0,1,128,0.320802005013,0.340909090909,0.321354166667,617,200,60,25,"rgb(94,94,94)","rgba(0,0,0,0)",3,3,72,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[12]/a,作者榜,0
150,125,li,1,1,129,0.323308270677,0.343181818182,0.371354166667,713,199,80,27,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,159,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[13],關於我們,0
151,150,a,0,1,129,0.323308270677,0.345454545455,0.371354166667,713,200,80,25,"rgb(94,94,94)","rgba(0,0,0,0)",4,4,48,1,/html/body/div[2]/header/div[1]/div[2]/div[2]/nav/div/ul/li[13]/a,關於我們,0
153,116,div,15,1,143,0.358395989975,0.35,0.476041666667,914,180,230,63,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,3886,1,/html/body/div[2]/header/div[1]/div[2]/div[3],,0
154,153,div,14,1,143,0.358395989975,0.352272727273,0.476041666667,914,180,230,63,"rgb(94,94,94)","rgb(255,255,255)",0,0,3860,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div,,0
155,154,div,13,1,143,0.358395989975,0.354545454545,0.483333333333,928,194,202,31,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,3803,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div,,0
156,155,form,12,1,143,0.358395989975,0.356818181818,0.483333333333,928,194,202,31,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1750,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form,,0
157,156,table,11,1,143,0.358395989975,0.359090909091,0.483333333333,928,194,202,31,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1343,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form/table[1],,0
158,157,tbody,10,1,143,0.358395989975,0.361363636364,0.483333333333,928,194,202,31,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1273,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form/table[1]/tbody,,0
159,158,tr,9,1,143,0.358395989975,0.363636363636,0.483333333333,928,194,202,31,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,1258,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form/table[1]/tbody/tr,,0
160,159,td,8,1,143,0.358395989975,0.365909090909,0.483333333333,928,194,131,31,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,988,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form/table[1]/tbody/tr/td[1],,0
161,160,div,7,1,143,0.358395989975,0.368181818182,0.483333333333,928,196,119,27,"rgb(94,94,94)","rgb(255,255,255)",0,0,906,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form/table[1]/tbody/tr/td[1]/div,,0
162,161,table,6,1,143,0.358395989975,0.370454545455,0.483854166667,929,197,117,22,"rgb(94,94,94)","rgba(0,0,0,0)",0,0,857,1,/html/body/div[2]/header/div[1]/div[2]/div[3]/div/div/form/table[1]/tbody/tr/td[1]/div/table,,0
