id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,11,1,1,0.000997008973081,0.0015037593985,0.0,0,0,1920,2551,"rgb(0,0,0)","rgba(0,0,0,0)",1550,1706,50815,1,/html,主页 要闻 RFA TV 港台 少数民族... 网站地图 联系我们,0
55,0,body,10,1,1,0.000997008973081,0.0842105263158,0.0,0,0,1920,2541,"rgb(0,0,0)","rgb(255,255,255)",1550,1706,34447,1,/html/body,主页 要闻 RFA TV 港台 少数民族... 网站地图 联系我们,0
63,55,div,3,1,31,0.0309072781655,0.0962406015038,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,993,1,/html/body/div[1],,0
64,63,div,2,1,31,0.0309072781655,0.0977443609023,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,861,1,/html/body/div[1]/div[1],,0
65,64,div,1,1,31,0.0309072781655,0.0992481203008,0.0,0,-10000,0,302,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,782,1,/html/body/div[1]/div[1]/div,,0
66,65,iframe,0,1,31,0.0309072781655,0.100751879699,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,384,1,/html/body/div[1]/div[1]/div/iframe[1],,0
67,65,iframe,0,1,31,0.0309072781655,0.102255639098,0.0,0,-9849,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,387,1,/html/body/div[1]/div[1]/div/iframe[2],,0
68,63,div,1,1,31,0.0309072781655,0.103759398496,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
69,68,div,0,1,31,0.0309072781655,0.105263157895,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
71,55,div,2,1,41,0.0408773678963,0.108270676692,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,406,0,/html/body/div[2],,0
72,71,a,1,1,42,0.0418743768694,0.10977443609,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,117,1,/html/body/div[2]/a[1],,0
73,72,img,0,1,43,0.0428713858425,0.111278195489,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,74,1,/html/body/div[2]/a[1]/img,,0
74,71,a,1,1,44,0.0438683948156,0.112781954887,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,132,1,/html/body/div[2]/a[2],,0
75,74,img,0,1,44,0.0438683948156,0.114285714286,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/a[2]/img,,0
76,71,a,1,1,45,0.0448654037886,0.115789473684,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,127,1,/html/body/div[2]/a[3],,0
77,76,img,0,1,46,0.0458624127617,0.117293233083,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,78,1,/html/body/div[2]/a[3]/img,,0
78,55,div,9,1,48,0.0478564307079,0.118796992481,0.244791666667,470,0,980,2541,"rgb(0,0,0)","rgb(255,255,255)",1550,1706,28998,1,/html/body/div[3],主页 要闻 RFA TV 港台 少数民族... 网站地图 联系我们,0
79,78,div,5,1,49,0.048853439681,0.12030075188,0.244791666667,470,0,980,85,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1866,1,/html/body/div[3]/div[1],,0
80,79,div,0,1,51,0.0508474576271,0.121804511278,0.260416666667,500,0,400,85,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,98,1,/html/body/div[3]/div[1]/div[1],,0
81,79,div,4,1,53,0.0528414755733,0.123308270677,0.244791666667,470,85,980,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1236,1,/html/body/div[3]/div[1]/div[2],,0
82,81,ul,3,1,54,0.0538384845464,0.124812030075,0.43125,828,0,607,28,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1181,1,/html/body/div[3]/div[1]/div[2]/ul,,0
83,82,li,2,1,55,0.0548354935194,0.126315789474,0.452083333333,868,8,48,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,116,1,/html/body/div[3]/div[1]/div[2]/ul/li[1],,0
84,83,a,1,1,55,0.0548354935194,0.127819548872,0.452083333333,868,8,48,20,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,107,1,/html/body/div[3]/div[1]/div[2]/ul/li[1]/a,,0
85,84,img,0,1,55,0.0548354935194,0.129323308271,0.452083333333,868,1,48,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[1]/a/img,,0
86,82,li,2,1,56,0.0558325024925,0.130827067669,0.482291666667,926,8,37,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,117,1,/html/body/div[3]/div[1]/div[2]/ul/li[2],,0
87,86,a,1,1,56,0.0558325024925,0.132330827068,0.482291666667,926,8,37,20,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,108,1,/html/body/div[3]/div[1]/div[2]/ul/li[2]/a,,0
88,87,img,0,1,56,0.0558325024925,0.133834586466,0.482291666667,926,1,37,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[2]/a/img,,0
89,82,li,2,1,57,0.0568295114656,0.135338345865,0.506770833333,973,8,42,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,115,1,/html/body/div[3]/div[1]/div[2]/ul/li[3],,0
90,89,a,1,1,57,0.0568295114656,0.136842105263,0.506770833333,973,8,42,20,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,106,1,/html/body/div[3]/div[1]/div[2]/ul/li[3]/a,,0
91,90,img,0,1,57,0.0568295114656,0.138345864662,0.506770833333,973,1,42,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[3]/a/img,,0
92,82,li,2,1,58,0.0578265204387,0.13984962406,0.533854166667,1025,8,52,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,114,1,/html/body/div[3]/div[1]/div[2]/ul/li[4],,0
93,92,a,1,1,58,0.0578265204387,0.141353383459,0.533854166667,1025,8,52,20,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[3]/div[1]/div[2]/ul/li[4]/a,,0
94,93,img,0,1,58,0.0578265204387,0.142857142857,0.533854166667,1025,1,52,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[4]/a/img,,0
95,82,li,2,1,59,0.0588235294118,0.144360902256,0.566145833333,1087,8,47,20,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[3]/div[1]/div[2]/ul/li[5],,0
96,95,a,1,1,59,0.0588235294118,0.145864661654,0.566145833333,1087,8,47,20,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,102,1,/html/body/div[3]/div[1]/div[2]/ul/li[5]/a,,0
