id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,10,1,1,0.00671140939597,0.00420168067227,0.0,0,0,1920,1932,"rgb(0,0,0)","rgba(0,0,0,0)",1898,2051,14332,1,/html,语文知识 - 文言专题 - 现代文阅读 ...、形容词、名词、数词,0
8,0,body,9,1,1,0.00671140939597,0.0378151260504,0.0,0,12,1920,1920,"rgb(0,0,0)","rgb(255,255,255)",1898,2051,13881,1,/html/body,语文知识 - 文言专题 - 现代文阅读 ...、形容词、名词、数词,0
9,8,div,3,1,2,0.0134228187919,0.0420168067227,0.25,480,12,960,26,"rgb(0,0,0)","rgb(247,247,247)",50,76,709,1,/html/body/div[1],语文知识 - 文言专题 - 现代文阅读 ...  [会员中心] -,0
10,9,ul,2,1,3,0.0201342281879,0.046218487395,0.25,480,12,960,24,"rgb(0,0,0)","rgba(0,0,0,0)",50,76,685,1,/html/body/div[1]/ul,语文知识 - 文言专题 - 现代文阅读 ...  [会员中心] -,0
11,10,li,1,1,4,0.0268456375839,0.0504201680672,0.260416666667,500,12,940,24,"rgb(0,0,0)","rgba(0,0,0,0)",50,76,675,1,/html/body/div[1]/ul/li,语文知识 - 文言专题 - 现代文阅读 ...  [会员中心] -,0
12,11,a,0,1,4,0.0268456375839,0.0546218487395,0.260416666667,500,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,59,1,/html/body/div[1]/ul/li/a[1],语文知识,0
13,11,a,0,1,4,0.0268456375839,0.0588235294118,0.290625,558,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,58,1,/html/body/div[1]/ul/li/a[2],文言专题,0
14,11,a,0,1,4,0.0268456375839,0.063025210084,0.320833333333,616,17,60,14,"rgb(45,100,179)","rgba(0,0,0,0)",5,5,63,1,/html/body/div[1]/ul/li/a[3],现代文阅读,0
15,11,a,0,1,4,0.0268456375839,0.0672268907563,0.357291666667,686,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,59,1,/html/body/div[1]/ul/li/a[4],小学语文,0
16,11,a,0,1,4,0.0268456375839,0.0714285714286,0.3875,744,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,60,1,/html/body/div[1]/ul/li/a[5],初中语文,0
17,11,a,0,1,4,0.0268456375839,0.0756302521008,0.417708333333,802,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,61,1,/html/body/div[1]/ul/li/a[6],高中语文,0
18,11,a,0,1,4,0.0268456375839,0.0798319327731,0.447916666667,860,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,58,1,/html/body/div[1]/ul/li/a[7],同步作文,0
19,11,a,0,1,4,0.0268456375839,0.0840336134454,0.478125,918,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,46,1,/html/body/div[1]/ul/li/a[8],教育资源,0
20,11,a,0,1,4,0.0268456375839,0.0882352941176,0.508333333333,976,17,24,14,"rgb(45,100,179)","rgba(0,0,0,0)",2,2,51,1,/html/body/div[1]/ul/li/a[9],字典,0
21,11,a,0,1,4,0.0268456375839,0.0924369747899,0.536458333333,1030,17,48,14,"rgb(45,100,179)","rgba(0,0,0,0)",4,4,68,1,/html/body/div[1]/ul/li/a[10],会员中心,0
22,8,div,3,1,6,0.0402684563758,0.0966386554622,0.25,480,38,960,65,"rgb(0,0,0)","rgb(255,255,255)",45,61,912,1,/html/body/div[2],文言专题 >> 文言字词 | 文言语法 ...典名著 | 文学常识,0
23,22,div,2,1,7,0.0469798657718,0.100840336134,0.25,480,38,175.671875,64,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,130,1,/html/body/div[2]/div[1],,0
24,23,a,1,1,7,0.0469798657718,0.105042016807,0.25,480,40,175.671875,62,"rgb(45,100,179)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[2]/div[1]/a,,0
25,24,img,0,1,7,0.0469798657718,0.109243697479,0.25,480,40,176,62,"rgb(45,100,179)","rgba(0,0,0,0)",0,0,69,1,/html/body/div[2]/div[1]/a/img,,0
26,22,div,2,1,9,0.0604026845638,0.113445378151,0.342504882813,657.609375,38,782.390625,60,"rgb(0,0,0)","rgba(0,0,0,0)",45,61,757,1,/html/body/div[2]/div[2],文言专题 >> 文言字词 | 文言语法 ...典名著 | 文学常识,0
27,26,div,1,1,10,0.0671140939597,0.117647058824,0.342504882813,657.609375,38,605,44,"rgb(0,0,0)","rgba(0,0,0,0)",45,61,710,1,/html/body/div[2]/div[2]/div,文言专题 >> 文言字词 | 文言语法 ...典名著 | 文学常识,0
28,27,a,0,1,10,0.0671140939597,0.121848739496,0.342504882813,657.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,58,1,/html/body/div[2]/div[2]/div/a[1],文言专题,0
29,27,a,0,1,10,0.0671140939597,0.126050420168,0.383129882812,735.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,74,1,/html/body/div[2]/div[2]/div/a[2],文言字词,0
30,27,a,0,1,10,0.0671140939597,0.13025210084,0.418025716146,802.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,74,1,/html/body/div[2]/div[2]/div/a[3],文言语法,0
31,27,a,0,1,10,0.0671140939597,0.134453781513,0.452921549479,869.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,76,1,/html/body/div[2]/div[2]/div/a[4],课内阅读,0
32,27,a,0,1,10,0.0671140939597,0.138655462185,0.487817382812,936.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,73,1,/html/body/div[2]/div[2]/div/a[5],文言翻译,0
33,27,a,0,1,10,0.0671140939597,0.142857142857,0.522713216146,1003.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,73,1,/html/body/div[2]/div[2]/div/a[6],高中阅读,0
34,27,a,0,1,10,0.0671140939597,0.147058823529,0.557609049479,1070.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,74,1,/html/body/div[2]/div[2]/div/a[7],诗词欣赏,0
35,27,a,0,1,10,0.0671140939597,0.151260504202,0.592504882813,1137.609375,58,58,24,"rgb(45,100,179)","rgb(209,209,209)",4,4,76,1,/html/body/div[2]/div[2]/div/a[8],经典名著,0
