id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.00152905198777,0.000998003992016,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3037,3284,120672,1,/html,宗旨及願景 作者與《輔仁》的關係 徵稿與...贊助商Nugenix,0
75,0,body,17,1,1,0.00152905198777,0.0758483033932,0.0,0,0,1920,1080,"rgb(34,34,34)","rgb(238,238,238)",3037,3284,101109,1,/html/body,宗旨及願景 作者與《輔仁》的關係 徵稿與...贊助商Nugenix,0
76,75,div,3,1,2,0.00305810397554,0.0768463073852,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1011,1,/html/body/div[1],,0
77,76,div,2,1,2,0.00305810397554,0.0778443113772,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,879,1,/html/body/div[1]/div[1],,0
78,77,div,1,1,2,0.00305810397554,0.0788423153693,0.0,0,-10000,0,300,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,800,1,/html/body/div[1]/div[1]/div,,0
79,78,iframe,0,1,2,0.00305810397554,0.0798403193613,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,393,1,/html/body/div[1]/div[1]/div/iframe[1],,0
80,78,iframe,0,1,2,0.00305810397554,0.0808383233533,0.0,0,-9850,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,396,1,/html/body/div[1]/div[1]/div/iframe[2],,0
81,76,div,1,1,2,0.00305810397554,0.0818363273453,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[1]/div[2],,0
82,81,div,0,1,2,0.00305810397554,0.0828343313373,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[1]/div[2]/div,,0
84,75,div,11,1,11,0.0168195718654,0.0848303393214,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",528,611,33214,0,/html/body/div[2],主頁 最新文章綜覽 傳媒監察 傳媒生態 ...y 陸凱柔（花生柔）,0
85,84,div,10,1,12,0.0183486238532,0.0858283433134,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",262,323,24324,1,/html/body/div[2]/div[1],主頁 最新文章綜覽 傳媒監察 傳媒生態 ... LGBT 輔仁科技,0
86,85,div,9,1,13,0.019877675841,0.0868263473054,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",262,323,24274,1,/html/body/div[2]/div[1]/div,主頁 最新文章綜覽 傳媒監察 傳媒生態 ... LGBT 輔仁科技,0
87,86,div,4,1,14,0.0214067278287,0.0878243512974,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,506,1,/html/body/div[2]/div[1]/div/div[1],,0
88,87,div,3,1,15,0.0229357798165,0.0888223552894,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,473,1,/html/body/div[2]/div[1]/div/div[1]/div,,0
89,88,form,2,1,16,0.0244648318043,0.0898203592814,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,445,1,/html/body/div[2]/div[1]/div/div[1]/div/form,,0
90,89,fieldset,1,1,17,0.025993883792,0.0908183632735,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,263,1,/html/body/div[2]/div[1]/div/div[1]/div/form/fieldset,,0
91,90,input,0,1,18,0.0275229357798,0.0918163672655,0.0,0,0,0,0,"rgb(0,0,0)","rgb(255,255,255)",0,0,178,1,/html/body/div[2]/div[1]/div/div[1]/div/form/fieldset/input[1],,0
92,90,input,0,1,19,0.0290519877676,0.0928143712575,0.0,0,0,0,0,"rgb(0,0,0)","rgb(192,192,192)",0,0,52,1,/html/body/div[2]/div[1]/div/div[1]/div/form/fieldset/input[2],,0
93,86,ul,8,1,24,0.0366972477064,0.0938123752495,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",262,323,23664,1,/html/body/div[2]/div[1]/div/ul,主頁 最新文章綜覽 傳媒監察 傳媒生態 ... LGBT 輔仁科技,0
94,93,div,3,1,24,0.0366972477064,0.0948103792415,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",8,9,831,1,/html/body/div[2]/div[1]/div/ul/div[1],主頁 最新文章綜覽,0
95,94,a,0,1,24,0.0366972477064,0.0958083832335,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",0,0,53,1,/html/body/div[2]/div[1]/div/ul/div[1]/a[1],,0
96,94,a,0,1,24,0.0366972477064,0.0968063872255,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",2,2,76,1,/html/body/div[2]/div[1]/div/ul/div[1]/a[2],主頁,0
97,94,div,2,1,25,0.0382262996942,0.0978043912176,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",6,6,501,1,/html/body/div[2]/div[1]/div/ul/div[1]/div,最新文章綜覽,0
98,97,a,0,1,25,0.0382262996942,0.0988023952096,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",0,0,53,1,/html/body/div[2]/div[1]/div/ul/div[1]/div/a,,0
99,97,div,1,1,26,0.039755351682,0.0998003992016,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",6,6,381,1,/html/body/div[2]/div[1]/div/ul/div[1]/div/div,最新文章綜覽,0
100,99,a,0,1,26,0.039755351682,0.100798403194,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",0,0,53,1,/html/body/div[2]/div[1]/div/ul/div[1]/div/div/a[1],,0
101,99,a,0,1,26,0.039755351682,0.101796407186,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",6,6,101,1,/html/body/div[2]/div[1]/div/ul/div[1]/div/div/a[2],最新文章綜覽,0
102,93,div,3,1,29,0.0443425076453,0.102794411178,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",8,9,798,1,/html/body/div[2]/div[1]/div/ul/div[2],傳媒監察 傳媒生態,0
103,102,a,0,1,29,0.0443425076453,0.10379241517,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",0,0,53,1,/html/body/div[2]/div[1]/div/ul/div[2]/a[1],,0
104,102,a,0,1,29,0.0443425076453,0.104790419162,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",4,4,105,1,/html/body/div[2]/div[1]/div/ul/div[2]/a[2],傳媒監察,0
105,102,div,2,1,30,0.045871559633,0.105788423154,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",4,4,450,1,/html/body/div[2]/div[1]/div/ul/div[2]/div,傳媒生態,0
106,105,a,0,1,30,0.045871559633,0.106786427146,0.0,0,0,0,0,"rgb(195,12,55)","rgba(0,0,0,0)",0,0,53,1,/html/body/div[2]/div[1]/div/ul/div[2]/div/a,,0
