id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,16,1,1,0.00148588410104,0.00138696255201,0.0,0,0,1920,6634.1875,"rgb(0,0,0)","rgba(0,0,0,0)",8412,10232,92515,1,/html,Alex Sisto Alessandr...om. Follow,0
75,0,body,15,1,1,0.00148588410104,0.105409153953,0.0,0,20,1920,6594.1875,"rgb(102,102,102)","rgb(241,241,241)",8412,10232,80143,1,/html/body,Alex Sisto Alessandr...om. Follow,0
76,75,div,14,1,2,0.00297176820208,0.106796116505,0.244791666667,470,20,980,6594.1875,"rgb(102,102,102)","rgb(255,255,255)",8406,10225,62853,1,/html/body/div[1],Alex Sisto Alessandr...Press.com.,0
77,76,div,6,1,3,0.00445765230312,0.108183079057,0.255208333333,490,20,940,30,"rgb(102,102,102)","rgba(0,0,0,0)",100,122,893,1,/html/body/div[1]/div[1],Alex Sisto Alessandr...to be free,0
78,77,div,5,1,4,0.00594353640416,0.109570041609,0.255208333333,490,50,940,0,"rgb(102,102,102)","rgba(0,0,0,0)",100,122,850,1,/html/body/div[1]/div[1]/div,Alex Sisto Alessandr...to be free,0
79,78,div,3,1,5,0.0074294205052,0.110957004161,0.255208333333,490,50,940,0,"rgb(102,102,102)","rgba(0,0,0,0)",34,39,234,1,/html/body/div[1]/div[1]/div/div[1],Alex Sisto Alessandr... math blog,0
80,79,div,2,1,6,0.00891530460624,0.112343966713,0.255208333333,490,50,700,36,"rgb(102,102,102)","rgba(0,0,0,0)",9,10,131,1,/html/body/div[1]/div[1]/div/div[1]/div[1],Alex Sisto,0
81,80,span,1,1,7,0.0104011887073,0.113730929265,0.255208333333,490,51,144,33,"rgb(102,102,102)","rgba(0,0,0,0)",9,10,102,1,/html/body/div[1]/div[1]/div/div[1]/div[1]/span,Alex Sisto,0
82,81,a,0,1,8,0.0118870728083,0.115117891817,0.255208333333,490,51,144,33,"rgb(0,0,0)","rgba(0,0,0,0)",9,10,87,1,/html/body/div[1]/div[1]/div/div[1]/div[1]/span/a,Alex Sisto,0
83,79,div,0,1,11,0.0163447251114,0.116504854369,0.630208333333,1210,65,220,18,"rgb(0,0,0)","rgba(0,0,0,0)",25,28,61,1,/html/body/div[1]/div[1]/div/div[1]/div[2],Alessandro Sisto's math blog,0
84,78,div,4,1,15,0.0222882615156,0.117891816921,0.255208333333,490,104,940,38,"rgb(102,102,102)","rgb(0,0,0)",66,82,554,1,/html/body/div[1]/div[1]/div/div[2],Skip to content Home...to be free,0
85,84,div,1,1,16,0.0237741456166,0.119278779473,-6.25,-12000,104,1,1,"rgb(102,102,102)","rgba(0,0,0,0)",13,15,110,1,/html/body/div[1]/div[1]/div/div[2]/div[1],Skip to content,0
86,85,a,0,1,16,0.0237741456166,0.120665742025,-6.25,-12000,104,20,114,"rgb(170,170,170)","rgba(0,0,0,0)",13,15,62,1,/html/body/div[1]/div[1]/div/div[2]/div[1]/a,Skip to content,0
87,84,div,3,1,17,0.0252600297177,0.122052704577,0.261458333333,502,104,928,0,"rgb(102,102,102)","rgba(0,0,0,0)",53,66,400,1,/html/body/div[1]/div[1]/div/div[2]/div[2],Home About me and th...to be free,0
88,87,ul,2,1,17,0.0252600297177,0.123439667129,0.261458333333,502,104,928,0,"rgb(102,102,102)","rgba(0,0,0,0)",53,66,376,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul,Home About me and th...to be free,0
89,88,li,1,1,17,0.0252600297177,0.124826629681,0.261458333333,502,104,54,38,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,60,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul/li[1],Home,0
90,89,a,0,1,17,0.0252600297177,0.126213592233,0.261458333333,502,104,54,38,"rgb(170,170,170)","rgba(0,0,0,0)",4,4,51,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul/li[1]/a,Home,0
91,88,li,1,1,17,0.0252600297177,0.127600554785,0.289583333333,556,104,154,38,"rgb(102,102,102)","rgba(0,0,0,0)",18,22,137,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul/li[2],About me and this blog,0
