id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,9,1,1,0.00266666666667,0.00311526479751,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",5673,6677,34087,1,/html,"Musings and writings...ncisco, CA",0
49,0,body,8,1,1,0.00266666666667,0.155763239875,0.0,0,0,1920,1080,"rgb(0,0,0)","rgb(255,255,255)",5673,6677,28200,1,/html/body,"Musings and writings...ncisco, CA",0
50,49,header,5,1,3,0.008,0.158878504673,0.0,0,0,1920,117,"rgb(0,0,0)","rgba(0,0,0,0)",36,42,1223,1,/html/body/header,Musings and writings...ilgun team,0
51,50,div,4,1,4,0.0106666666667,0.16199376947,0.266666666667,512,0,896,117,"rgb(0,0,0)","rgba(0,0,0,0)",36,42,1167,1,/html/body/header/div,Musings and writings...ilgun team,0
52,51,div,2,1,5,0.0133333333333,0.165109034268,0.266666666667,512,40,268.796875,46,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,309,1,/html/body/header/div/div[1],,0
53,52,a,1,1,6,0.016,0.168224299065,0.266666666667,512,74,140,14,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,140,1,/html/body/header/div/div[1]/a[1],,0
54,53,img,0,1,6,0.016,0.171339563863,0.266666666667,512,40,140,45,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,72,1,/html/body/header/div/div[1]/a[1]/img,,0
55,52,a,1,1,7,0.0186666666667,0.17445482866,0.0,0,0,0,0,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,142,0,/html/body/header/div/div[1]/a[2],,0
56,55,img,0,1,7,0.0186666666667,0.177570093458,0.0,0,0,0,0,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,74,1,/html/body/header/div/div[1]/a[2]/img,,0
57,51,div,2,1,9,0.024,0.180685358255,0.406665039063,780.796875,40,358.390625,30,"rgb(131,131,131)","rgba(0,0,0,0)",36,42,244,1,/html/body/header/div/div[2],Musings and writings...ilgun team,0
58,57,div,1,1,10,0.0266666666667,0.183800623053,0.406665039063,780.796875,58,358.390625,12,"rgb(131,131,131)","rgba(0,0,0,0)",36,42,108,1,/html/body/header/div/div[2]/div[1],Musings and writings...ilgun team,0
59,58,a,0,1,10,0.0266666666667,0.18691588785,0.524983723958,1007.96875,55,44.84375,17,"rgb(70,149,212)","rgba(0,0,0,0)",7,7,40,1,/html/body/header/div/div[2]/div[1]/a,Mailgun,0
60,57,div,1,1,11,0.0293333333333,0.190031152648,0.0,0,0,0,0,"rgb(131,131,131)","rgba(0,0,0,0)",26,30,97,0,/html/body/header/div/div[2]/div[2],Writings from the Mailgun team,0
61,60,a,0,1,11,0.0293333333333,0.193146417445,0.0,0,0,0,0,"rgb(70,149,212)","rgba(0,0,0,0)",7,7,40,1,/html/body/header/div/div[2]/div[2]/a,Mailgun,0
62,51,div,2,1,13,0.0346666666667,0.196261682243,0.593334960938,1139.203125,40,268.796875,39,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,136,1,/html/body/header/div/div[3],,0
63,62,div,1,1,14,0.0373333333333,0.19937694704,0.720418294271,1383.203125,54,24,24,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,108,1,/html/body/header/div/div[3]/div,,0
64,63,i,0,1,15,0.04,0.202492211838,0.720418294271,1383.203125,54,24,24,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,27,1,/html/body/header/div/div[3]/div/i[1],,0
65,63,i,0,1,16,0.0426666666667,0.205607476636,0.720418294271,1383.203125,54,24,24,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,26,1,/html/body/header/div/div[3]/div/i[2],,0
66,51,div,3,1,20,0.0533333333333,0.208722741433,0.0,0,0,0,0,"rgb(0,0,0)","rgb(255,255,255)",19,21,444,0,/html/body/header/div/div[4],Return to mailgun.com,0
67,66,form,2,1,21,0.056,0.211838006231,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,295,1,/html/body/header/div/div[4]/form,,0
68,67,div,1,1,22,0.0586666666667,0.214953271028,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,192,1,/html/body/header/div/div[4]/form/div,,0
69,68,input,0,1,23,0.0613333333333,0.218068535826,0.0,0,0,0,0,"rgb(52,51,51)","rgba(0,0,0,0)",0,0,155,1,/html/body/header/div/div[4]/form/div/input,,0
70,67,button,1,1,25,0.0666666666667,0.221183800623,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,59,1,/html/body/header/div/div[4]/form/button,,0
71,70,i,0,1,25,0.0666666666667,0.224299065421,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,27,1,/html/body/header/div/div[4]/form/button/i,,0
72,66,section,0,1,27,0.072,0.227414330218,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,45,1,/html/body/header/div/div[4]/section,,0
73,66,a,0,1,28,0.0746666666667,0.230529595016,0.0,0,0,0,0,"rgb(70,149,212)","rgba(0,0,0,0)",19,21,69,1,/html/body/header/div/div[4]/a,Return to mailgun.com,0
74,49,div,7,1,34,0.0906666666667,0.233644859813,0.0,0,117,1920,11113,"rgb(0,0,0)","rgba(0,0,0,0)",5503,6471,14786,1,/html/body/div[1],Machine Learning for...it Mailgun,0
75,74,div,6,1,47,0.125333333333,0.236760124611,0.266666666667,512,117,896,11113,"rgb(0,0,0)","rgba(0,0,0,0)",5503,6471,14485,1,/html/body/div[1]/div,Machine Learning for...it Mailgun,0
76,75,article,5,1,48,0.128,0.239875389408,0.266666666667,512,117,896,10394,"rgb(0,0,0)","rgba(0,0,0,0)",5503,6471,13007,1,/html/body/div[1]/div/article,Machine Learning for...it Mailgun,0
77,76,div,2,1,49,0.130666666667,0.242990654206,0.266666666667,512,153,896,60,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,218,1,/html/body/div[1]/div/article/div[1],,0
78,77,a,1,1,50,0.133333333333,0.246105919003,0.484375,930,175,60,14,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,183,1,/html/body/div[1]/div/article/div[1]/a,,0
79,78,i,0,1,51,0.136,0.249221183801,0.484375,930,153,60,60,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,113,1,/html/body/div[1]/div/article/div[1]/a/i,,0
80,76,div,2,1,54,0.144,0.252336448598,0.266666666667,512,219,896,60,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,194,1,/html/body/div[1]/div/article/div[2],,0
81,80,a,1,1,55,0.146666666667,0.255451713396,0.484375,930,241,60,14,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,159,1,/html/body/div[1]/div/article/div[2]/a,,0
82,81,i,0,1,56,0.149333333333,0.258566978193,0.484375,930,219,60,60,"rgb(70,149,212)","rgba(0,0,0,0)",0,0,97,1,/html/body/div[1]/div/article/div[2]/a/i,,0
83,76,h1,0,1,60,0.16,0.261682242991,0.266666666667,512,285,896,60,"rgb(0,0,0)","rgba(0,0,0,0)",31,35,71,1,/html/body/div[1]/div/article/h1,Machine Learning for...yday Tasks,1
