id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,16,1,1,0.00198412698413,0.00214132762313,0.0,0,0,1920,2959.375,"rgb(0,0,0)","rgba(0,0,0,0)",3991,4735,50200,1,/html,Everything is Data S...om. Follow,0
70,0,body,15,1,1,0.00198412698413,0.152034261242,0.0,0,0,1920,2959.375,"rgb(51,51,51)","rgb(255,255,255)",3991,4735,38703,1,/html/body,Everything is Data S...om. Follow,0
71,70,div,14,1,2,0.00396825396825,0.154175588865,0.299479166667,575,0,770,2959.375,"rgb(51,51,51)","rgba(0,0,0,0)",3985,4728,27139,1,/html/body/div[1],Everything is Data S...Press.com.,0
72,71,div,13,1,3,0.00595238095238,0.156316916488,0.299479166667,575,0,770,2959.375,"rgb(51,51,51)","rgba(0,0,0,0)",3985,4728,27077,1,/html/body/div[1]/div,Everything is Data S...Press.com.,0
73,72,div,5,1,4,0.00793650793651,0.158458244111,0.299479166667,575,0,770,325,"rgb(51,51,51)","rgba(0,0,0,0)",38,45,767,1,/html/body/div[1]/div/div[1],Everything is Data S...HOME ABOUT,0
74,73,div,2,1,5,0.00992063492063,0.160599571734,0.299479166667,575,0,770,72,"rgb(51,51,51)","rgba(0,0,0,0)",16,18,154,1,/html/body/div[1]/div/div[1]/div[1],Everything is Data,0
75,74,span,1,1,6,0.0119047619048,0.162740899358,0.503645833333,967,37,378,16,"rgb(51,51,51)","rgba(0,0,0,0)",16,18,125,1,/html/body/div[1]/div/div[1]/div[1]/span,Everything is Data,0
76,75,a,0,1,7,0.0138888888889,0.164882226981,0.503645833333,967,13,378,46,"rgb(0,0,0)","rgba(0,0,0,0)",16,18,110,1,/html/body/div[1]/div/div[1]/div[1]/span/a,Everything is Data,0
77,73,div,4,1,11,0.0218253968254,0.167023554604,0.299479166667,575,72,770,45,"rgb(51,51,51)","rgba(0,0,0,0)",22,26,355,1,/html/body/div[1]/div/div[1]/div[2],SKIP TO CONTENT HOME ABOUT,0
78,77,div,1,1,12,0.0238095238095,0.169164882227,-7.29166666667,-14000,73,223.8125,42,"rgb(51,51,51)","rgba(0,0,0,0)",13,15,110,1,/html/body/div[1]/div/div[1]/div[2]/div[1],SKIP TO CONTENT,0
79,78,a,0,1,12,0.0238095238095,0.17130620985,-7.29166666667,-14000,73,223.8125,42,"rgb(34,34,34)","rgba(0,0,0,0)",13,15,62,1,/html/body/div[1]/div/div[1]/div[2]/div[1]/a,SKIP TO CONTENT,0
80,77,div,3,1,13,0.0257936507937,0.173447537473,0.299479166667,575,73,770,0,"rgb(51,51,51)","rgba(0,0,0,0)",9,10,204,1,/html/body/div[1]/div/div[1]/div[2]/div[2],HOME ABOUT,0
81,80,ul,2,1,13,0.0257936507937,0.175588865096,0.299479166667,575,73,770,0,"rgb(51,51,51)","rgba(0,0,0,0)",9,10,180,1,/html/body/div[1]/div/div[1]/div[2]/div[2]/ul,HOME ABOUT,0
82,81,li,1,1,13,0.0257936507937,0.177730192719,0.299479166667,575,73,84.375,42,"rgb(51,51,51)","rgba(0,0,0,0)",4,4,67,1,/html/body/div[1]/div/div[1]/div[2]/div[2]/ul/li[1],HOME,0
83,82,a,0,1,13,0.0257936507937,0.179871520343,0.299479166667,575,73,84.375,42,"rgb(34,34,34)","rgba(0,0,0,0)",4,4,58,1,/html/body/div[1]/div/div[1]/div[2]/div[2]/ul/li[1]/a,HOME,0
84,81,li,1,1,13,0.0257936507937,0.182012847966,0.343424479167,659.375,73,92.96875,42,"rgb(51,51,51)","rgba(0,0,0,0)",5,5,104,1,/html/body/div[1]/div/div[1]/div[2]/div[2]/ul/li[2],ABOUT,0
85,84,a,0,1,13,0.0257936507937,0.184154175589,0.343424479167,659.375,73,92.96875,42,"rgb(34,34,34)","rgba(0,0,0,0)",5,5,65,1,/html/body/div[1]/div/div[1]/div[2]/div[2]/ul/li[2]/a,ABOUT,0
86,73,div,2,1,16,0.031746031746,0.186295503212,0.299479166667,575,72,770,253,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,205,1,/html/body/div[1]/div/div[1]/div[3],,0
87,86,a,1,1,17,0.0337301587302,0.188436830835,0.299479166667,575,305,770,16,"rgb(28,155,220)","rgba(0,0,0,0)",0,0,183,1,/html/body/div[1]/div/div[1]/div[3]/a,,0
88,87,img,0,1,18,0.0357142857143,0.190578158458,0.299479166667,575,117,770,201.875,"rgb(28,155,220)","rgba(0,0,0,0)",0,0,116,1,/html/body/div[1]/div/div[1]/div[3]/a/img,,0
89,72,div,12,1,23,0.0456349206349,0.192719486081,0.299479166667,575,0,770,0,"rgb(51,51,51)","rgba(0,0,0,0)",3892,4617,25817,1,/html/body/div[1]/div/div[2],← Too Good To Be Bel...att Welsh),0
90,89,div,11,1,25,0.0496031746032,0.194860813704,0.299479166667,575,355,770,2572.375,"rgb(51,51,51)","rgba(0,0,0,0)",3010,3586,22009,1,/html/body/div[1]/div/div[2]/div[1],← Too Good To Be Bel...ve a Reply,0
91,90,div,10,1,26,0.0515873015873,0.197002141328,0.299479166667,575,355,500.421875,2572.375,"rgb(51,51,51)","rgba(0,0,0,0)",3010,3586,21956,1,/html/body/div[1]/div/div[2]/div[1]/div,← Too Good To Be Bel...ve a Reply,0
92,91,div,3,1,29,0.0575396825397,0.199143468951,0.299479166667,575,355,500.421875,23,"rgb(51,51,51)","rgba(0,0,0,0)",20,25,268,1,/html/body/div[1]/div/div[2]/div[1]/div/div[1],← Too Good To Be Believed,0
93,92,div,2,1,30,0.0595238095238,0.201284796574,0.299479166667,575,355,250.203125,23,"rgb(51,51,51)","rgba(0,0,0,0)",20,25,192,1,/html/body/div[1]/div/div[2]/div[1]/div/div[1]/div[1],← Too Good To Be Believed,0
94,93,a,1,1,30,0.0595238095238,0.203426124197,0.299479166667,575,358,177,16,"rgb(28,155,220)","rgba(0,0,0,0)",20,25,160,1,/html/body/div[1]/div/div[2]/div[1]/div/div[1]/div[1]/a,← Too Good To Be Believed,0
95,94,span,0,1,30,0.0595238095238,0.20556745182,0.299479166667,575,358,14,16,"rgb(28,155,220)","rgba(0,0,0,0)",1,1,31,1,/html/body/div[1]/div/div[2]/div[1]/div/div[1]/div[1]/a/span,←,0
96,92,div,0,1,31,0.0615079365079,0.207708779443,0.429801432292,825.21875,355,250.203125,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[1]/div/div[2]/div[1]/div/div[1]/div[2],,0
97,91,div,7,1,34,0.0674603174603,0.209850107066,0.299479166667,575,401.796875,500.421875,1293.59375,"rgb(51,51,51)","rgba(0,0,0,0)",1489,1771,7785,1,/html/body/div[1]/div/div[2]/div[1]/div/div[2],"MAY 7, 2012 · 4:14 A...ategorized",0
98,97,div,0,1,35,0.0694444444444,0.21199143469,0.299479166667,575,401.796875,147,25,"rgb(51,51,51)","rgb(245,245,245)",16,21,53,1,/html/body/div[1]/div/div[2]/div[1]/div/div[2]/div[1],"MAY 7, 2012 · 4:14 AM",1
99,97,div,2,1,39,0.077380952381,0.214132762313,0.477823893229,917.421875,401.796875,158,33,"rgb(51,51,51)","rgba(0,0,0,0)",15,18,173,1,/html/body/div[1]/div/div[2]/div[1]/div/div[2]/div[2],↓ Jump to Comments,0
100,99,a,1,1,39,0.077380952381,0.216274089936,0.483032226562,927.421875,409.796875,138,16,"rgb(28,155,220)","rgba(0,0,0,0)",15,18,149,1,/html/body/div[1]/div/div[2]/div[1]/div/div[2]/div[2]/a,↓ Jump to Comments,0
101,100,span,0,1,39,0.077380952381,0.218415417559,0.483032226562,927.421875,409.796875,17,16,"rgb(28,155,220)","rgba(0,0,0,0)",1,1,32,1,/html/body/div[1]/div/div[2]/div[1]/div/div[2]/div[2]/a/span,↓,0
