id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,13,1,1,0.00176056338028,0.00183486238532,0.0,0,0,1920,3689.203125,"rgb(0,0,0)","rgba(0,0,0,0)",2876,3451,57669,1,/html,fig & fennel Thought.... • Follow,0
77,0,body,12,1,1,0.00176056338028,0.143119266055,0.0,0,0,1920,3689.203125,"rgb(69,51,32)","rgb(244,208,168)",2876,3451,44987,1,/html/body,fig & fennel Thought.... • Follow,0
78,77,div,0,1,2,0.00352112676056,0.14495412844,0.0,0,0,1920,137,"rgb(69,51,32)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[1],,0
79,77,div,11,1,3,0.00528169014085,0.146788990826,0.244791666667,470,0,980,3689.203125,"rgb(69,51,32)","rgba(0,0,0,0)",2870,3444,28518,1,/html/body/div[2],fig & fennel Thought...ess.com. •,0
80,79,div,4,1,4,0.00704225352113,0.148623853211,0.244791666667,470,0,980,166,"rgb(69,51,32)","rgba(0,0,0,0)",53,63,618,1,/html/body/div[2]/div[1],fig & fennel Thought... HomeAbout,0
81,80,h1,1,1,5,0.00880281690141,0.150458715596,0.244791666667,470,20,980,44,"rgb(108,92,70)","rgba(0,0,0,0)",10,12,85,1,/html/body/div[2]/div[1]/h1,fig & fennel,0
82,81,a,0,1,5,0.00880281690141,0.152293577982,0.244791666667,470,16,219.59375,51,"rgb(108,92,70)","rgba(0,0,0,0)",10,12,66,1,/html/body/div[2]/div[1]/h1/a,fig & fennel,0
83,80,p,0,1,6,0.0105633802817,0.154128440367,0.244791666667,470,74,980,19,"rgb(108,92,70)","rgba(0,0,0,0)",34,40,64,1,/html/body/div[2]/div[1]/p,Thoughts and Recipes...lthy life.,0
84,80,div,3,1,9,0.0158450704225,0.155963302752,0.244791666667,470,123,714,43,"rgb(69,51,32)","rgba(0,0,0,0)",9,9,239,1,/html/body/div[2]/div[1]/div,HomeAbout,0
85,84,ul,2,1,10,0.0176056338028,0.157798165138,0.244791666667,470,123,714,43,"rgb(69,51,32)","rgba(0,0,0,0)",9,9,217,1,/html/body/div[2]/div[1]/div/ul,HomeAbout,0
86,85,li,1,1,11,0.0193661971831,0.159633027523,0.244791666667,470,123,60.6875,43,"rgb(69,51,32)","rgba(0,0,0,0)",4,4,82,1,/html/body/div[2]/div[1]/div/ul/li[1],Home,0
87,86,a,0,1,11,0.0193661971831,0.161467889908,0.25,480,134,40.6875,20,"rgb(0,0,0)","rgba(0,0,0,0)",4,4,54,1,/html/body/div[2]/div[1]/div/ul/li[1]/a,Home,0
88,85,li,1,1,12,0.0211267605634,0.163302752294,0.276399739583,530.6875,123,63.359375,43,"rgb(69,51,32)","rgba(0,0,0,0)",5,5,100,1,/html/body/div[2]/div[1]/div/ul/li[2],About,0
89,88,a,0,1,12,0.0211267605634,0.165137614679,0.281608072917,540.6875,134,43.359375,20,"rgb(0,0,0)","rgba(0,0,0,0)",5,5,61,1,/html/body/div[2]/div[1]/div/ul/li[2]/a,About,0
90,80,form,1,1,16,0.0281690140845,0.166972477064,0.616666666667,1184,131,266,27,"rgb(69,51,32)","rgba(0,0,0,0)",0,0,203,1,/html/body/div[2]/div[1]/form,,0
91,90,input,0,1,17,0.0299295774648,0.16880733945,0.616666666667,1184,131,176,27,"rgb(102,102,102)","rgb(255,255,255)",0,0,59,1,/html/body/div[2]/div[1]/form/input[1],,0
92,90,input,0,1,18,0.0316901408451,0.170642201835,0.708333333333,1360,131,90,27,"rgb(255,255,255)","rgb(0,0,0)",0,0,54,1,/html/body/div[2]/div[1]/form/input[2],,0
93,79,div,10,1,22,0.0387323943662,0.17247706422,0.244791666667,470,206,652,3265.203125,"rgb(69,51,32)","rgba(0,0,0,0)",2045,2469,20812,1,/html/body/div[2]/div[2],Local Fare: Village ...ve a Reply,0
94,93,div,7,1,25,0.044014084507,0.174311926606,0.244791666667,470,206,652,2820.359375,"rgb(69,51,32)","rgba(0,0,0,0)",1934,2334,9043,1,/html/body/div[2]/div[2]/div[1],"Local Fare: Village ...pired By:""",0
95,94,h2,1,1,26,0.0457746478873,0.176146788991,0.300520833333,577,206,545,26,"rgb(69,51,32)","rgba(0,0,0,0)",28,32,173,1,/html/body/div[2]/div[2]/div[1]/h2,Local Fare: Village Ice Creamery,0
96,95,a,0,1,26,0.0457746478873,0.177981651376,0.300520833333,577,203,415.0625,31,"rgb(69,51,32)","rgba(0,0,0,0)",28,32,145,1,/html/body/div[2]/div[2]/div[1]/h2/a,Local Fare: Village Ice Creamery,0
97,94,p,2,1,26,0.0457746478873,0.179816513761,0.244791666667,470,211,95,74,"rgb(92,70,46)","rgba(0,0,0,0)",17,21,259,1,/html/body/div[2]/div[2]/div[1]/p[1],28 AUG 2012 1 Comment,0
98,97,span,0,1,26,0.0457746478873,0.181651376147,0.244791666667,470,211,95,28,"rgb(92,70,46)","rgba(0,0,0,0)",2,2,27,1,/html/body/div[2]/div[2]/div[1]/p[1]/span[1],28,0
99,97,span,0,1,26,0.0457746478873,0.183486238532,0.244791666667,470,239,95,10,"rgb(92,70,46)","rgba(0,0,0,0)",3,3,30,1,/html/body/div[2]/div[2]/div[1]/p[1]/span[2],AUG,0
100,97,span,0,1,26,0.0457746478873,0.185321100917,0.244791666667,470,249,95,10,"rgb(92,70,46)","rgba(0,0,0,0)",4,4,30,1,/html/body/div[2]/div[2]/div[1]/p[1]/span[3],2012,0
101,97,span,1,1,26,0.0457746478873,0.187155963303,0.244791666667,470,267,95,18,"rgb(92,70,46)","rgba(0,0,0,0)",8,9,144,1,/html/body/div[2]/div[2]/div[1]/p[1]/span[4],1 Comment,0
