id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,21,1,1,0.00133511348465,0.001287001287,0.0,0,0,1920,5841.4375,"rgb(0,0,0)","rgba(0,0,0,0)",4125,4892,113121,1,/html,Skip to content The ...OM. Follow,0
107,0,body,20,1,1,0.00133511348465,0.138996138996,0.0,0,0,1920,5841.4375,"rgb(17,17,17)","rgb(250,250,250)",4125,4892,77861,1,/html/body,Skip to content The ...OM. Follow,0
108,107,div,19,1,2,0.00267022696929,0.140283140283,0.0,0,0,1920,5841.4375,"rgb(17,17,17)","rgba(0,0,0,0)",4119,4885,54722,1,/html/body/div[1],Skip to content The ...PRESS.COM.,0
109,108,a,0,1,3,0.00400534045394,0.14157014157,-8.85416666667,-17000,0,1,1,"rgb(202,32,23)","rgba(0,0,0,0)",13,15,75,1,/html/body/div[1]/a[1],Skip to content,0
110,108,header,7,1,5,0.00667556742323,0.142857142857,0.0,0,0,1920,219,"rgb(17,17,17)","rgba(0,0,0,0)",290,334,3528,1,/html/body/div[1]/header,The Tell es-Safi/Gat...ctor Staff,0
111,110,div,2,1,6,0.00801068090788,0.144144144144,0.05,96,0,1728,148,"rgb(17,17,17)","rgba(0,0,0,0)",117,132,280,1,/html/body/div[1]/header/div[1],The Tell es-Safi/Gat...he project,0
112,111,h1,1,1,7,0.00934579439252,0.145431145431,0.05,96,0,1728,76,"rgb(17,17,17)","rgba(0,0,0,0)",69,77,158,1,/html/body/div[1]/header/div[1]/h1,The Tell es-Safi/Gat...al) Weblog,0
113,112,a,0,1,7,0.00934579439252,0.146718146718,0.15508219401,297.7578125,29,1324.484375,52,"rgb(17,17,17)","rgba(0,0,0,0)",69,77,130,1,/html/body/div[1]/header/div[1]/h1/a,The Tell es-Safi/Gat...al) Weblog,0
114,111,p,0,1,8,0.0106809078772,0.148005148005,0.05,96,91,1728,57,"rgb(17,17,17)","rgba(0,0,0,0)",48,54,86,1,/html/body/div[1]/header/div[1]/p,Serious (and not-so-...he project,0
115,110,div,3,1,11,0.0146862483311,0.149292149292,0.0,0,0,0,0,"rgb(17,17,17)","rgba(0,0,0,0)",10,11,483,0,/html/body/div[1]/header/div[2],Menu Search,0
116,115,button,1,1,12,0.0160213618158,0.150579150579,0.0,0,0,0,0,"rgb(255,255,255)","rgb(17,17,17)",4,4,213,1,/html/body/div[1]/header/div[2]/button[1],Menu,0
117,116,div,0,1,13,0.0173564753004,0.151866151866,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,23,1,/html/body/div[1]/header/div[2]/button[1]/div[1],,0
118,116,div,0,1,14,0.018691588785,0.153153153153,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,23,1,/html/body/div[1]/header/div[2]/button[1]/div[2],,0
119,116,div,0,1,15,0.0200267022697,0.15444015444,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",0,0,23,1,/html/body/div[1]/header/div[2]/button[1]/div[3],,0
120,116,span,0,1,16,0.0213618157543,0.155727155727,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",4,4,44,1,/html/body/div[1]/header/div[2]/button[1]/span,Menu,0
121,115,button,2,1,18,0.0240320427236,0.157014157014,0.0,0,0,0,0,"rgb(255,255,255)","rgb(17,17,17)",6,6,190,1,/html/body/div[1]/header/div[2]/button[2],Search,0
122,121,div,1,1,19,0.0253671562083,0.158301158301,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",6,6,116,1,/html/body/div[1]/header/div[2]/button[2]/div,Search,0
123,122,span,0,1,20,0.0267022696929,0.159588159588,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",6,6,46,1,/html/body/div[1]/header/div[2]/button[2]/div/span,Search,0
124,110,nav,6,1,25,0.0333778371162,0.160875160875,0.0,0,148,1920,71,"rgb(17,17,17)","rgba(0,0,0,0)",173,201,2172,1,/html/body/div[1]/header/nav,About Project Overvi...ctor Staff,0
125,124,div,5,1,26,0.0347129506008,0.162162162162,0.0,0,149,1920,70,"rgb(17,17,17)","rgba(0,0,0,0)",173,201,2096,1,/html/body/div[1]/header/nav/div,About Project Overvi...ctor Staff,0
126,125,ul,4,1,26,0.0347129506008,0.163449163449,0.0,0,149,1920,70,"rgb(17,17,17)","rgba(0,0,0,0)",173,201,2054,1,/html/body/div[1]/header/nav/div/ul,About Project Overvi...ctor Staff,0
127,126,li,3,1,26,0.0347129506008,0.164736164736,0.350618489583,673.1875,149,58.078125,70,"rgb(17,17,17)","rgba(0,0,0,0)",91,108,795,1,/html/body/div[1]/header/nav/div/ul/li[1],About Project Overvi...ath by car,0
128,127,a,0,1,26,0.0347129506008,0.166023166023,0.350618489583,673.1875,149,58.078125,70,"rgb(17,17,17)","rgba(0,0,0,0)",5,5,53,1,/html/body/div[1]/header/nav/div/ul/li[1]/a,About,0
129,127,ul,2,1,26,0.0347129506008,0.16731016731,-4.85719401042,-9325.8125,203,1200,95,"rgb(17,17,17)","rgba(0,0,0,0)",86,102,656,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul,Project Overview Bib...ath by car,0
130,129,li,1,1,26,0.0347129506008,0.168597168597,-4.85719401042,-9325.8125,238,240,60,"rgb(17,17,17)","rgb(34,34,34)",15,16,123,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[1],Project Overview,0
131,130,a,0,1,26,0.0347129506008,0.169884169884,-4.85719401042,-9325.8125,238,240,60,"rgb(255,255,255)","rgba(0,0,0,0)",15,16,81,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[1]/a,Project Overview,0
132,129,li,1,1,26,0.0347129506008,0.171171171171,-4.73219401042,-9085.8125,238,240,60,"rgb(17,17,17)","rgb(34,34,34)",12,12,115,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[2],Bibliography,0
133,132,a,0,1,26,0.0347129506008,0.172458172458,-4.73219401042,-9085.8125,238,240,60,"rgb(255,255,255)","rgba(0,0,0,0)",12,12,73,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[2]/a,Bibliography,0
134,129,li,1,1,26,0.0347129506008,0.173745173745,-4.60719401042,-8845.8125,238,240,60,"rgb(17,17,17)","rgb(34,34,34)",14,17,130,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[3],Gath in the Bible,0
135,134,a,0,1,26,0.0347129506008,0.175032175032,-4.60719401042,-8845.8125,238,240,60,"rgb(255,255,255)","rgba(0,0,0,0)",14,17,88,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[3]/a,Gath in the Bible,0
136,129,li,1,1,26,0.0347129506008,0.176319176319,-4.48219401042,-8605.8125,238,240,60,"rgb(17,17,17)","rgb(34,34,34)",14,15,121,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[4],The Philistines,0
137,136,a,0,1,26,0.0347129506008,0.177606177606,-4.48219401042,-8605.8125,238,240,60,"rgb(255,255,255)","rgba(0,0,0,0)",14,15,79,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[4]/a,The Philistines,0
138,129,li,1,1,26,0.0347129506008,0.178893178893,-4.35719401042,-8365.8125,219,240,78,"rgb(17,17,17)","rgb(34,34,34)",31,38,141,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[5],How to get to Tell e...ath by car,0
139,138,a,0,1,26,0.0347129506008,0.18018018018,-4.35719401042,-8365.8125,219,240,78,"rgb(255,255,255)","rgba(0,0,0,0)",31,38,99,1,/html/body/div[1]/header/nav/div/ul/li[1]/ul/li[5]/a,How to get to Tell e...ath by car,0
140,126,li,3,1,26,0.0347129506008,0.181467181467,0.401700846354,771.265625,149,172.140625,70,"rgb(17,17,17)","rgba(0,0,0,0)",44,49,465,1,/html/body/div[1]/header/nav/div/ul/li[2],Excavation Applicati... Situation,0
141,140,a,0,1,26,0.0347129506008,0.182754182754,0.401700846354,771.265625,149,172.140625,70,"rgb(17,17,17)","rgba(0,0,0,0)",21,22,87,1,/html/body/div[1]/header/nav/div/ul/li[2]/a,Excavation Application,0
142,140,ul,2,1,26,0.0347129506008,0.184041184041,-4.80611165365,-9227.734375,203,480,76,"rgb(17,17,17)","rgba(0,0,0,0)",23,26,292,1,/html/body/div[1]/header/nav/div/ul/li[2]/ul,Join Us Security Situation,0
143,142,li,1,1,26,0.0347129506008,0.185328185328,-4.80611165365,-9227.734375,219,240,60,"rgb(17,17,17)","rgb(34,34,34)",6,7,122,1,/html/body/div[1]/header/nav/div/ul/li[2]/ul/li[1],Join Us,0
144,143,a,0,1,26,0.0347129506008,0.186615186615,-4.80611165365,-9227.734375,219,240,60,"rgb(255,255,255)","rgba(0,0,0,0)",6,7,80,1,/html/body/div[1]/header/nav/div/ul/li[2]/ul/li[1]/a,Join Us,0
145,142,li,1,1,26,0.0347129506008,0.187902187902,-4.68111165365,-8987.734375,219,240,59,"rgb(17,17,17)","rgb(34,34,34)",17,18,144,1,/html/body/div[1]/header/nav/div/ul/li[2]/ul/li[2],Security Situation,0
146,145,a,0,1,26,0.0347129506008,0.189189189189,-4.68111165365,-8987.734375,219,240,59,"rgb(255,255,255)","rgba(0,0,0,0)",17,18,102,1,/html/body/div[1]/header/nav/div/ul/li[2]/ul/li[2]/a,Security Situation,0
147,126,li,3,1,26,0.0347129506008,0.190476190476,0.512190755208,983.40625,149,73.359375,70,"rgb(17,17,17)","rgba(0,0,0,0)",14,15,277,1,/html/body/div[1]/header/nav/div/ul/li[3],Pictures Videos,0
