id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.004329004329,0.00262467191601,0.0,0,0,1920,4766,"rgb(0,0,0)","rgba(0,0,0,0)",6431,7682,132154,1,/html,HomepageFollowSign i...rk. 143 10,0
56,0,body,17,1,1,0.004329004329,0.149606299213,0.0,0,0,1920,4766,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",6431,7682,123232,1,/html/body,HomepageFollowSign i...rk. 143 10,0
58,56,div,16,1,1,0.004329004329,0.154855643045,0.0,0,0,1920,4766,"rgba(0,0,0,0.8)","rgb(255,255,255)",6431,7682,84422,1,/html/body/div[1],HomepageFollowSign i...rk. 143 10,0
59,58,div,0,1,1,0.004329004329,0.157480314961,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
60,58,div,15,1,1,0.004329004329,0.160104986877,0.0,0,0,1920,4766,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",6431,7682,84279,1,/html/body/div[1]/div[2],HomepageFollowSign i...rk. 143 10,0
61,60,div,14,1,1,0.004329004329,0.162729658793,0.0,0,0,1920,4766,"rgba(0,0,0,0.8)","rgb(255,255,255)",6431,7682,84168,1,/html/body/div[1]/div[2]/div,HomepageFollowSign i...rk. 143 10,0
62,61,canvas,0,1,1,0.004329004329,0.165354330709,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
63,61,div,1,1,1,0.004329004329,0.167979002625,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,172,1,/html/body/div[1]/div[2]/div/div[1],,0
64,63,div,0,1,1,0.004329004329,0.170603674541,0.692708333333,1330,0,0,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,67,1,/html/body/div[1]/div[2]/div/div[1]/div,,0
65,61,div,10,1,1,0.004329004329,0.173228346457,0.0,0,0,1920,105,"rgba(255,255,255,0.85098)","rgb(119,29,118)",107,113,9626,1,/html/body/div[1]/div[2]/div/div[2],HomepageFollowSign i...HAPINGWORK,0
66,65,div,9,1,1,0.004329004329,0.175853018373,0.229166666667,440,0,1040,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",27,31,5249,1,/html/body/div[1]/div[2]/div/div[2]/div[1],HomepageFollowSign in / Sign up,0
67,66,div,8,1,1,0.004329004329,0.178477690289,0.239583333333,460,0,396.890625,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",14,14,4357,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1],HomepageFollow,0
68,67,a,3,1,1,0.004329004329,0.181102362205,0.2375,456,0,57,59,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",8,8,883,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a,Homepage,0
69,68,span,2,1,1,0.004329004329,0.183727034121,0.236458333333,454,10,45,45,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,758,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1],,0
70,69,svg,1,1,1,0.004329004329,0.186351706037,0.236458333333,454,10,45,45,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,685,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg,,0
71,70,path,0,1,1,0.004329004329,0.188976377953,0.250868225098,481.666992188,19.9910831451,10.3330078125,24.9605884552,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,151,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[1],,0
72,70,path,0,1,1,0.004329004329,0.191601049869,0.245485941569,471.333007812,19.9727783203,20.6177062988,20.6572227478,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,128,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[2],,0
73,70,path,0,1,1,0.004329004329,0.194225721785,0.240422884623,461.611938477,20.183216095,20.0540771484,20.4447822571,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,134,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[3],,0
74,70,path,0,1,1,0.004329004329,0.196850393701,0.240104166667,461,20.098739624,10.3330078125,24.9234390259,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,173,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/a/span[1]/svg/path[4],,0
