id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.142857142857,0.00298507462687,0.0,0,0,1920,5323,"rgb(0,0,0)","rgba(0,0,0,0)",6136,7398,85311,1,/html,HomepageSign in / Si...ET UPDATES,0
57,0,body,17,1,1,0.142857142857,0.173134328358,0.0,0,0,1920,5323,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",6136,7398,76638,1,/html/body,HomepageSign in / Si...ET UPDATES,0
59,57,div,16,1,1,0.142857142857,0.179104477612,0.0,0,0,1920,5323,"rgba(0,0,0,0.8)","rgb(255,255,255)",6136,7398,47884,1,/html/body/div[1],HomepageSign in / Si...ET UPDATES,0
60,59,div,0,1,1,0.142857142857,0.182089552239,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
61,59,div,15,1,1,0.142857142857,0.185074626866,0.0,0,0,1920,5323,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",6136,7398,47741,1,/html/body/div[1]/div[2],HomepageSign in / Si...ET UPDATES,0
62,61,div,14,1,1,0.142857142857,0.188059701493,0.0,0,0,1920,5323,"rgba(0,0,0,0.8)","rgb(255,255,255)",6136,7398,47630,1,/html/body/div[1]/div[2]/div,HomepageSign in / Si...ET UPDATES,0
63,62,canvas,0,1,1,0.142857142857,0.191044776119,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
64,62,div,0,1,1,0.142857142857,0.194029850746,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[1]/div[2]/div/div[1],,0
65,62,div,6,1,1,0.142857142857,0.197014925373,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",21,25,1785,1,/html/body/div[1]/div[2]/div/div[2],HomepageSign in / Sign up,0
66,65,div,5,1,1,0.142857142857,0.2,0.229166666667,440,0,1040,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",21,25,1736,1,/html/body/div[1]/div[2]/div/div[2]/div,HomepageSign in / Sign up,0
