id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.004329004329,0.00179533213645,0.0,0,0,1920,22936.46875,"rgb(0,0,0)","rgba(0,0,0,0)",13791,16781,172565,1,/html,FollowSign in / Sign...ET UPDATES,0
56,0,body,17,1,1,0.004329004329,0.102333931777,0.0,0,0,1920,22936.46875,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",13791,16781,163712,1,/html/body,FollowSign in / Sign...ET UPDATES,0
58,56,div,16,1,1,0.004329004329,0.10592459605,0.0,0,0,1920,22936.46875,"rgba(0,0,0,0.8)","rgb(255,255,255)",13791,16781,108926,1,/html/body/div[1],FollowSign in / Sign...ET UPDATES,0
59,58,div,0,1,1,0.004329004329,0.107719928187,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
60,58,div,15,1,1,0.004329004329,0.109515260323,0.0,0,0,1920,22936.46875,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",13791,16781,108783,1,/html/body/div[1]/div[2],FollowSign in / Sign...ET UPDATES,0
61,60,div,14,1,1,0.004329004329,0.11131059246,0.0,0,0,1920,22936.46875,"rgba(0,0,0,0.8)","rgb(255,255,255)",13791,16781,108672,1,/html/body/div[1]/div[2]/div,FollowSign in / Sign...ET UPDATES,0
62,61,canvas,0,1,1,0.004329004329,0.113105924596,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
63,61,div,1,1,1,0.004329004329,0.114901256732,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,172,1,/html/body/div[1]/div[2]/div/div[1],,0
64,63,div,0,1,1,0.004329004329,0.116696588869,0.692708333333,1330,0,0,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,67,1,/html/body/div[1]/div[2]/div/div[1]/div,,0
65,61,div,10,1,1,0.004329004329,0.118491921005,0.0,0,0,1920,105,"rgba(255,255,255,0.85098)","rgb(0,100,0)",51,58,7318,1,/html/body/div[1]/div[2]/div/div[2],FollowSign in / Sign...YOUR STORY,0
66,65,div,9,1,1,0.004329004329,0.120287253142,0.229166666667,440,0,1040,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",19,23,4048,1,/html/body/div[1]/div[2]/div/div[2]/div[1],FollowSign in / Sign up,0
67,66,div,8,1,1,0.004329004329,0.122082585278,0.239583333333,460,0,449.890625,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,3120,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1],Follow,0
68,67,div,3,1,1,0.004329004329,0.123877917415,0.239583333333,460,0,300,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,452,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1],,0
69,68,div,2,1,1,0.004329004329,0.125673249551,0.239583333333,460,10,300,45,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,345,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div,,0
70,69,a,1,1,1,0.004329004329,0.127468581688,0.239583333333,460,36,300,19,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,313,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div/a,,0
71,70,img,0,1,1,0.004329004329,0.129263913824,0.239583333333,460,10,300,41,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,199,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div/a/img,,0
72,67,div,7,1,1,0.004329004329,0.131059245961,0.405208333333,778,0,131.890625,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,2578,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2],Follow,0
73,72,div,6,1,1,0.004329004329,0.132854578097,0.405208333333,778,4,131.890625,57,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,2477,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div,Follow,0
74,73,div,5,1,1,0.004329004329,0.134649910233,0.405208333333,778,14,131.890625,37,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,2445,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div,Follow,0
75,74,div,2,1,1,0.004329004329,0.13644524237,0.405208333333,778,21,65.890625,21,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,574,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/div,Follow,0
76,75,button,1,1,1,0.004329004329,0.138240574506,0.405208333333,778,23,57.890625,19,"rgb(181,221,168)","rgba(0,0,0,0)",6,6,539,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/div/button,Follow,0
77,76,span,0,1,1,0.004329004329,0.140035906643,0.4109375,789,24,35.890625,16,"rgb(181,221,168)","rgba(0,0,0,0)",6,6,55,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/div/button/span,Follow,0
78,74,a,4,1,1,0.004329004329,0.141831238779,0.443693033854,851.890625,14,33,37,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,1036,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1],,0
79,78,span,3,1,1,0.004329004329,0.143626570916,0.443693033854,851.890625,14,25,35,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,746,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span,,0
80,79,span,2,1,1,0.004329004329,0.145421903052,0.443693033854,851.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,705,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span/span,,0
81,80,svg,1,1,1,0.004329004329,0.147217235189,0.443693033854,851.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,639,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span/span/svg,,0
82,81,path,0,1,1,0.004329004329,0.149012567325,0.445115439097,854.621643066,25.0509929657,19.5729980469,15.9490261078,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,565,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span/span/svg/path,,0
83,74,a,4,1,1,0.004329004329,0.150807899461,0.460880533854,884.890625,14,25,37,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,772,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2],,0
84,83,span,3,1,1,0.004329004329,0.152603231598,0.460880533854,884.890625,14,25,35,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,470,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span,,0
85,84,span,2,1,1,0.004329004329,0.154398563734,0.460880533854,884.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,429,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span/span,,0
86,85,svg,1,1,1,0.004329004329,0.156193895871,0.460880533854,884.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,362,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span/span/svg,,0
87,86,path,0,1,1,0.004329004329,0.157989228007,0.462443033854,887.890625,23.6000003815,18,17.9999980927,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,288,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span/span/svg/path,,0
88,66,div,4,1,1,0.004329004329,0.159784560144,0.703645833333,1351,0,109,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,817,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2],Sign in / Sign up,0
89,88,div,3,1,1,0.004329004329,0.16157989228,0.703645833333,1351,0,109,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,681,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div,Sign in / Sign up,0
90,89,div,2,1,1,0.004329004329,0.163375224417,0.703645833333,1351,6,109,52,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,590,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div,Sign in / Sign up,0
91,90,div,1,1,1,0.004329004329,0.165170556553,0.708854166667,1361,16,99,32,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,558,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div/div,Sign in / Sign up,0
92,91,a,0,1,1,0.004329004329,0.166965888689,0.708854166667,1361,16,99,32,"rgb(181,221,168)","rgba(0,0,0,0)",13,17,509,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div/div/a,Sign in / Sign up,0
93,65,div,8,1,1,0.004329004329,0.168761220826,0.239583333333,460,65,1000,40,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",32,34,3158,1,/html/body/div[1]/div[2]/div/div[2]/div[2],HOMEDEVDESIGNDATASUB...YOUR STORY,0
94,93,div,7,1,1,0.004329004329,0.170556552962,0.239583333333,460,65,1000,40,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",32,34,3080,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div,HOMEDEVDESIGNDATASUB...YOUR STORY,0
95,94,div,6,1,1,0.004329004329,0.172351885099,0.239583333333,460,65,1000,148,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",32,34,2997,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div,HOMEDEVDESIGNDATASUB...YOUR STORY,0
96,95,span,1,1,1,0.004329004329,0.174147217235,0.239583333333,460,65,61.625,42,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",4,4,359,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[1],HOME,0
97,96,a,0,1,1,0.004329004329,0.175942549372,0.239583333333,460,70,41.625,19,"rgb(181,221,168)","rgba(0,0,0,0)",4,4,131,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[1]/a,HOME,0
98,95,span,1,1,1,0.004329004329,0.177737881508,0.2716796875,521.625,65,47.21875,42,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",3,3,388,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[2],DEV,0
