id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.004329004329,0.00227272727273,0.0,0,0,1920,9757.859375,"rgb(0,0,0)","rgba(0,0,0,0)",7783,9213,143115,1,/html,FollowSign in / Sign...ET UPDATES,0
57,0,body,17,1,1,0.004329004329,0.131818181818,0.0,0,0,1920,9757.859375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",7783,9213,134378,1,/html/body,FollowSign in / Sign...ET UPDATES,0
59,57,div,16,1,1,0.004329004329,0.136363636364,0.0,0,0,1920,9757.859375,"rgba(0,0,0,0.8)","rgb(255,255,255)",7783,9213,91382,1,/html/body/div[1],FollowSign in / Sign...ET UPDATES,0
60,59,div,0,1,1,0.004329004329,0.138636363636,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
61,59,div,15,1,1,0.004329004329,0.140909090909,0.0,0,0,1920,9757.859375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",7783,9213,91239,1,/html/body/div[1]/div[2],FollowSign in / Sign...ET UPDATES,0
62,61,div,14,1,1,0.004329004329,0.143181818182,0.0,0,0,1920,9757.859375,"rgba(0,0,0,0.8)","rgb(255,255,255)",7783,9213,91128,1,/html/body/div[1]/div[2]/div,FollowSign in / Sign...ET UPDATES,0
63,62,canvas,0,1,1,0.004329004329,0.145454545455,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
64,62,div,0,1,1,0.004329004329,0.147727272727,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[1]/div[2]/div/div[1],,0
65,62,div,10,1,1,0.004329004329,0.15,0.0,0,0,1920,105,"rgba(255,255,255,0.85098)","rgb(0,100,0)",51,58,7264,1,/html/body/div[1]/div[2]/div/div[2],FollowSign in / Sign...YOUR STORY,0
66,65,div,9,1,1,0.004329004329,0.152272727273,0.229166666667,440,0,1040,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",19,23,3994,1,/html/body/div[1]/div[2]/div/div[2]/div[1],FollowSign in / Sign up,0
67,66,div,8,1,1,0.004329004329,0.154545454545,0.239583333333,460,0,449.890625,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,3120,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1],Follow,0
68,67,div,3,1,1,0.004329004329,0.156818181818,0.239583333333,460,0,300,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,452,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1],,0
69,68,div,2,1,1,0.004329004329,0.159090909091,0.239583333333,460,10,300,45,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,345,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div,,0
70,69,a,1,1,1,0.004329004329,0.161363636364,0.239583333333,460,36,300,19,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,313,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div/a,,0
71,70,img,0,1,1,0.004329004329,0.163636363636,0.239583333333,460,10,300,41,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",0,0,199,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div/a/img,,0
72,67,div,7,1,1,0.004329004329,0.165909090909,0.405208333333,778,0,131.890625,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,2578,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2],Follow,0
73,72,div,6,1,1,0.004329004329,0.168181818182,0.405208333333,778,4,131.890625,57,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,2477,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div,Follow,0
74,73,div,5,1,1,0.004329004329,0.170454545455,0.405208333333,778,14,131.890625,37,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,2445,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div,Follow,0
75,74,div,2,1,1,0.004329004329,0.172727272727,0.405208333333,778,21,65.890625,21,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",6,6,574,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/div,Follow,0
76,75,button,1,1,1,0.004329004329,0.175,0.405208333333,778,23,57.890625,19,"rgb(181,221,168)","rgba(0,0,0,0)",6,6,539,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/div/button,Follow,0
77,76,span,0,1,1,0.004329004329,0.177272727273,0.4109375,789,24,35.890625,16,"rgb(181,221,168)","rgba(0,0,0,0)",6,6,55,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/div/button/span,Follow,0
78,74,a,4,1,1,0.004329004329,0.179545454545,0.443693033854,851.890625,14,33,37,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,1036,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1],,0
79,78,span,3,1,1,0.004329004329,0.181818181818,0.443693033854,851.890625,14,25,35,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,746,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span,,0
80,79,span,2,1,1,0.004329004329,0.184090909091,0.443693033854,851.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,705,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span/span,,0
81,80,svg,1,1,1,0.004329004329,0.186363636364,0.443693033854,851.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,639,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span/span/svg,,0
82,81,path,0,1,1,0.004329004329,0.188636363636,0.445115439097,854.621643066,25.0509929657,19.5729980469,15.9490261078,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,565,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[1]/span/span/svg/path,,0
83,74,a,4,1,1,0.004329004329,0.190909090909,0.460880533854,884.890625,14,25,37,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,772,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2],,0
84,83,span,3,1,1,0.004329004329,0.193181818182,0.460880533854,884.890625,14,25,35,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,470,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span,,0
85,84,span,2,1,1,0.004329004329,0.195454545455,0.460880533854,884.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,429,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span/span,,0
86,85,svg,1,1,1,0.004329004329,0.197727272727,0.460880533854,884.890625,20,25,25,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,362,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span/span/svg,,0
87,86,path,0,1,1,0.004329004329,0.2,0.462443033854,887.890625,23.6000003815,18,17.9999980927,"rgb(138,191,124)","rgba(0,0,0,0)",0,0,288,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/a[2]/span/span/svg/path,,0
88,66,div,4,1,1,0.004329004329,0.202272727273,0.703645833333,1351,0,109,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,763,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2],Sign in / Sign up,0
89,88,div,3,1,1,0.004329004329,0.204545454545,0.703645833333,1351,0,109,65,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,627,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div,Sign in / Sign up,0
90,89,div,2,1,1,0.004329004329,0.206818181818,0.703645833333,1351,6,109,52,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,536,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div,Sign in / Sign up,0
91,90,div,1,1,1,0.004329004329,0.209090909091,0.708854166667,1361,16,99,32,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",13,17,504,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div/div,Sign in / Sign up,0
92,91,a,0,1,1,0.004329004329,0.211363636364,0.708854166667,1361,16,99,32,"rgb(181,221,168)","rgba(0,0,0,0)",13,17,455,1,/html/body/div[1]/div[2]/div/div[2]/div[1]/div[2]/div/div/div/a,Sign in / Sign up,0
93,65,div,8,1,1,0.004329004329,0.213636363636,0.239583333333,460,65,1000,40,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",32,34,3158,1,/html/body/div[1]/div[2]/div/div[2]/div[2],HOMEDEVDESIGNDATASUB...YOUR STORY,0
94,93,div,7,1,1,0.004329004329,0.215909090909,0.239583333333,460,65,1000,40,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",32,34,3080,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div,HOMEDEVDESIGNDATASUB...YOUR STORY,0
95,94,div,6,1,1,0.004329004329,0.218181818182,0.239583333333,460,65,1000,148,"rgba(255,255,255,0.85098)","rgba(0,0,0,0)",32,34,2997,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div,HOMEDEVDESIGNDATASUB...YOUR STORY,0
96,95,span,1,1,1,0.004329004329,0.220454545455,0.239583333333,460,65,61.625,42,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",4,4,359,1,/html/body/div[1]/div[2]/div/div[2]/div[2]/div/div/span[1],HOME,0
