id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00176056338028,0.0015015015015,0.0,0,0,1920,3209,"rgb(0,0,0)","rgba(0,0,0,0)",5025,6068,59052,1,/html,Orwell Diaries 1938-...om. Follow,0
61,0,body,14,1,1,0.00176056338028,0.0930930930931,0.0,0,20,1920,3169,"rgb(102,102,102)","rgb(241,241,241)",5025,6068,49520,1,/html/body,Orwell Diaries 1938-...om. Follow,0
62,61,div,13,1,2,0.00352112676056,0.0945945945946,0.244791666667,470,20,980,3169,"rgb(102,102,102)","rgb(255,255,255)",5019,6061,38855,1,/html/body/div[1],Orwell Diaries 1938-...Press.com.,0
63,62,div,8,1,3,0.00528169014085,0.0960960960961,0.255208333333,490,20,940,30,"rgb(102,102,102)","rgba(0,0,0,0)",195,230,2336,1,/html/body/div[1]/div[1],Orwell Diaries 1938-...er Davison,0
64,63,div,7,1,4,0.00704225352113,0.0975975975976,0.255208333333,490,50,940,0,"rgb(102,102,102)","rgba(0,0,0,0)",195,230,2293,1,/html/body/div[1]/div[1]/div,Orwell Diaries 1938-...er Davison,0
65,64,div,3,1,5,0.00880281690141,0.0990990990991,0.255208333333,490,50,940,0,"rgb(102,102,102)","rgba(0,0,0,0)",110,129,581,1,/html/body/div[1]/div[1]/div/div[1],Orwell Diaries 1938-...re written,0
66,65,div,2,1,6,0.0105633802817,0.100600600601,0.255208333333,490,50,700,36,"rgb(102,102,102)","rgba(0,0,0,0)",22,24,163,1,/html/body/div[1]/div[1]/div/div[1]/div[1],Orwell Diaries 1938-1942,0
67,66,span,1,1,7,0.012323943662,0.102102102102,0.255208333333,490,51,356,33,"rgb(102,102,102)","rgba(0,0,0,0)",22,24,134,1,/html/body/div[1]/div[1]/div/div[1]/div[1]/span,Orwell Diaries 1938-1942,0
68,67,a,0,1,8,0.0140845070423,0.103603603604,0.255208333333,490,51,356,33,"rgb(0,0,0)","rgba(0,0,0,0)",22,24,119,1,/html/body/div[1]/div[1]/div/div[1]/div[1]/span/a,Orwell Diaries 1938-1942,0
69,65,div,0,1,11,0.0193661971831,0.105105105105,0.630208333333,1210,65,220,54,"rgb(0,0,0)","rgba(0,0,0,0)",88,104,137,1,/html/body/div[1]/div[1]/div/div[1]/div[2],George Orwell's dome...re written,0
70,65,a,1,1,13,0.0228873239437,0.106606606607,0.255208333333,490,50,0,0,"rgb(0,102,204)","rgba(0,0,0,0)",0,0,238,1,/html/body/div[1]/div[1]/div/div[1]/a,,0
71,70,img,0,1,14,0.0246478873239,0.108108108108,0.255208333333,490,137,940,203,"rgb(0,102,204)","rgba(0,0,0,0)",0,0,123,1,/html/body/div[1]/div[1]/div/div[1]/a/img,,0
72,64,div,6,1,18,0.0316901408451,0.10960960961,0.255208333333,490,340,940,38,"rgb(102,102,102)","rgb(0,0,0)",85,100,1650,1,/html/body/div[1]/div[1]/div/div[2],Skip to content Home...er Davison,0
73,72,div,1,1,19,0.0334507042254,0.111111111111,-6.25,-12000,340,1,1,"rgb(102,102,102)","rgba(0,0,0,0)",13,15,110,1,/html/body/div[1]/div[1]/div/div[2]/div[1],Skip to content,0
74,73,a,0,1,19,0.0334507042254,0.112612612613,-6.25,-12000,340,20,114,"rgb(170,170,170)","rgba(0,0,0,0)",13,15,62,1,/html/body/div[1]/div[1]/div/div[2]/div[1]/a,Skip to content,0
75,72,div,5,1,20,0.0352112676056,0.114114114114,0.261458333333,502,340,928,0,"rgb(102,102,102)","rgba(0,0,0,0)",72,84,1496,1,/html/body/div[1]/div[1]/div/div[2]/div[2],Home About Biography...er Davison,0
76,75,ul,4,1,20,0.0352112676056,0.115615615616,0.261458333333,502,340,928,0,"rgb(102,102,102)","rgba(0,0,0,0)",72,84,1472,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul,Home About Biography...er Davison,0
77,76,li,1,1,20,0.0352112676056,0.117117117117,0.261458333333,502,340,54,38,"rgb(102,102,102)","rgba(0,0,0,0)",4,4,64,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul/li[1],Home,0
78,77,a,0,1,20,0.0352112676056,0.118618618619,0.261458333333,502,340,54,38,"rgb(170,170,170)","rgba(0,0,0,0)",4,4,55,1,/html/body/div[1]/div[1]/div/div[2]/div[2]/ul/li[1]/a,Home,0
