id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00209205020921,0.00224719101124,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",6279,7610,83896,1,/html,OBSESSIONS OUR PICKS...ily Brief.,0
166,0,body,14,1,1,0.00209205020921,0.375280898876,0.0,0,54,1920,1080,"rgb(76,76,76)","rgb(249,249,249)",6279,7610,52413,1,/html/body,OBSESSIONS OUR PICKS...ily Brief.,0
167,166,div,3,1,2,0.00418410041841,0.377528089888,0.0,0,54,1920,0,"rgb(76,76,76)","rgb(51,51,51)",0,0,488,1,/html/body/div[1],,0
168,167,div,2,1,3,0.00627615062762,0.379775280899,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,462,0,/html/body/div[1]/div,,0
169,168,div,1,1,3,0.00627615062762,0.38202247191,0.0,0,0,0,0,"rgb(76,76,76)","rgb(0,0,0)",0,0,357,1,/html/body/div[1]/div/div,,0
170,169,iframe,0,1,3,0.00627615062762,0.384269662921,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,269,1,/html/body/div[1]/div/div/iframe,,0
171,166,header,6,1,5,0.010460251046,0.386516853933,0.0,0,0,1920,54,"rgb(76,76,76)","rgb(255,255,255)",31,35,3068,1,/html/body/header,OBSESSIONS OUR PICKS...ST POPULAR,0
172,171,div,5,1,6,0.0125523012552,0.388764044944,0.0,0,0,1920,32,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,1944,1,/html/body/header/div[1],,0
173,172,a,4,1,7,0.0146443514644,0.391011235955,0.458333333333,880,12.5,160,25,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1918,1,/html/body/header/div[1]/a,,0
174,173,svg,3,1,10,0.0209205020921,0.393258426966,0.458333333333,880,12.5,160,25,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1716,1,/html/body/header/div[1]/a/svg,,0
175,174,g,2,1,11,0.0230125523013,0.395505617978,0.45831302007,879.960998535,12.7879991531,160.091003418,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1471,1,/html/body/header/div[1]/a/svg/g,,0
176,175,g,1,1,12,0.0251046025105,0.397752808989,0.45831302007,879.960998535,12.7879991531,24.9140014648,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,484,1,/html/body/header/div[1]/a/svg/g/g[1],,0
177,176,path,0,1,17,0.0355648535565,0.4,0.45831302007,879.960998535,12.7879991531,24.9140014648,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,477,1,/html/body/header/div[1]/a/svg/g/g[1]/path,,0
178,175,g,1,1,19,0.0397489539749,0.402247191011,0.518384901683,995.29901123,13.388999939,18.3209838867,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,148,1,/html/body/header/div[1]/a/svg/g/g[2],,0
179,178,polygon,0,1,21,0.0439330543933,0.404494382022,0.518384901683,995.29901123,13.388999939,18.3209838867,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,141,1,/html/body/header/div[1]/a/svg/g/g[2]/polygon,,0
180,175,g,1,1,23,0.0481171548117,0.406741573034,0.489453125,939.75,13.388999939,22.5150146484,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,164,1,/html/body/header/div[1]/a/svg/g/g[3],,0
181,180,path,0,1,25,0.0523012552301,0.408988764045,0.489453125,939.75,13.388999939,22.5150146484,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,157,1,/html/body/header/div[1]/a/svg/g/g[3]/path,,0
182,175,g,1,1,27,0.0564853556485,0.411235955056,0.532307815552,1022.03100586,13.4270000458,18.0209960938,23.0899982452,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,181,1,/html/body/header/div[1]/a/svg/g/g[4],,0
183,182,polygon,0,1,29,0.0606694560669,0.413483146067,0.532307815552,1022.03100586,13.4270000458,18.0209960938,23.0899982452,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,174,1,/html/body/header/div[1]/a/svg/g/g[4]/polygon,,0
184,175,g,1,1,31,0.0648535564854,0.415730337079,0.476148446401,914.20501709,13.388999939,17.9849853516,23.6269989014,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,197,1,/html/body/header/div[1]/a/svg/g/g[5],,0
185,184,path,0,1,33,0.0690376569038,0.41797752809,0.476148446401,914.20501709,13.388999939,17.9849853516,23.6269989014,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,190,1,/html/body/header/div[1]/a/svg/g/g[5]/path,,0
186,175,g,1,1,35,0.0732217573222,0.420224719101,0.505556774139,970.669006348,13.3889989853,18.2050170898,24.3180007935,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,290,1,/html/body/header/div[1]/a/svg/g/g[6],,0
187,186,path,0,1,38,0.0794979079498,0.422471910112,0.505556774139,970.669006348,13.3889989853,18.2050170898,24.3180007935,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,283,1,/html/body/header/div[1]/a/svg/g/g[6]/path,,0
188,173,span,0,1,44,0.092050209205,0.424719101124,0.0,0,0,0,0,"rgb(190,190,190)","rgba(0,0,0,0)",0,0,36,0,/html/body/header/div[1]/a/span,,0
189,171,div,2,1,47,0.0983263598326,0.426966292135,0.869230143229,1668.921875,0,251.078125,54,"rgb(76,76,76)","rgba(0,0,0,0)",10,10,466,1,/html/body/header/div[2],OBSESSIONS,0
190,189,button,1,1,48,0.100418410042,0.429213483146,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,78,0,/html/body/header/div[2]/button[1],,0
191,190,i,0,1,49,0.102510460251,0.431460674157,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,25,1,/html/body/header/div[2]/button[1]/i,,0
