id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00217864923747,0.002331002331,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",9595,11448,94452,1,/html,OBSESSIONS OUR PICKS...ily Brief.,0
164,0,body,14,1,1,0.00217864923747,0.384615384615,0.0,0,54,1920,1080,"rgb(76,76,76)","rgb(249,249,249)",9595,11448,62547,1,/html/body,OBSESSIONS OUR PICKS...ily Brief.,0
165,164,div,3,1,2,0.00435729847495,0.386946386946,0.0,0,54,1920,0,"rgb(76,76,76)","rgb(51,51,51)",0,0,488,1,/html/body/div[1],,0
166,165,div,2,1,3,0.00653594771242,0.389277389277,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,462,0,/html/body/div[1]/div,,0
167,166,div,1,1,3,0.00653594771242,0.391608391608,0.0,0,0,0,0,"rgb(76,76,76)","rgb(0,0,0)",0,0,357,1,/html/body/div[1]/div/div,,0
168,167,iframe,0,1,3,0.00653594771242,0.393939393939,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,269,1,/html/body/div[1]/div/div/iframe,,0
169,164,header,6,1,5,0.0108932461874,0.39627039627,0.0,0,0,1920,54,"rgb(76,76,76)","rgb(255,255,255)",31,35,3068,1,/html/body/header,OBSESSIONS OUR PICKS...ST POPULAR,0
170,169,div,5,1,6,0.0130718954248,0.398601398601,0.0,0,0,1920,32,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,1944,1,/html/body/header/div[1],,0
171,170,a,4,1,7,0.0152505446623,0.400932400932,0.458333333333,880,12.5,160,25,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1918,1,/html/body/header/div[1]/a,,0
172,171,svg,3,1,10,0.0217864923747,0.403263403263,0.458333333333,880,12.5,160,25,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1716,1,/html/body/header/div[1]/a/svg,,0
173,172,g,2,1,11,0.0239651416122,0.405594405594,0.45831302007,879.960998535,12.7879991531,160.091003418,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1471,1,/html/body/header/div[1]/a/svg/g,,0
174,173,g,1,1,12,0.0261437908497,0.407925407925,0.45831302007,879.960998535,12.7879991531,24.9140014648,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,484,1,/html/body/header/div[1]/a/svg/g/g[1],,0
175,174,path,0,1,17,0.037037037037,0.410256410256,0.45831302007,879.960998535,12.7879991531,24.9140014648,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,477,1,/html/body/header/div[1]/a/svg/g/g[1]/path,,0
176,173,g,1,1,19,0.041394335512,0.412587412587,0.518384901683,995.29901123,13.388999939,18.3209838867,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,148,1,/html/body/header/div[1]/a/svg/g/g[2],,0
177,176,polygon,0,1,21,0.0457516339869,0.414918414918,0.518384901683,995.29901123,13.388999939,18.3209838867,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,141,1,/html/body/header/div[1]/a/svg/g/g[2]/polygon,,0
178,173,g,1,1,23,0.0501089324619,0.417249417249,0.489453125,939.75,13.388999939,22.5150146484,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,164,1,/html/body/header/div[1]/a/svg/g/g[3],,0
179,178,path,0,1,25,0.0544662309368,0.41958041958,0.489453125,939.75,13.388999939,22.5150146484,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,157,1,/html/body/header/div[1]/a/svg/g/g[3]/path,,0
180,173,g,1,1,27,0.0588235294118,0.421911421911,0.532307815552,1022.03100586,13.4270000458,18.0209960938,23.0899982452,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,181,1,/html/body/header/div[1]/a/svg/g/g[4],,0
181,180,polygon,0,1,29,0.0631808278867,0.424242424242,0.532307815552,1022.03100586,13.4270000458,18.0209960938,23.0899982452,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,174,1,/html/body/header/div[1]/a/svg/g/g[4]/polygon,,0
182,173,g,1,1,31,0.0675381263617,0.426573426573,0.476148446401,914.20501709,13.388999939,17.9849853516,23.6269989014,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,197,1,/html/body/header/div[1]/a/svg/g/g[5],,0
183,182,path,0,1,33,0.0718954248366,0.428904428904,0.476148446401,914.20501709,13.388999939,17.9849853516,23.6269989014,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,190,1,/html/body/header/div[1]/a/svg/g/g[5]/path,,0
184,173,g,1,1,35,0.0762527233115,0.431235431235,0.505556774139,970.669006348,13.3889989853,18.2050170898,24.3180007935,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,290,1,/html/body/header/div[1]/a/svg/g/g[6],,0
185,184,path,0,1,38,0.082788671024,0.433566433566,0.505556774139,970.669006348,13.3889989853,18.2050170898,24.3180007935,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,283,1,/html/body/header/div[1]/a/svg/g/g[6]/path,,0
186,171,span,0,1,44,0.0958605664488,0.435897435897,0.0,0,0,0,0,"rgb(190,190,190)","rgba(0,0,0,0)",0,0,36,0,/html/body/header/div[1]/a/span,,0
187,169,div,2,1,47,0.102396514161,0.438228438228,0.869230143229,1668.921875,0,251.078125,54,"rgb(76,76,76)","rgba(0,0,0,0)",10,10,466,1,/html/body/header/div[2],OBSESSIONS,0
188,187,button,1,1,48,0.104575163399,0.440559440559,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,78,0,/html/body/header/div[2]/button[1],,0
189,188,i,0,1,49,0.106753812636,0.44289044289,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,25,1,/html/body/header/div[2]/button[1]/i,,0
190,187,button,1,1,51,0.111111111111,0.445221445221,0.966145833333,1855,0,63,53,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,71,1,/html/body/header/div[2]/button[2],,0
191,190,i,0,1,52,0.113289760349,0.447552447552,0.977083333333,1876,15,22,25,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,25,1,/html/body/header/div[2]/button[2]/i,,0
192,187,a,1,1,54,0.117647058824,0.449883449883,0.932291666667,1790,0,63,53,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,95,1,/html/body/header/div[2]/a[1],,0
193,192,i,0,1,55,0.119825708061,0.452214452214,0.943229166667,1811,15,22,25,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,27,1,/html/body/header/div[2]/a[1]/i,,0
194,187,a,0,1,57,0.124183006536,0.454545454545,0.869230143229,1668.921875,0,121.078125,54,"rgb(161,161,161)","rgba(0,0,0,0)",10,10,86,1,/html/body/header/div[2]/a[2],OBSESSIONS,0
195,187,a,1,1,60,0.130718954248,0.456876456876,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,105,0,/html/body/header/div[2]/a[3],,0
196,195,i,0,1,60,0.130718954248,0.459207459207,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,32,1,/html/body/header/div[2]/a[3]/i,,0
197,169,div,0,1,62,0.135076252723,0.461538461538,0.0208333333333,40,-53,1880,53,"rgb(76,76,76)","rgb(255,255,255)",0,0,36,1,/html/body/header/div[3],,0
198,169,div,2,1,63,0.137254901961,0.463869463869,0.0,0,0,296.203125,54,"rgb(76,76,76)","rgba(0,0,0,0)",21,24,579,1,/html/body/header/div[4],OUR PICKS LATEST POPULAR,0
199,198,a,1,1,64,0.139433551198,0.4662004662,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,95,0,/html/body/header/div[4]/a[1],,0
200,199,i,0,1,65,0.141612200436,0.468531468531,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,27,1,/html/body/header/div[4]/a[1]/i,,0
201,198,a,0,1,67,0.145969498911,0.470862470862,0.0,0,0,108.15625,54,"rgb(161,161,161)","rgba(0,0,0,0)",8,9,71,1,/html/body/header/div[4]/a[2],OUR PICKS,0
202,198,a,0,1,70,0.152505446623,0.473193473193,0.0563313802083,108.15625,0,87.078125,54,"rgb(161,161,161)","rgba(0,0,0,0)",6,6,74,1,/html/body/header/div[4]/a[3],LATEST,0
203,198,a,0,1,73,0.159041394336,0.475524475524,0.101684570312,195.234375,0,100.96875,54,"rgb(161,161,161)","rgba(0,0,0,0)",7,7,77,1,/html/body/header/div[4]/a[4],POPULAR,0
204,198,a,1,1,76,0.165577342048,0.477855477855,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,120,0,/html/body/header/div[4]/a[5],,0
205,204,i,0,1,76,0.165577342048,0.480186480186,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,29,1,/html/body/header/div[4]/a[5]/i,,0
206,198,a,1,1,77,0.167755991285,0.482517482517,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,111,0,/html/body/header/div[4]/a[6],,0
207,206,i,0,1,77,0.167755991285,0.484848484848,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,28,1,/html/body/header/div[4]/a[6]/i,,0
208,164,div,0,1,80,0.174291938998,0.487179487179,0.0,0,0,0,0,"rgb(76,76,76)","rgb(0,0,0)",0,0,32,0,/html/body/div[2],,0
209,164,nav,3,1,81,0.176470588235,0.48951048951,0.0,0,0,0,0,"rgb(76,76,76)","rgb(255,255,255)",137,166,1363,0,/html/body/nav,like us on facebook ...ck to menu,0
210,209,div,2,1,82,0.178649237473,0.491841491841,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",81,99,878,1,/html/body/nav/div[1],like us on facebook ...ents Atlas,0
211,210,a,1,1,83,0.18082788671,0.494172494172,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",16,19,125,1,/html/body/nav/div[1]/a[1],like us on facebook,0
212,211,i,0,1,83,0.18082788671,0.496503496503,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,29,1,/html/body/nav/div[1]/a[1]/i,,0
213,210,a,1,1,84,0.183006535948,0.498834498834,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",17,20,121,1,/html/body/nav/div[1]/a[2],follow us on twitter,0
214,213,i,0,1,84,0.183006535948,0.501165501166,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,28,1,/html/body/nav/div[1]/a[2]/i,,0
215,210,a,1,1,85,0.185185185185,0.503496503497,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",11,12,95,1,/html/body/nav/div[1]/a[3],quartz index,0
216,215,i,0,1,85,0.185185185185,0.505827505828,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,26,1,/html/body/nav/div[1]/a[3]/i,,0
217,210,a,1,1,86,0.187363834423,0.508158508159,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",7,8,87,1,/html/body/nav/div[1]/a[4],about us,0
218,217,i,0,1,86,0.187363834423,0.51048951049,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,26,1,/html/body/nav/div[1]/a[4]/i,,0
219,210,a,1,1,87,0.18954248366,0.512820512821,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",8,8,96,1,/html/body/nav/div[1]/a[5],register,0
220,219,i,0,1,87,0.18954248366,0.515151515152,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,29,1,/html/body/nav/div[1]/a[5]/i,,0
221,210,a,1,1,88,0.191721132898,0.517482517483,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",5,6,85,1,/html/body/nav/div[1]/a[6],log in,0
222,221,i,0,1,88,0.191721132898,0.519813519814,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,26,1,/html/body/nav/div[1]/a[6]/i,,0
223,210,a,1,1,89,0.193899782135,0.522144522145,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",6,7,65,0,/html/body/nav/div[1]/a[7],log out,0
224,223,i,0,1,89,0.193899782135,0.524475524476,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,27,1,/html/body/nav/div[1]/a[7]/i,,0
225,210,a,1,1,90,0.196078431373,0.526806526807,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",6,6,85,1,/html/body/nav/div[1]/a[8],Events,0
226,225,i,0,1,90,0.196078431373,0.529137529138,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,29,1,/html/body/nav/div[1]/a[8]/i,,0
227,210,a,1,1,91,0.19825708061,0.531468531469,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",5,5,84,1,/html/body/nav/div[1]/a[9],Atlas,0
228,227,i,0,1,91,0.19825708061,0.5337995338,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,26,1,/html/body/nav/div[1]/a[9]/i,,0
229,209,div,2,1,93,0.202614379085,0.536130536131,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",29,33,258,1,/html/body/nav/div[2],quartz quartz India quartz Africa,0
230,229,a,1,1,94,0.204793028322,0.538461538462,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",6,6,70,1,/html/body/nav/div[2]/a[1],quartz,0
231,230,i,0,1,94,0.204793028322,0.540792540793,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,27,1,/html/body/nav/div[2]/a[1]/i,,0
232,229,a,1,1,95,0.20697167756,0.543123543124,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",11,12,78,1,/html/body/nav/div[2]/a[2],quartz India,0
233,232,i,0,1,96,0.209150326797,0.545454545455,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,26,1,/html/body/nav/div[2]/a[2]/i,,0
234,229,a,1,1,98,0.213507625272,0.547785547786,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",12,13,81,1,/html/body/nav/div[2]/a[3],quartz Africa,0
235,234,i,0,1,99,0.21568627451,0.550116550117,0.0,0,0,0,0,"rgb(161,161,161)","rgb(51,51,51)",0,0,27,1,/html/body/nav/div[2]/a[3]/i,,0
236,209,button,1,1,102,0.222222222222,0.552447552448,0.0,0,0,0,0,"rgb(161,161,161)","rgb(249,249,249)",27,32,174,1,/html/body/nav/button,Change your edition back to menu,0
237,236,span,0,1,103,0.22440087146,0.554778554779,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",17,19,69,1,/html/body/nav/button/span[1],Change your edition,0
238,236,span,0,1,104,0.226579520697,0.55710955711,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",10,12,59,1,/html/body/nav/button/span[2],back to menu,0
239,164,div,13,1,107,0.23311546841,0.559440559441,0.0,0,54,1920,10461.9375,"rgb(76,76,76)","rgba(0,0,0,0)",9479,11311,24158,1,/html/body/div[3],WHAT DOESN'T KILL US...ive growth,0
240,239,div,12,1,107,0.23311546841,0.561771561772,0.0,0,54,1920,10461.9375,"rgb(76,76,76)","rgba(0,0,0,0)",9479,11311,24132,1,/html/body/div[3]/div,WHAT DOESN'T KILL US...ive growth,0
241,240,div,0,1,107,0.23311546841,0.564102564103,0.0,0,54,1920,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,59,1,/html/body/div[3]/div/div[1],,0
242,240,div,11,1,109,0.237472766885,0.566433566434,0.0,0,54,1920,10461.9375,"rgb(76,76,76)","rgba(0,0,0,0)",9479,11311,24048,1,/html/body/div[3]/div/div[2],WHAT DOESN'T KILL US...ive growth,0
