id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.0021978021978,0.0024154589372,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",4434,5307,78812,1,/html,OBSESSIONS OUR PICKS...ily Brief.,0
167,0,body,14,1,1,0.0021978021978,0.405797101449,0.0,0,54,1920,1080,"rgb(76,76,76)","rgb(249,249,249)",4434,5307,47274,1,/html/body,OBSESSIONS OUR PICKS...ily Brief.,0
168,167,div,3,1,2,0.0043956043956,0.408212560386,0.0,0,54,1920,0,"rgb(76,76,76)","rgb(51,51,51)",0,0,488,1,/html/body/div[1],,0
169,168,div,2,1,3,0.00659340659341,0.410628019324,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,462,0,/html/body/div[1]/div,,0
170,169,div,1,1,3,0.00659340659341,0.413043478261,0.0,0,0,0,0,"rgb(76,76,76)","rgb(0,0,0)",0,0,357,1,/html/body/div[1]/div/div,,0
171,170,iframe,0,1,3,0.00659340659341,0.415458937198,0.0,0,0,0,0,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,269,1,/html/body/div[1]/div/div/iframe,,0
172,167,header,6,1,5,0.010989010989,0.417874396135,0.0,0,0,1920,54,"rgb(76,76,76)","rgb(255,255,255)",31,35,3068,1,/html/body/header,OBSESSIONS OUR PICKS...ST POPULAR,0
173,172,div,5,1,6,0.0131868131868,0.420289855072,0.0,0,0,1920,32,"rgb(76,76,76)","rgba(0,0,0,0)",0,0,1944,1,/html/body/header/div[1],,0
174,173,a,4,1,7,0.0153846153846,0.42270531401,0.458333333333,880,12.5,160,25,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1918,1,/html/body/header/div[1]/a,,0
175,174,svg,3,1,10,0.021978021978,0.425120772947,0.458333333333,880,12.5,160,25,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1716,1,/html/body/header/div[1]/a/svg,,0
176,175,g,2,1,11,0.0241758241758,0.427536231884,0.45831302007,879.960998535,12.7879991531,160.091003418,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,1471,1,/html/body/header/div[1]/a/svg/g,,0
177,176,g,1,1,12,0.0263736263736,0.429951690821,0.45831302007,879.960998535,12.7879991531,24.9140014648,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,484,1,/html/body/header/div[1]/a/svg/g/g[1],,0
178,177,path,0,1,17,0.0373626373626,0.432367149758,0.45831302007,879.960998535,12.7879991531,24.9140014648,25.0149993896,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,477,1,/html/body/header/div[1]/a/svg/g/g[1]/path,,0
179,176,g,1,1,19,0.0417582417582,0.434782608696,0.518384901683,995.29901123,13.388999939,18.3209838867,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,148,1,/html/body/header/div[1]/a/svg/g/g[2],,0
180,179,polygon,0,1,21,0.0461538461538,0.437198067633,0.518384901683,995.29901123,13.388999939,18.3209838867,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,141,1,/html/body/header/div[1]/a/svg/g/g[2]/polygon,,0
181,176,g,1,1,23,0.0505494505495,0.43961352657,0.489453125,939.75,13.388999939,22.5150146484,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,164,1,/html/body/header/div[1]/a/svg/g/g[3],,0
182,181,path,0,1,25,0.0549450549451,0.442028985507,0.489453125,939.75,13.388999939,22.5150146484,23.1279983521,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,157,1,/html/body/header/div[1]/a/svg/g/g[3]/path,,0
183,176,g,1,1,27,0.0593406593407,0.444444444444,0.532307815552,1022.03100586,13.4270000458,18.0209960938,23.0899982452,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,181,1,/html/body/header/div[1]/a/svg/g/g[4],,0
184,183,polygon,0,1,29,0.0637362637363,0.446859903382,0.532307815552,1022.03100586,13.4270000458,18.0209960938,23.0899982452,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,174,1,/html/body/header/div[1]/a/svg/g/g[4]/polygon,,0
185,176,g,1,1,31,0.0681318681319,0.449275362319,0.476148446401,914.20501709,13.388999939,17.9849853516,23.6269989014,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,197,1,/html/body/header/div[1]/a/svg/g/g[5],,0
186,185,path,0,1,33,0.0725274725275,0.451690821256,0.476148446401,914.20501709,13.388999939,17.9849853516,23.6269989014,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,190,1,/html/body/header/div[1]/a/svg/g/g[5]/path,,0
187,176,g,1,1,35,0.0769230769231,0.454106280193,0.505556774139,970.669006348,13.3889989853,18.2050170898,24.3180007935,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,290,1,/html/body/header/div[1]/a/svg/g/g[6],,0
188,187,path,0,1,38,0.0835164835165,0.45652173913,0.505556774139,970.669006348,13.3889989853,18.2050170898,24.3180007935,"rgb(22,141,217)","rgba(0,0,0,0)",0,0,283,1,/html/body/header/div[1]/a/svg/g/g[6]/path,,0
189,174,span,0,1,44,0.0967032967033,0.458937198068,0.0,0,0,0,0,"rgb(190,190,190)","rgba(0,0,0,0)",0,0,36,0,/html/body/header/div[1]/a/span,,0
190,172,div,2,1,47,0.103296703297,0.461352657005,0.869230143229,1668.921875,0,251.078125,54,"rgb(76,76,76)","rgba(0,0,0,0)",10,10,466,1,/html/body/header/div[2],OBSESSIONS,0
191,190,button,1,1,48,0.105494505495,0.463768115942,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,78,0,/html/body/header/div[2]/button[1],,0
192,191,i,0,1,49,0.107692307692,0.466183574879,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,25,1,/html/body/header/div[2]/button[1]/i,,0
193,190,button,1,1,51,0.112087912088,0.468599033816,0.966145833333,1855,0,63,53,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,71,1,/html/body/header/div[2]/button[2],,0
194,193,i,0,1,52,0.114285714286,0.471014492754,0.977083333333,1876,15,22,25,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,25,1,/html/body/header/div[2]/button[2]/i,,0
195,190,a,1,1,54,0.118681318681,0.473429951691,0.932291666667,1790,0,63,53,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,95,1,/html/body/header/div[2]/a[1],,0
196,195,i,0,1,55,0.120879120879,0.475845410628,0.943229166667,1811,15,22,25,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,27,1,/html/body/header/div[2]/a[1]/i,,0
197,190,a,0,1,57,0.125274725275,0.478260869565,0.869230143229,1668.921875,0,121.078125,54,"rgb(161,161,161)","rgba(0,0,0,0)",10,10,86,1,/html/body/header/div[2]/a[2],OBSESSIONS,0
198,190,a,1,1,60,0.131868131868,0.480676328502,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,105,0,/html/body/header/div[2]/a[3],,0
199,198,i,0,1,60,0.131868131868,0.48309178744,0.0,0,0,0,0,"rgb(161,161,161)","rgba(0,0,0,0)",0,0,32,1,/html/body/header/div[2]/a[3]/i,,0
