id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,16,1,1,0.000313873195229,0.000717360114778,0.0,0,0,1920,1080,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4934,5876,121217,1,/html,Google Research Blog...vacy Terms,0
44,0,body,15,1,1,0.000313873195229,0.032281205165,0.0,0,0,1920,5031,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4934,5876,95239,1,/html/body,Google Research Blog...vacy Terms,0
46,44,iframe,0,1,8,0.00251098556183,0.0337159253945,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,189,0,/html/body/iframe[1],,0
47,44,noscript,0,1,9,0.00282485875706,0.0344332855093,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",117,121,150,1,/html/body/noscript,<img alt='' height='...idth='1'/>,0
48,44,div,7,1,13,0.00408035153798,0.0351506456241,0.0,0,0,1920,257,"rgba(0,0,0,0.870588)","rgb(255,255,255)",51,60,580,1,/html/body/div[1],Google Research Blog... at Google,0
49,48,div,6,1,14,0.00439422473321,0.0358680057389,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,546,1,/html/body/div[1]/div,Google Research Blog... at Google,0
50,49,div,5,1,15,0.00470809792844,0.0365853658537,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,512,1,/html/body/div[1]/div/div,Google Research Blog... at Google,0
51,50,div,4,1,15,0.00470809792844,0.0373027259684,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,473,1,/html/body/div[1]/div/div/div,Google Research Blog... at Google,0
52,51,div,3,1,16,0.00502197112367,0.0380200860832,0.2453125,471,85.5,978,109,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,408,1,/html/body/div[1]/div/div/div/div,Google Research Blog... at Google,0
53,52,div,2,1,17,0.0053358443189,0.038737446198,0.2453125,471,85.5,978,81,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",18,20,302,1,/html/body/div[1]/div/div/div/div/div[1],Google Research Blog,0
54,53,a,1,1,18,0.00564971751412,0.0394548063128,0.243229166667,467,62.5,101,100,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,217,1,/html/body/div[1]/div/div/div/div/div[1]/a[1],,0
55,54,img,0,1,19,0.00596359070935,0.0401721664275,0.243229166667,467,62.5,101,100,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,148,1,/html/body/div[1]/div/div/div/div/div[1]/a[1]/img,,0
56,53,a,1,1,21,0.00659133709981,0.0408895265423,0.3015625,579,147.5,393,19,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",18,20,50,1,/html/body/div[1]/div/div/div/div/div[1]/a[2],Google Research Blog,0
57,56,h1,0,1,22,0.00690521029504,0.0416068866571,0.3015625,579,85.5,393,48,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",18,20,31,1,/html/body/div[1]/div/div/div/div/div[1]/a[2]/h1,Google Research Blog,0
58,52,div,0,1,27,0.00847457627119,0.0423242467719,0.2453125,471,174.5,978,20,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",33,39,72,1,/html/body/div[1]/div/div/div/div/div[2],The latest news from... at Google,0
59,44,div,14,1,35,0.010985561833,0.0430416068867,0.2140625,411,313,1098,4278,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4707,5610,71736,1,/html/body/div[2],App Discovery with G...ct Forums.,0
60,59,div,9,1,36,0.0112994350282,0.0437589670014,0.2453125,471,313,978,4278,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4625,5512,11790,1,/html/body/div[2]/div[1],App Discovery with G...orks   ,0
61,60,div,8,1,37,0.0116133082235,0.0444763271162,0.2453125,471,313,660,4264,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4625,5512,11752,1,/html/body/div[2]/div[1]/div,App Discovery with G...orks   ,0
62,61,div,7,1,38,0.0119271814187,0.045193687231,0.2453125,471,313,660,4264,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4625,5512,11722,1,/html/body/div[2]/div[1]/div/div,App Discovery with G...orks   ,0
63,62,div,6,1,38,0.0119271814187,0.0459110473458,0.2453125,471,313,660,4264,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",4625,5512,11685,1,/html/body/div[2]/div[1]/div/div/div,App Discovery with G...orks   ,0
