id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,16,1,1,0.000312597686777,0.000714796283059,0.0,0,0,1920,1080,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3618,4288,122266,1,/html,Google Research Blog...vacy Terms,0
44,0,body,15,1,1,0.000312597686777,0.0321658327377,0.0,0,0,1920,6470.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3618,4288,96170,1,/html/body,Google Research Blog...vacy Terms,0
46,44,iframe,0,1,8,0.00250078149422,0.0335954253038,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,187,0,/html/body/iframe[1],,0
47,44,noscript,0,1,9,0.00281337918099,0.0343102215868,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",117,121,150,1,/html/body/noscript,<img alt='' height='...idth='1'/>,0
48,44,div,7,1,13,0.0040637699281,0.0350250178699,0.0,0,0,1920,257,"rgba(0,0,0,0.870588)","rgb(255,255,255)",51,60,580,1,/html/body/div[1],Google Research Blog... at Google,0
49,48,div,6,1,14,0.00437636761488,0.035739814153,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,546,1,/html/body/div[1]/div,Google Research Blog... at Google,0
50,49,div,5,1,15,0.00468896530166,0.036454610436,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,512,1,/html/body/div[1]/div/div,Google Research Blog... at Google,0
51,50,div,4,1,15,0.00468896530166,0.0371694067191,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,473,1,/html/body/div[1]/div/div/div,Google Research Blog... at Google,0
52,51,div,3,1,16,0.00500156298843,0.0378842030021,0.2453125,471,85.5,978,109,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,408,1,/html/body/div[1]/div/div/div/div,Google Research Blog... at Google,0
53,52,div,2,1,17,0.00531416067521,0.0385989992852,0.2453125,471,85.5,978,81,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",18,20,302,1,/html/body/div[1]/div/div/div/div/div[1],Google Research Blog,0
54,53,a,1,1,18,0.00562675836199,0.0393137955683,0.243229166667,467,62.5,101,100,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,217,1,/html/body/div[1]/div/div/div/div/div[1]/a[1],,0
55,54,img,0,1,19,0.00593935604877,0.0400285918513,0.243229166667,467,62.5,101,100,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,148,1,/html/body/div[1]/div/div/div/div/div[1]/a[1]/img,,0
56,53,a,1,1,21,0.00656455142232,0.0407433881344,0.3015625,579,147.5,393,19,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",18,20,50,1,/html/body/div[1]/div/div/div/div/div[1]/a[2],Google Research Blog,0
57,56,h1,0,1,22,0.0068771491091,0.0414581844174,0.3015625,579,85.5,393,48,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",18,20,31,1,/html/body/div[1]/div/div/div/div/div[1]/a[2]/h1,Google Research Blog,0
58,52,div,0,1,27,0.00844013754298,0.0421729807005,0.2453125,471,174.5,978,20,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",33,39,72,1,/html/body/div[1]/div/div/div/div/div[2],The latest news from... at Google,0
59,44,div,14,1,35,0.0109409190372,0.0428877769836,0.2140625,411,313,1098,5717.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3391,4022,72573,1,/html/body/div[2],Open sourcing the Em...ct Forums.,0
60,59,div,12,1,36,0.011253516724,0.0436025732666,0.2453125,471,313,978,5717.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3309,3924,12627,1,/html/body/div[2]/div[1],Open sourcing the Em...tion   ,0
61,60,div,11,1,37,0.0115661144108,0.0443173695497,0.2453125,471,313,660,5703.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3309,3924,12589,1,/html/body/div[2]/div[1]/div,Open sourcing the Em...tion   ,0
62,61,div,10,1,38,0.0118787120975,0.0450321658327,0.2453125,471,313,660,5703.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3309,3924,12559,1,/html/body/div[2]/div[1]/div/div,Open sourcing the Em...tion   ,0
63,62,div,9,1,38,0.0118787120975,0.0457469621158,0.2453125,471,313,660,5703.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3309,3924,12522,1,/html/body/div[2]/div[1]/div/div/div,Open sourcing the Em...tion   ,0
64,63,div,8,1,39,0.0121913097843,0.0464617583989,0.2453125,471,313,660,5642.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3306,3918,11781,1,/html/body/div[2]/div[1]/div/div/div/div[1],Open sourcing the Em...ualization,1
65,64,h2,1,1,40,0.0125039074711,0.0471765546819,0.2453125,471,313,660,72,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",72,83,331,1,/html/body/div[2]/div[1]/div/div/div/div[1]/h2,Open sourcing the Em...ional data,1
66,65,a,0,1,41,0.0128165051579,0.047891350965,0.2453125,471,313,653,67,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",72,83,290,1,/html/body/div[2]/div[1]/div/div/div/div[1]/h2/a,Open sourcing the Em...ional data,1
67,64,div,2,1,45,0.014066895905,0.048606147248,0.2453125,471,383,660,27,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",25,28,152,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[1],"Wednesday, December 07, 2016",1
68,67,div,1,1,46,0.0143794935917,0.0493209435311,0.2453125,471,383,660,27,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",25,28,119,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[1]/div,"Wednesday, December 07, 2016",1
69,68,span,0,1,47,0.0146920912785,0.0500357398142,0.2453125,471,385,244,23,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",25,28,88,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[1]/div/span,"Wednesday, December 07, 2016",1
70,64,div,7,1,52,0.0162550797124,0.0507505360972,0.2453125,471,420,660,2447.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3139,3722,7163,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2],Posted by Daniel Smi...mbeddings!,1
71,70,div,6,1,53,0.0165676773992,0.0514653323803,0.2453125,471,420,660,2447.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",3139,3722,7132,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div,Posted by Daniel Smi...mbeddings!,1
72,71,span,0,1,54,0.016880275086,0.0521801286633,0.2453125,471,421,314,19,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",42,50,85,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/span[1],Posted by Daniel Smi...ture group,1
73,71,br,0,1,54,0.016880275086,0.0528949249464,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[1],,1
74,71,br,0,1,55,0.0171928727727,0.0536097212294,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[2],,1
75,71,a,0,1,56,0.0175054704595,0.0543245175125,0.291666666667,560,481,121,20,"rgb(65,132,243)","rgba(0,0,0,0)",16,17,106,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[1],image recognition,1
76,71,a,0,1,56,0.0175054704595,0.0550393137956,0.358333333333,688,481,136,20,"rgb(65,132,243)","rgba(0,0,0,0)",19,20,114,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[2],language translation,1
77,71,a,0,1,56,0.0175054704595,0.0557541100786,0.4328125,831,481,122,20,"rgb(65,132,243)","rgba(0,0,0,0)",16,17,116,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[3],medical diagnosis,1
78,71,br,0,1,56,0.0175054704595,0.0564689063617,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[3],,1
79,71,br,0,1,57,0.0178180681463,0.0571837026447,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[4],,1
80,71,a,0,1,58,0.0181306658331,0.0578984989278,0.4359375,837,601,264,20,"rgb(65,132,243)","rgba(0,0,0,0)",34,37,127,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[4],open-sourcing the Em... Projector,1
81,71,a,0,1,58,0.0181306658331,0.0586132952109,0.266145833333,511,641,101,20,"rgb(65,132,243)","rgba(0,0,0,0)",14,15,101,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[5],A.I. Experiment,1
