id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,16,1,1,0.000313577924114,0.000716332378223,0.0,0,0,1920,1080,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",6027,7126,121902,1,/html,Google Research Blog...vacy Terms,0
41,0,body,15,1,1,0.000313577924114,0.0300859598854,0.0,0,0,1920,7422.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",6027,7126,96477,1,/html/body,Google Research Blog...vacy Terms,0
43,41,iframe,0,1,8,0.00250862339291,0.0315186246418,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,189,0,/html/body/iframe[1],,0
44,41,noscript,0,1,9,0.00282220131703,0.0322349570201,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",117,121,150,1,/html/body/noscript,<img alt='' height='...idth='1'/>,0
45,41,div,7,1,13,0.00407651301348,0.0329512893983,0.0,0,0,1920,257,"rgba(0,0,0,0.870588)","rgb(255,255,255)",51,60,580,1,/html/body/div[1],Google Research Blog... at Google,0
46,45,div,6,1,14,0.0043900909376,0.0336676217765,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,546,1,/html/body/div[1]/div,Google Research Blog... at Google,0
47,46,div,5,1,15,0.00470366886171,0.0343839541547,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,512,1,/html/body/div[1]/div/div,Google Research Blog... at Google,0
48,47,div,4,1,15,0.00470366886171,0.035100286533,0.2453125,471,0,978,256,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,473,1,/html/body/div[1]/div/div/div,Google Research Blog... at Google,0
49,48,div,3,1,16,0.00501724678583,0.0358166189112,0.2453125,471,85.5,978,109,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",51,60,408,1,/html/body/div[1]/div/div/div/div,Google Research Blog... at Google,0
50,49,div,2,1,17,0.00533082470994,0.0365329512894,0.2453125,471,85.5,978,81,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",18,20,302,1,/html/body/div[1]/div/div/div/div/div[1],Google Research Blog,0
51,50,a,1,1,18,0.00564440263405,0.0372492836676,0.243229166667,467,62.5,101,100,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,217,1,/html/body/div[1]/div/div/div/div/div[1]/a[1],,0
52,51,img,0,1,19,0.00595798055817,0.0379656160458,0.243229166667,467,62.5,101,100,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,148,1,/html/body/div[1]/div/div/div/div/div[1]/a[1]/img,,0
53,50,a,1,1,21,0.0065851364064,0.0386819484241,0.3015625,579,147.5,393,19,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",18,20,50,1,/html/body/div[1]/div/div/div/div/div[1]/a[2],Google Research Blog,0
54,53,h1,0,1,22,0.00689871433051,0.0393982808023,0.3015625,579,85.5,393,48,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",18,20,31,1,/html/body/div[1]/div/div/div/div/div[1]/a[2]/h1,Google Research Blog,0
55,49,div,0,1,27,0.00846660395108,0.0401146131805,0.2453125,471,174.5,978,20,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",33,39,72,1,/html/body/div[1]/div/div/div/div/div[2],The latest news from... at Google,0
56,41,div,14,1,35,0.010975227344,0.0408309455587,0.2140625,411,313,1098,6669.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5800,6860,73462,1,/html/body/div[2],Facilitating the dis...ct Forums.,0
57,56,div,9,1,36,0.0112888052681,0.041547277937,0.2453125,471,313,978,6669.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5718,6762,13516,1,/html/body/div[2]/div[1],Facilitating the dis....org   ,0
58,57,div,8,1,37,0.0116023831922,0.0422636103152,0.2453125,471,313,660,6655.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5718,6762,13478,1,/html/body/div[2]/div[1]/div,Facilitating the dis....org   ,0
59,58,div,7,1,38,0.0119159611163,0.0429799426934,0.2453125,471,313,660,6655.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5718,6762,13448,1,/html/body/div[2]/div[1]/div/div,Facilitating the dis....org   ,0
60,59,div,6,1,38,0.0119159611163,0.0436962750716,0.2453125,471,313,660,6655.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5718,6762,13411,1,/html/body/div[2]/div[1]/div/div/div,Facilitating the dis....org   ,0
61,60,div,5,1,39,0.0122295390405,0.0444126074499,0.2453125,471,313,660,6594.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5715,6756,12664,1,/html/body/div[2]/div[1]/div/div/div/div[1],Facilitating the dis...schema.org,1
62,61,h2,1,1,40,0.0125431169646,0.0451289398281,0.2453125,471,313,660,36,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",40,45,249,1,/html/body/div[2]/div[1]/div/div/div/div[1]/h2,Facilitating the dis...c datasets,1
63,62,a,0,1,41,0.0128566948887,0.0458452722063,0.2453125,471,313,464,31,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",40,45,208,1,/html/body/div[2]/div[1]/div/div/div/div[1]/h2/a,Facilitating the dis...c datasets,1
64,61,div,2,1,45,0.0141110065851,0.0465616045845,0.2453125,471,347,660,27,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",22,25,149,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[1],"Tuesday, January 24, 2017",1
65,64,div,1,1,46,0.0144245845093,0.0472779369628,0.2453125,471,347,660,27,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",22,25,116,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[1]/div,"Tuesday, January 24, 2017",1
66,65,span,0,1,47,0.0147381624334,0.047994269341,0.2453125,471,349,201,23,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",22,25,85,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[1]/div/span,"Tuesday, January 24, 2017",1
67,61,div,4,1,52,0.0163060520539,0.0487106017192,0.2453125,471,384,660,1953.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5613,6637,8453,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2],Posted by Natasha No...consumers.,1
68,67,div,3,1,53,0.016619629978,0.0494269340974,0.2453125,471,384,660,1953.5,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",5613,6637,8422,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div,Posted by Natasha No...consumers.,1
69,68,span,1,1,54,0.0169332079022,0.0501432664756,0.2453125,471,385,554,19,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",72,84,124,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/span[1],Posted by Natasha No...ams Office,1
70,69,br,0,1,54,0.0169332079022,0.0508595988539,0.0,0,0,0,0,"rgba(0,0,0,0.541176)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/span[1]/br,,1
71,68,br,0,1,55,0.0172467858263,0.0515759312321,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[1],,1
72,68,br,0,1,56,0.0175603637504,0.0522922636103,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[2],,1
73,68,a,0,1,57,0.0178739416745,0.0530085959885,0.38125,732,485,81,20,"rgb(65,132,243)","rgba(0,0,0,0)",11,12,80,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[1],publish data,1
74,68,a,0,1,57,0.0178739416745,0.0537249283668,0.505208333333,970,485,97,20,"rgb(65,132,243)","rgba(0,0,0,0)",13,14,52,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[2],social science,1
75,68,a,0,1,57,0.0178739416745,0.054441260745,0.2453125,471,485,639,40,"rgb(65,132,243)","rgba(0,0,0,0)",11,12,50,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[3],life science,1
76,68,a,0,1,57,0.0178739416745,0.0551575931232,0.283854166667,545,505,131,20,"rgb(65,132,243)","rgba(0,0,0,0)",18,19,53,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[4],high-energy physics,1
77,68,a,0,1,57,0.0178739416745,0.0558739255014,0.363541666667,698,505,106,20,"rgb(65,132,243)","rgba(0,0,0,0)",14,15,50,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[5],climate science,1
78,68,br,0,1,57,0.0178739416745,0.0565902578797,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[3],,1
79,68,br,0,1,58,0.0181875195986,0.0573065902579,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[4],,1
80,68,br,0,1,59,0.0185010975227,0.0580229226361,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[5],,1
81,68,br,0,1,60,0.0188146754468,0.0587392550143,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[6],,1
82,68,a,0,1,61,0.019128253371,0.0594555873926,0.454166666667,872,785,24,20,"rgb(65,132,243)","rgba(0,0,0,0)",4,4,68,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[6],rely,1
83,68,a,0,1,61,0.019128253371,0.0601719197708,0.371354166667,713,805,79,20,"rgb(65,132,243)","rgba(0,0,0,0)",10,10,43,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[7],schema.org,1
84,68,a,0,1,61,0.019128253371,0.060888252149,0.309375,594,825,224,20,"rgb(65,132,243)","rgba(0,0,0,0)",30,33,109,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[8],recently published new guidelines,1
85,68,a,0,1,61,0.019128253371,0.0616045845272,0.428125,822,865,116,20,"rgb(65,132,243)","rgba(0,0,0,0)",14,15,104,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[9],Knowledge Graph,1
86,68,br,0,1,61,0.019128253371,0.0623209169054,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[7],,1
87,68,br,0,1,62,0.0194418312951,0.0630372492837,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[8],,1
88,68,a,0,1,63,0.0197554092192,0.0637535816619,0.279166666667,536,965,166,20,"rgb(65,132,243)","rgba(0,0,0,0)",21,23,71,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[10],Data Catalog Vocabulary,1
89,68,a,0,1,63,0.0197554092192,0.0644699140401,0.465104166667,893,985,81,20,"rgb(65,132,243)","rgba(0,0,0,0)",11,11,60,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/a[11],discussions,1
90,68,br,0,1,63,0.0197554092192,0.0651862464183,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[9],,1
91,68,br,0,1,64,0.0200689871433,0.0659025787966,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[10],,1
92,68,b,0,1,65,0.0203825650674,0.0666189111748,0.2453125,471,1066,143.484375,20,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",19,20,27,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/b[1],Technical Challenges,1
93,68,br,0,1,65,0.0203825650674,0.067335243553,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[11],,1
94,68,br,0,1,66,0.0206961429915,0.0680515759312,0.0,0,0,0,0,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/br[12],,1
95,68,ul,2,1,67,0.0210097209156,0.0687679083095,0.2453125,471,1162,660,587,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",1722,2052,2285,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/ul[1],Defining more consis...nked data?,1
96,95,li,1,1,68,0.0213232988398,0.0694842406877,0.2703125,519,1162,564,106,"rgba(0,0,0,0.870588)","rgba(0,0,0,0)",312,376,392,1,/html/body/div[2]/div[1]/div/div/div/div[1]/div[2]/div/ul[1]/li[1],Defining more consis... use data.,1
