id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,12,1,1,0.00191570881226,0.00179211469534,0.0,0,0,1920,4023.71875,"rgb(0,0,0)","rgba(0,0,0,0)",8037,9591,64939,1,/html,Paper Summaries A Me...om. Follow,0
73,0,body,11,1,1,0.00191570881226,0.132616487455,0.0,0,0,1920,4023.71875,"rgb(51,51,51)","rgb(232,232,206)",8037,9591,51785,1,/html/body,Paper Summaries A Me...om. Follow,0
74,73,div,10,1,3,0.00574712643678,0.134408602151,0.3046875,585,0,750,4023.71875,"rgb(51,51,51)","rgb(255,255,255)",8031,9584,39563,1,/html/body/div[1],Paper Summaries A Me...Press.com.,0
75,74,div,2,1,5,0.0095785440613,0.136200716846,0.3046875,585,0,750,65,"rgb(51,51,51)","rgb(245,245,231)",14,15,97,1,/html/body/div[1]/div[1],Paper Summaries,0
76,75,h1,1,1,6,0.0114942528736,0.137992831541,0.3046875,585,30,750,25,"rgb(155,187,56)","rgba(0,0,0,0)",14,15,72,1,/html/body/div[1]/div[1]/h1,Paper Summaries,0
77,76,a,0,1,6,0.0114942528736,0.139784946237,0.3046875,585,30,181,25,"rgb(128,144,79)","rgba(0,0,0,0)",14,15,63,1,/html/body/div[1]/div[1]/h1/a,Paper Summaries,0
78,74,div,9,1,9,0.0172413793103,0.141577060932,0.3046875,585,65,520,3903.71875,"rgb(51,51,51)","rgba(0,0,0,0)",7027,8431,26239,1,/html/body/div[1]/div[2],A Measurement Study ...ve a Reply,0
79,78,div,7,1,12,0.0229885057471,0.143369175627,0.315104166667,605,85.953125,480,3721.796875,"rgb(51,51,51)","rgba(0,0,0,0)",7016,8417,16023,1,/html/body/div[1]/div[2]/div[1],A Measurement Study ... Permalink,0
80,79,h2,1,1,14,0.0268199233716,0.145161290323,0.315104166667,605,85.953125,480,40,"rgb(255,255,255)","rgba(0,0,0,0)",93,109,167,1,/html/body/div[1]/div[2]/div[1]/h2,A Measurement Study ...ang et.al.,1
81,80,span,0,1,14,0.0268199233716,0.146953405018,0.315104166667,605,85.953125,480,40,"rgb(255,255,255)","rgb(155,187,56)",93,109,127,1,/html/body/div[1]/div[2]/div[1]/h2/span,A Measurement Study ...ang et.al.,1
82,79,p,1,1,16,0.0306513409962,0.148745519713,0.315104166667,605,125.953125,480,33,"rgb(153,153,153)","rgba(0,0,0,0)",76,89,415,1,/html/body/div[1]/div[2]/div[1]/p[1],"January 26, 2011 at ...t, Routing",1
83,82,a,0,1,17,0.0325670498084,0.150537634409,0.442708333333,850,127.953125,81,13,"rgb(229,135,18)","rgba(0,0,0,0)",13,13,103,1,/html/body/div[1]/div[2]/div[1]/p[1]/a[1],Uncategorized,1
84,82,a,0,1,17,0.0325670498084,0.152329749104,0.5125,984,127.953125,24,13,"rgb(229,135,18)","rgba(0,0,0,0)",3,3,69,1,/html/body/div[1]/div[2]/div[1]/p[1]/a[2],BGP,1
85,82,a,0,1,17,0.0325670498084,0.154121863799,0.315104166667,605,143.953125,77,13,"rgb(229,135,18)","rgba(0,0,0,0)",11,11,85,1,/html/body/div[1]/div[2]/div[1]/p[1]/a[3],Measurement,1
86,82,a,0,1,17,0.0325670498084,0.155913978495,0.359375,690,143.953125,43,13,"rgb(229,135,18)","rgba(0,0,0,0)",7,7,77,1,/html/body/div[1]/div[2]/div[1]/p[1]/a[4],Routing,1
87,79,div,6,1,19,0.036398467433,0.15770609319,0.315104166667,605,173.921875,480,3600.859375,"rgb(51,51,51)","rgba(0,0,0,0)",6838,8207,15047,1,/html/body/div[1]/div[2]/div[1]/div,"BGP: Path vector Pro... networks""",1
88,87,p,1,1,20,0.0383141762452,0.159498207885,0.315104166667,605,173.921875,480,18,"rgb(51,51,51)","rgba(0,0,0,0)",4,4,28,1,/html/body/div[1]/div[2]/div[1]/div/p[1],BGP:,1
89,88,strong,0,1,20,0.0383141762452,0.161290322581,0.315104166667,605,174.921875,33,15,"rgb(51,51,51)","rgba(0,0,0,0)",4,4,21,1,/html/body/div[1]/div[2]/div[1]/div/p[1]/strong,BGP:,1
90,87,ul,1,1,21,0.0402298850575,0.163082437276,0.328100585938,629.953125,206.890625,455.046875,108,"rgb(51,51,51)","rgba(0,0,0,0)",254,297,344,1,/html/body/div[1]/div[2]/div[1]/div/ul[1],Path vector Protocol...nts of TCP,1
91,90,li,0,1,22,0.0421455938697,0.164874551971,0.328100585938,629.953125,206.890625,455.046875,36,"rgb(51,51,51)","rgba(0,0,0,0)",66,77,86,1,/html/body/div[1]/div[2]/div[1]/div/ul[1]/li[1],Path vector Protocol... neighbors,1
92,90,li,0,1,23,0.044061302682,0.166666666667,0.328100585938,629.953125,242.890625,455.046875,18,"rgb(51,51,51)","rgba(0,0,0,0)",51,58,67,1,/html/body/div[1]/div[2]/div[1]/div/ul[1]/li[2],Stateful: Only adver...withdrawal,1
93,90,li,0,1,24,0.0459770114943,0.168458781362,0.328100585938,629.953125,260.890625,455.046875,18,"rgb(51,51,51)","rgba(0,0,0,0)",62,70,79,1,/html/body/div[1]/div[2]/div[1]/div/ul[1]/li[3],Policy-based: Select...l policies,1
94,90,li,0,1,25,0.0478927203065,0.170250896057,0.328100585938,629.953125,278.890625,455.046875,36,"rgb(51,51,51)","rgba(0,0,0,0)",75,89,98,1,/html/body/div[1]/div[2]/div[1]/div/ul[1]/li[4],Over the same networ...nts of TCP,1
95,87,p,1,1,27,0.051724137931,0.172043010753,0.315104166667,605,329.859375,480,54,"rgb(51,51,51)","rgba(0,0,0,0)",130,154,204,1,/html/body/div[1]/div[2]/div[1]/div/p[2],Q. Is the entire pat...t be made.,1
96,95,strong,0,1,27,0.051724137931,0.173835125448,0.315104166667,605,330.859375,15,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,19,1,/html/body/div[1]/div[2]/div[1]/div/p[2]/strong[1],Q.,1
97,95,em,0,1,27,0.051724137931,0.175627240143,0.315104166667,605,330.859375,451,33,"rgb(51,51,51)","rgba(0,0,0,0)",69,80,91,1,/html/body/div[1]/div[2]/div[1]/div/p[2]/em,Is the entire path v...n suffice?,1
98,95,strong,0,1,27,0.051724137931,0.177419354839,0.341145833333,655,348.859375,13,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,19,1,/html/body/div[1]/div[2]/div[1]/div/p[2]/strong[2],A.,1
99,87,p,1,1,28,0.0536398467433,0.179211469534,0.315104166667,605,398.828125,480,54,"rgb(51,51,51)","rgba(0,0,0,0)",152,183,233,1,/html/body/div[1]/div[2]/div[1]/div/p[3],Q. How much overhead... security.,1
100,99,strong,0,1,28,0.0536398467433,0.181003584229,0.315104166667,605,399.828125,11,15,"rgb(51,51,51)","rgba(0,0,0,0)",1,1,18,1,/html/body/div[1]/div[2]/div[1]/div/p[3]/strong[1],Q,1
101,99,em,0,1,28,0.0536398467433,0.182795698925,0.322916666667,620,399.828125,358,15,"rgb(51,51,51)","rgba(0,0,0,0)",45,53,63,1,/html/body/div[1]/div[2]/div[1]/div/p[3]/em,How much overhead do...BGP cause?,1
102,99,strong,0,1,28,0.0536398467433,0.18458781362,0.511458333333,982,399.828125,17,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,20,1,/html/body/div[1]/div[2]/div[1]/div/p[3]/strong[2],A.,1
103,87,p,1,1,29,0.0555555555556,0.186379928315,0.315104166667,605,467.796875,480,18,"rgb(51,51,51)","rgba(0,0,0,0)",14,14,38,1,/html/body/div[1]/div[2]/div[1]/div/p[4],Preliminaries:,1
104,103,strong,0,1,29,0.0555555555556,0.188172043011,0.315104166667,605,468.796875,93,15,"rgb(51,51,51)","rgba(0,0,0,0)",14,14,31,1,/html/body/div[1]/div[2]/div[1]/div/p[4]/strong,Preliminaries:,1
105,87,p,1,1,30,0.0574712643678,0.189964157706,0.315104166667,605,500.765625,480,90,"rgb(51,51,51)","rgba(0,0,0,0)",309,363,413,1,/html/body/div[1]/div[2]/div[1]/div/p[5],Q. Should we expect ...ent study.,1
106,105,strong,0,1,30,0.0574712643678,0.191756272401,0.315104166667,605,501.765625,19,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,20,1,/html/body/div[1]/div[2]/div[1]/div/p[5]/strong[1],Q.,1
107,105,em,0,1,30,0.0574712643678,0.193548387097,0.315104166667,605,501.765625,462,33,"rgb(51,51,51)","rgba(0,0,0,0)",74,85,94,1,/html/body/div[1]/div[2]/div[1]/div/p[5]/em,Should we expect rou...avoidable?,1
108,105,strong,0,1,30,0.0574712643678,0.195340501792,0.3578125,687,519.765625,9,15,"rgb(51,51,51)","rgba(0,0,0,0)",1,1,18,1,/html/body/div[1]/div[2]/div[1]/div/p[5]/strong[2],A,1
109,87,p,1,1,31,0.0593869731801,0.197132616487,0.315104166667,605,605.734375,480,72,"rgb(51,51,51)","rgba(0,0,0,0)",207,253,303,1,/html/body/div[1]/div[2]/div[1]/div/p[6],Q. Why wasn’t it unt...r to 2005.,1
110,109,strong,0,1,31,0.0593869731801,0.198924731183,0.315104166667,605,606.734375,19,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,20,1,/html/body/div[1]/div[2]/div[1]/div/p[6]/strong[1],Q.,1
111,109,em,0,1,31,0.0593869731801,0.200716845878,0.315104166667,605,606.734375,473,33,"rgb(51,51,51)","rgba(0,0,0,0)",78,96,105,1,/html/body/div[1]/div[2]/div[1]/div/p[6]/em,Why wasn’t it until ...h a study?,1
112,109,strong,0,1,31,0.0593869731801,0.202508960573,0.388020833333,745,624.734375,17,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,20,1,/html/body/div[1]/div[2]/div[1]/div/p[6]/strong[2],A.,1
113,87,p,1,1,32,0.0613026819923,0.204301075269,0.315104166667,605,692.703125,480,144,"rgb(51,51,51)","rgba(0,0,0,0)",458,541,596,1,/html/body/div[1]/div[2]/div[1]/div/p[7],Q. What tools are av...igure out.,1
114,113,strong,0,1,32,0.0613026819923,0.206093189964,0.315104166667,605,693.703125,11,15,"rgb(51,51,51)","rgba(0,0,0,0)",1,1,18,1,/html/body/div[1]/div[2]/div[1]/div/p[7]/strong[1],Q,1
115,113,em,0,1,32,0.0613026819923,0.207885304659,0.325,624,693.703125,388,15,"rgb(51,51,51)","rgba(0,0,0,0)",54,63,73,1,/html/body/div[1]/div[2]/div[1]/div/p[7]/em,What tools are avail... this one?,1
116,113,strong,0,1,32,0.0613026819923,0.209677419355,0.527083333333,1012,693.703125,9,15,"rgb(51,51,51)","rgba(0,0,0,0)",1,1,18,1,/html/body/div[1]/div[2]/div[1]/div/p[7]/strong[2],A,1
117,87,p,1,1,33,0.0632183908046,0.21146953405,0.315104166667,605,851.671875,480,36,"rgb(51,51,51)","rgba(0,0,0,0)",66,79,95,1,/html/body/div[1]/div[2]/div[1]/div/p[8],The network does not...conducted.,1
118,117,em,0,1,33,0.0632183908046,0.213261648746,0.315104166667,605,852.671875,436,33,"rgb(51,51,51)","rgba(0,0,0,0)",65,78,87,1,/html/body/div[1]/div[2]/div[1]/div/p[8]/em,The network does not... conducted,1
119,87,p,1,1,34,0.0651340996169,0.215053763441,0.315104166667,605,902.640625,480,18,"rgb(51,51,51)","rgba(0,0,0,0)",12,13,37,1,/html/body/div[1]/div[2]/div[1]/div/p[9],Some Details:,1
120,119,strong,0,1,34,0.0651340996169,0.216845878136,0.315104166667,605,903.640625,92,15,"rgb(51,51,51)","rgba(0,0,0,0)",12,13,30,1,/html/body/div[1]/div[2]/div[1]/div/p[9]/strong,Some Details:,1
121,87,p,1,1,35,0.0670498084291,0.218637992832,0.315104166667,605,935.609375,480,72,"rgb(51,51,51)","rgba(0,0,0,0)",198,235,285,1,/html/body/div[1]/div[2]/div[1]/div/p[10],Q. Why does a router...not occur.,1
122,121,strong,0,1,35,0.0670498084291,0.220430107527,0.315104166667,605,936.609375,15,15,"rgb(51,51,51)","rgba(0,0,0,0)",2,2,19,1,/html/body/div[1]/div[2]/div[1]/div/p[10]/strong[1],Q.,1
