id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,36,1,1,0.000812347684809,0.00149925037481,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",2971,3587,78036,1,/html,some quick notes abo...y Blogger.,0
28,0,body,35,1,1,0.000812347684809,0.0434782608696,0.0,0,0,1920,4238.03125,"rgb(51,51,51)","rgb(17,17,17)",2971,3587,52573,1,/html/body,some quick notes abo...y Blogger.,0
29,28,div,3,1,2,0.00162469536962,0.0449775112444,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,2618,1,/html/body/div[1],,0
30,29,div,2,1,2,0.00162469536962,0.0464767616192,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,2572,1,/html/body/div[1]/div,,0
32,30,div,1,1,12,0.00974817221771,0.0494752623688,0.0,0,0,1920,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,1006,1,/html/body/div[1]/div/div,,0
33,32,iframe,0,1,12,0.00974817221771,0.0509745127436,0.0,0,0,1923,30,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,966,1,/html/body/div[1]/div/div/iframe,,0
37,28,div,3,1,35,0.0284321689683,0.0569715142429,0.0,0,0,1920,4238.03125,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,388,1,/html/body/div[2],,0
38,37,div,2,1,36,0.0292445166531,0.0584707646177,0.0,0,0,1920,4238.03125,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,350,1,/html/body/div[2]/div,,0
39,38,div,1,1,37,0.0300568643379,0.0599700149925,0.0,0,0,1920,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,87,1,/html/body/div[2]/div/div[1],,0
40,39,div,0,1,38,0.0308692120227,0.0614692653673,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[2]/div/div[1]/div[1],,0
41,39,div,0,1,39,0.0316815597076,0.0629685157421,1.0,1920,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[2]/div/div[1]/div[2],,0
42,38,div,1,1,41,0.0333062550772,0.0644677661169,0.0,0,0,1920,4238.03125,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[2]/div/div[2],,0
43,42,div,0,1,42,0.034118602762,0.0659670164918,1.0,1920,0,0,4238.03125,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,36,1,/html/body/div[2]/div/div[2]/div[1],,0
44,42,div,0,1,43,0.0349309504468,0.0674662668666,0.0,0,0,1920,4238.03125,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,37,1,/html/body/div[2]/div/div[2]/div[2],,0
45,38,div,1,1,46,0.0373679935012,0.0689655172414,0.0,0,4238.03125,1920,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/div/div[3],,0
46,45,div,0,1,47,0.038180341186,0.0704647676162,0.0,0,4238.03125,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,28,1,/html/body/div[2]/div/div[3]/div[1],,0
47,45,div,0,1,48,0.0389926888708,0.071964017991,1.0,1920,4238.03125,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,29,1,/html/body/div[2]/div/div[3]/div[2],,0
48,28,div,34,1,52,0.0422420796101,0.0734632683658,0.0,0,50,1920,4168.03125,"rgb(51,51,51)","rgba(0,0,0,0)",2971,3587,41884,1,/html/body/div[3],some quick notes abo...y Blogger.,0
