id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.00182149362477,0.00197628458498,0.0,0,0,1920,1866.1875,"rgb(0,0,0)","rgba(0,0,0,0)",1074,1277,51652,1,/html,The Vaidya's Oath A ...OM. Follow,0
81,0,body,14,1,1,0.00182149362477,0.162055335968,0.0,0,0,1920,1866.1875,"rgb(106,82,74)","rgb(233,231,227)",1074,1277,37859,1,/html/body,The Vaidya's Oath A ...OM. Follow,0
82,81,div,13,1,2,0.00364298724954,0.164031620553,0.0,0,0,1920,1866.1875,"rgb(106,82,74)","rgba(0,0,0,0)",1068,1270,24239,1,/html/body/div[1],The Vaidya's Oath A ...PRESS.COM.,0
83,82,div,5,1,3,0.00546448087432,0.166007905138,0.0,0,0,0,0,"rgb(106,82,74)","rgb(210,83,73)",33,37,543,0,/html/body/div[1]/div[1],Skip to content Home...hool Shows,0
84,83,nav,4,1,4,0.00728597449909,0.167984189723,0.0,0,0,0,0,"rgb(106,82,74)","rgba(0,0,0,0)",33,37,470,1,/html/body/div[1]/div[1]/nav,Skip to content Home...hool Shows,0
85,84,a,0,1,5,0.00910746812386,0.169960474308,0.0,0,0,0,0,"rgba(255,255,255,0.74902)","rgba(0,0,0,0)",13,15,75,1,/html/body/div[1]/div[1]/nav/a,Skip to content,0
86,84,div,3,1,7,0.0127504553734,0.171936758893,0.0,0,0,0,0,"rgb(106,82,74)","rgba(0,0,0,0)",20,21,318,1,/html/body/div[1]/div[1]/nav/div,HomeAboutSchool Shows,0
87,86,ul,2,1,7,0.0127504553734,0.173913043478,0.0,0,0,0,0,"rgb(106,82,74)","rgba(0,0,0,0)",20,21,294,1,/html/body/div[1]/div[1]/nav/div/ul,HomeAboutSchool Shows,0
88,87,li,1,1,7,0.0127504553734,0.175889328063,0.0,0,0,0,0,"rgb(106,82,74)","rgba(0,0,0,0)",4,4,65,1,/html/body/div[1]/div[1]/nav/div/ul/li[1],Home,0
89,88,a,0,1,7,0.0127504553734,0.177865612648,0.0,0,0,0,0,"rgba(255,255,255,0.74902)","rgba(0,0,0,0)",4,4,56,1,/html/body/div[1]/div[1]/nav/div/ul/li[1]/a,Home,0
90,87,li,1,1,7,0.0127504553734,0.179841897233,0.0,0,0,0,0,"rgb(106,82,74)","rgba(0,0,0,0)",5,5,102,1,/html/body/div[1]/div[1]/nav/div/ul/li[2],About,0
91,90,a,0,1,7,0.0127504553734,0.181818181818,0.0,0,0,0,0,"rgba(255,255,255,0.74902)","rgba(0,0,0,0)",5,5,63,1,/html/body/div[1]/div[1]/nav/div/ul/li[2]/a,About,0
92,87,li,1,1,7,0.0127504553734,0.183794466403,0.0,0,0,0,0,"rgb(106,82,74)","rgba(0,0,0,0)",11,12,118,1,/html/body/div[1]/div[1]/nav/div/ul/li[3],School Shows,0
93,92,a,0,1,7,0.0127504553734,0.185770750988,0.0,0,0,0,0,"rgba(255,255,255,0.74902)","rgba(0,0,0,0)",11,12,77,1,/html/body/div[1]/div[1]/nav/div/ul/li[3]/a,School Shows,0
94,82,div,7,1,10,0.0182149362477,0.187747035573,0.0,0,0,0,0,"rgb(106,82,74)","rgb(210,83,73)",542,629,5788,0,/html/body/div[1]/div[2],Search for: Recent P...dPress.com,0
