id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,22,1,1,0.00067842605156,0.000713775874375,0.0,0,0,1920,12774.28125,"rgb(0,0,0)","rgba(0,0,0,0)",13649,16381,180348,1,/html,Home Blog Jobs Train...ics Vidhya,0
106,0,body,21,1,1,0.00067842605156,0.0763740185582,0.0,0,0,1920,12774.28125,"rgb(8,14,20)","rgb(255,255,255)",13649,16381,133549,1,/html/body,Home Blog Jobs Train...ics Vidhya,0
107,106,div,20,1,3,0.00203527815468,0.0770877944325,0.0,0,0,1920,12774.28125,"rgb(8,14,20)","rgb(255,255,255)",13649,16381,121574,1,/html/body/div[1],Home Blog Jobs Train...ics Vidhya,0
108,107,nav,7,1,5,0.0033921302578,0.0778015703069,-0.078125,-150,0,300,577,"rgb(8,14,20)","rgb(33,33,33)",0,0,7239,1,/html/body/div[1]/nav,,0
109,108,div,1,1,6,0.00407055630936,0.0785153461813,-0.078125,-150,0,300,49,"rgb(234,234,234)","rgba(0,0,0,0)",0,0,60,1,/html/body/div[1]/nav/div[1],,0
110,109,i,0,1,6,0.00407055630936,0.0792291220557,-0.00686848958333,-13.1875,13,24.1875,22,"rgb(234,234,234)","rgba(0,0,0,0)",0,0,27,1,/html/body/div[1]/nav/div[1]/i,,0
111,108,div,3,1,7,0.00474898236092,0.07994289793,-0.078125,-150,49,300,48,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,349,1,/html/body/div[1]/nav/div[2],,0
112,111,form,2,1,7,0.00474898236092,0.0806566738044,-0.078125,-150,49,300,48,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,315,1,/html/body/div[1]/nav/div[2]/form,,0
113,112,button,1,1,8,0.00542740841248,0.0813704496788,0.0552083333333,106,49,44,48,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,66,1,/html/body/div[1]/nav/div[2]/form/button,,0
114,113,i,0,1,8,0.00542740841248,0.0820842255532,0.0619791666667,119,62,16.5,22,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,27,1,/html/body/div[1]/nav/div[2]/form/button/i,,0
115,112,input,0,1,9,0.00610583446404,0.0827980014276,-0.078125,-150,49,300,48,"rgb(8,14,20)","rgb(255,255,255)",0,0,159,1,/html/body/div[1]/nav/div[2]/form/input,,0
116,108,ul,6,1,11,0.00746268656716,0.0835117773019,-0.078125,-150,97,300,480,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,6744,1,/html/body/div[1]/nav/ul,,0
117,116,li,1,1,11,0.00746268656716,0.0842255531763,-0.078125,-150,97,300,48,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,165,1,/html/body/div[1]/nav/ul/li[1],,0
118,117,span,0,1,11,0.00746268656716,0.0849393290507,-0.078125,-150,97,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,13,1,/html/body/div[1]/nav/ul/li[1]/span,,0
119,117,a,0,1,11,0.00746268656716,0.0856531049251,-0.078125,-150,97,300,48,"rgb(234,234,234)","rgba(0,0,0,0)",0,0,51,1,/html/body/div[1]/nav/ul/li[1]/a,,0
120,116,li,5,1,12,0.00814111261872,0.0863668807994,-0.078125,-150,145,300,48,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,2564,1,/html/body/div[1]/nav/ul/li[2],,0
121,120,span,1,1,12,0.00814111261872,0.0870806566738,0.0541666666667,104,145,46,47,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,72,1,/html/body/div[1]/nav/ul/li[2]/span,,0
122,121,i,0,1,12,0.00814111261872,0.0877944325482,0.059375,114,159,22,22,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,35,1,/html/body/div[1]/nav/ul/li[2]/span/i,,0
123,120,a,0,1,12,0.00814111261872,0.0885082084226,-0.078125,-150,145,300,48,"rgb(234,234,234)","rgba(0,0,0,0)",0,0,56,1,/html/body/div[1]/nav/ul/li[2]/a,,0
124,120,ul,4,1,13,0.00881953867028,0.0892219842969,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",94,107,2325,0,/html/body/div[1]/nav/ul/li[2]/ul,Business Analytics S...s Glossary,0
125,124,li,3,1,14,0.00949796472185,0.0899357601713,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",27,31,1018,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1],Business Analytics SAS R Python,0
126,125,span,1,1,14,0.00949796472185,0.0906495360457,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,72,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/span,,0
127,126,i,0,1,14,0.00949796472185,0.0913633119201,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,35,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/span/i,,0
128,125,a,0,1,14,0.00949796472185,0.0920770877944,0.0,0,0,0,0,"rgb(234,234,234)","rgb(24,24,24)",17,18,98,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/a,Business Analytics,0
129,125,ul,2,1,15,0.0101763907734,0.0927908636688,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",10,12,672,0,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/ul,SAS R Python,0
130,129,li,1,1,16,0.010854816825,0.0935046395432,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",3,3,171,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/ul/li[1],SAS,0
131,130,span,0,1,16,0.010854816825,0.0942184154176,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",0,0,13,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/ul/li[1]/span,,0
132,130,a,0,1,16,0.010854816825,0.0949321912919,0.0,0,0,0,0,"rgb(234,234,234)","rgba(0,0,0,0)",3,3,68,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/ul/li[1]/a,SAS,0
133,129,li,1,1,17,0.0115332428765,0.0956459671663,0.0,0,0,0,0,"rgb(8,14,20)","rgba(0,0,0,0)",1,1,229,1,/html/body/div[1]/nav/ul/li[2]/ul/li[1]/ul/li[2],R,0
