id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.000685871056241,0.00135501355014,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3781,4486,76967,1,/html,Sign In | Sign Up Li...73E3FD792A,0
36,0,body,17,1,1,0.000685871056241,0.050135501355,0.0,0,0,1920,1080,"rgb(34,34,34)","rgb(37,37,37)",3781,4486,65060,1,/html/body,Sign In | Sign Up Li...73E3FD792A,0
37,36,div,0,1,1,0.000685871056241,0.0514905149051,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0.45098)",0,0,49,0,/html/body/div[1],,0
38,36,div,3,1,1,0.000685871056241,0.0528455284553,0.0,0,0,0,0,"rgb(254,241,53)","rgb(0,0,0)",290,341,581,0,/html/body/div[2],×(n) A regional or s...th Edition,0
39,38,a,0,1,1,0.000685871056241,0.0542005420054,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",1,1,29,1,/html/body/div[2]/a,×,0
40,38,h4,0,1,1,0.000685871056241,0.0555555555556,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,23,1,/html/body/div[2]/h4,,0
41,38,hr,0,1,1,0.000685871056241,0.0569105691057,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/hr[1],,0
42,38,div,2,1,1,0.000685871056241,0.0582655826558,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",224,265,369,1,/html/body/div[2]/div[1],(n) A regional or so...f English.,0
43,42,p,1,1,1,0.000685871056241,0.059620596206,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",224,265,297,1,/html/body/div[2]/div[1]/p,(n) A regional or so...f English.,0
44,43,em,0,1,1,0.000685871056241,0.0609756097561,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",1,1,10,1,/html/body/div[2]/div[1]/p/em,n,0
45,43,br,0,1,1,0.000685871056241,0.0623306233062,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/p/br,,0
46,38,hr,0,1,1,0.000685871056241,0.0636856368564,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/hr[2],,0
47,38,div,1,1,1,0.000685871056241,0.0650406504065,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",65,75,121,1,/html/body/div[2]/div[2],from The American He...th Edition,0
48,47,p,0,1,1,0.000685871056241,0.0663956639566,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",65,75,103,1,/html/body/div[2]/div[2]/p[1],from The American He...th Edition,0
