id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.000694927032662,0.00148148148148,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3270,3916,75997,1,/html,Sign In | Sign Up Li...73E3FD792A,0
36,0,body,16,1,1,0.000694927032662,0.0548148148148,0.0,0,0,1920,1080,"rgb(34,34,34)","rgb(37,37,37)",3270,3916,63985,1,/html/body,Sign In | Sign Up Li...73E3FD792A,0
37,36,div,0,1,1,0.000694927032662,0.0562962962963,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0.45098)",0,0,49,0,/html/body/div[1],,0
38,36,div,3,1,1,0.000694927032662,0.0577777777778,0.0,0,0,0,0,"rgb(254,241,53)","rgb(0,0,0)",290,341,581,0,/html/body/div[2],×(n) A regional or s...th Edition,0
39,38,a,0,1,1,0.000694927032662,0.0592592592593,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",1,1,29,1,/html/body/div[2]/a,×,0
40,38,h4,0,1,1,0.000694927032662,0.0607407407407,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,23,1,/html/body/div[2]/h4,,0
41,38,hr,0,1,1,0.000694927032662,0.0622222222222,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/hr[1],,0
42,38,div,2,1,1,0.000694927032662,0.0637037037037,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",224,265,369,1,/html/body/div[2]/div[1],(n) A regional or so...f English.,0
43,42,p,1,1,1,0.000694927032662,0.0651851851852,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",224,265,297,1,/html/body/div[2]/div[1]/p,(n) A regional or so...f English.,0
44,43,em,0,1,1,0.000694927032662,0.0666666666667,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",1,1,10,1,/html/body/div[2]/div[1]/p/em,n,0
45,43,br,0,1,1,0.000694927032662,0.0681481481481,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/p/br,,0
46,38,hr,0,1,1,0.000694927032662,0.0696296296296,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/hr[2],,0
47,38,div,1,1,1,0.000694927032662,0.0711111111111,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",65,75,121,1,/html/body/div[2]/div[2],from The American He...th Edition,0
48,47,p,0,1,1,0.000694927032662,0.0725925925926,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",65,75,103,1,/html/body/div[2]/div[2]/p[1],from The American He...th Edition,0
49,47,p,0,1,1,0.000694927032662,0.0740740740741,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,7,1,/html/body/div[2]/div[2]/p[2],,0
50,36,form,15,1,2,0.00138985406532,0.0755555555556,0.0,0,0,1920,3615,"rgb(34,34,34)","rgba(0,0,0,0)",3270,3916,62864,1,/html/body/form,Sign In | Sign Up Li...73E3FD792A,0
51,50,div,1,1,3,0.00208478109798,0.077037037037,0.0,0,0,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,21736,1,/html/body/form/div[1],,0
52,51,input,0,1,4,0.00277970813065,0.0785185185185,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,21702,0,/html/body/form/div[1]/input,,0
53,50,div,1,1,7,0.00486448922863,0.08,0.0,0,0,1920,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,297,1,/html/body/form/div[2],,0
54,53,input,0,1,9,0.00625434329395,0.0814814814815,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,92,0,/html/body/form/div[2]/input[1],,0
55,53,input,0,1,10,0.00694927032662,0.082962962963,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,170,0,/html/body/form/div[2]/input[2],,0
56,50,div,14,1,12,0.00833912439194,0.0844444444444,0.229166666667,440,0,1040,3591,"rgb(34,34,34)","rgba(0,0,0,0)",3238,3883,37091,1,/html/body/form/div[3],Sign In | Sign Up Li...er Sitemap,0
57,56,div,13,1,14,0.00972897845726,0.0859259259259,0.229166666667,440,0,1040,3591,"rgb(34,34,34)","rgba(0,0,0,0)",3238,3883,37035,1,/html/body/form/div[3]/div,Sign In | Sign Up Li...er Sitemap,0
58,57,div,12,1,15,0.0104239054899,0.0874074074074,0.229166666667,440,0,1040,3591,"rgb(34,34,34)","rgba(0,0,0,0)",3238,3883,36960,1,/html/body/form/div[3]/div/div,Sign In | Sign Up Li...er Sitemap,0
59,58,div,11,1,16,0.0111188325226,0.0888888888889,0.229166666667,440,0,1040,3591,"rgb(34,34,34)","rgba(0,0,0,0)",3238,3883,35794,1,/html/body/form/div[3]/div/div/div[1],Sign In | Sign Up Li...er Sitemap,0
60,59,div,6,1,24,0.0166782487839,0.0903703703704,0.229166666667,440,90,1040,29,"rgb(34,34,34)","rgb(255,255,255)",13,17,1762,1,/html/body/form/div[3]/div/div/div[1]/div[1],Sign In | Sign Up,0
61,60,div,5,1,25,0.0173731758165,0.0918518518519,0.229166666667,440,90,1040,29,"rgb(34,34,34)","rgba(0,0,0,0)",13,17,1735,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div,Sign In | Sign Up,0
62,61,div,2,1,26,0.0180681028492,0.0933333333333,0.229166666667,440,90,520,24,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,218,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[1],,0
63,62,a,1,1,27,0.0187630298819,0.0948148148148,0.236979166667,455,93,273,18,"rgb(0,140,186)","rgba(0,0,0,0)",0,0,151,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[1]/a,,0
64,63,img,0,1,28,0.0194579569145,0.0962962962963,0.236979166667,455,93,273,21,"rgb(0,140,186)","rgba(0,0,0,0)",0,0,114,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[1]/a/img,,0
65,61,div,2,1,31,0.0215427380125,0.0977777777778,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,252,0,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[2],,0
66,65,a,1,1,32,0.0222376650452,0.0992592592593,0.0,0,0,0,0,"rgb(0,140,186)","rgba(0,0,0,0)",0,0,159,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[2]/a,,0
67,66,img,0,1,33,0.0229325920778,0.100740740741,0.0,0,0,0,0,"rgb(0,140,186)","rgba(0,0,0,0)",0,0,122,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[2]/a/img,,0
68,61,div,2,1,36,0.0250173731758,0.102222222222,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0)",0,0,240,0,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[3],,0
69,68,a,1,1,37,0.0257123002085,0.103703703704,0.0,0,0,0,0,"rgb(0,140,186)","rgba(0,0,0,0)",0,0,151,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[3]/a,,0
70,69,img,0,1,38,0.0264072272411,0.105185185185,0.0,0,0,0,0,"rgb(0,140,186)","rgba(0,0,0,0)",0,0,114,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[3]/a/img,,0
71,61,div,4,1,43,0.0298818624044,0.106666666667,0.5,960,90,520,29,"rgb(34,34,34)","rgba(0,0,0,0)",13,17,997,1,/html/body/form/div[3]/div/div/div[1]/div[1]/div/div[4],Sign In | Sign Up,0
