id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.000693000693001,0.00147058823529,0.0,0,0,1920,1080,"rgb(0,0,0)","rgba(0,0,0,0)",3434,4084,76380,1,/html,Sign In | Sign Up Li...73E3FD792A,0
36,0,body,16,1,1,0.000693000693001,0.0544117647059,0.0,0,0,1920,1080,"rgb(34,34,34)","rgb(37,37,37)",3434,4084,64363,1,/html/body,Sign In | Sign Up Li...73E3FD792A,0
37,36,div,0,1,1,0.000693000693001,0.0558823529412,0.0,0,0,0,0,"rgb(34,34,34)","rgba(0,0,0,0.45098)",0,0,49,0,/html/body/div[1],,0
38,36,div,3,1,1,0.000693000693001,0.0573529411765,0.0,0,0,0,0,"rgb(254,241,53)","rgb(0,0,0)",290,341,581,0,/html/body/div[2],×(n) A regional or s...th Edition,0
39,38,a,0,1,1,0.000693000693001,0.0588235294118,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",1,1,29,1,/html/body/div[2]/a,×,0
40,38,h4,0,1,1,0.000693000693001,0.0602941176471,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,23,1,/html/body/div[2]/h4,,0
41,38,hr,0,1,1,0.000693000693001,0.0617647058824,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/hr[1],,0
42,38,div,2,1,1,0.000693000693001,0.0632352941176,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",224,265,369,1,/html/body/div[2]/div[1],(n) A regional or so...f English.,0
43,42,p,1,1,1,0.000693000693001,0.0647058823529,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",224,265,297,1,/html/body/div[2]/div[1]/p,(n) A regional or so...f English.,0
44,43,em,0,1,1,0.000693000693001,0.0661764705882,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",1,1,10,1,/html/body/div[2]/div[1]/p/em,n,0
45,43,br,0,1,1,0.000693000693001,0.0676470588235,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/div[1]/p/br,,0
46,38,hr,0,1,1,0.000693000693001,0.0691176470588,0.0,0,0,0,0,"rgb(254,241,53)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[2]/hr[2],,0
