id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,15,1,1,0.000202839756592,0.000465983224604,0.0,0,0,1920,3359,"rgb(0,0,0)","rgba(0,0,0,0)",5624,6694,208372,1,/html,SECTIONS HOME SEARCH...next story,0
131,0,body,14,1,1,0.000202839756592,0.0615097856477,0.0,0,0,1920,3359,"rgb(51,51,51)","rgb(255,255,255)",5624,6694,179199,1,/html/body,SECTIONS HOME SEARCH...next story,0
132,131,div,2,1,1,0.000202839756592,0.0619757688723,0.0,0,0,1920,0,"rgb(51,51,51)","rgb(233,235,228)",0,0,334,1,/html/body/div[1],,0
133,132,div,1,1,1,0.000202839756592,0.0624417520969,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,128,0,/html/body/div[1]/div[1],,0
134,133,div,0,1,1,0.000202839756592,0.0629077353215,0.0,0,0,0,0,"rgb(51,51,51)","rgb(235,245,250)",0,0,31,1,/html/body/div[1]/div[1]/div,,0
135,132,div,1,1,1,0.000202839756592,0.0633737185461,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,140,0,/html/body/div[1]/div[2],,0
136,135,div,0,1,1,0.000202839756592,0.0638397017707,0.0,0,0,0,0,"rgb(51,51,51)","rgb(255,255,255)",0,0,31,1,/html/body/div[1]/div[2]/div,,0
137,131,div,1,1,1,0.000202839756592,0.0643056849953,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,125,0,/html/body/div[2],,0
138,137,div,0,1,1,0.000202839756592,0.0647716682199,0.0,0,0,0,0,"rgb(51,51,51)","rgb(248,248,212)",0,0,31,1,/html/body/div[2]/div,,0
139,131,style,0,1,3,0.000608519269777,0.0652376514445,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",747,830,847,0,/html/body/style,.lt-ie10 .messenger....portant; },0
140,131,div,5,1,45,0.00912778904665,0.0657036346692,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",89,104,534,0,/html/body/div[3],NYTimes.com no longe...ARN MORE »,0
141,140,div,4,1,46,0.00933062880325,0.0661696178938,0.0,0,0,0,0,"rgb(51,51,51)","rgb(248,248,212)",89,104,425,1,/html/body/div[3]/div,NYTimes.com no longe...ARN MORE »,0
142,141,div,3,1,47,0.00953346855984,0.0666356011184,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",89,104,392,1,/html/body/div[3]/div/div,NYTimes.com no longe...ARN MORE »,0
143,142,div,2,1,48,0.00973630831643,0.067101584343,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",89,104,330,1,/html/body/div[3]/div/div/div,NYTimes.com no longe...ARN MORE »,0
144,143,span,1,1,49,0.00993914807302,0.0675675675676,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",89,104,301,1,/html/body/div[3]/div/div/div/span,NYTimes.com no longe...ARN MORE »,0
145,144,i,0,1,50,0.0101419878296,0.0680335507922,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,31,0,/html/body/div[3]/div/div/div/span/i,,0
146,144,span,0,1,50,0.0101419878296,0.0684995340168,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",79,91,126,1,/html/body/div[3]/div/div/div/span/span,NYTimes.com no longe...r browser.,0
147,144,a,0,1,51,0.0103448275862,0.0689655172414,0.0,0,0,0,0,"rgb(50,104,145)","rgba(0,0,0,0)",10,12,104,1,/html/body/div[3]/div/div/div/span/a,LEARN MORE »,0
148,131,div,13,1,58,0.0117647058824,0.069431500466,0.0815104166667,156.5,0,1607,3359,"rgb(51,51,51)","rgba(0,0,0,0)",5624,6694,107818,1,/html/body/div[4],SECTIONS HOME SEARCH...next story,0
149,148,header,12,1,59,0.0119675456389,0.0698974836906,0.0815104166667,156.5,0,1607,48,"rgb(51,51,51)","rgb(255,255,255)",104,121,16024,1,/html/body/div[4]/header,SECTIONS HOME SEARCH...N SETTINGS,0
150,149,div,11,1,60,0.0121703853955,0.0703634669152,0.08203125,157.5,0,1605,48,"rgb(51,51,51)","rgba(0,0,0,0)",104,121,14697,1,/html/body/div[4]/header/div[1],SECTIONS HOME SEARCH...N SETTINGS,0
151,150,div,1,1,60,0.0121703853955,0.0708294501398,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,143,0,/html/body/div[4]/header/div[1]/div[1],,0
152,151,div,0,1,60,0.0121703853955,0.0712954333644,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,31,1,/html/body/div[4]/header/div[1]/div[1]/div,,0
153,150,div,2,1,61,0.0123732251521,0.071761416589,0.07421875,142.5,8,274.671875,30,"rgb(51,51,51)","rgba(0,0,0,0)",64,72,952,1,/html/body/div[4]/header/div[1]/div[2],SECTIONS HOME SEARCH...LE VERSION,0
154,153,button,1,1,62,0.0125760649087,0.0722273998136,0.07421875,142.5,8,103.09375,30,"rgb(51,51,51)","rgb(255,255,255)",8,8,121,1,/html/body/div[4]/header/div[1]/div[2]/button[1],SECTIONS,0
155,154,i,0,1,62,0.0125760649087,0.0726933830382,0.0794270833333,152.5,15,16,16,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,32,1,/html/body/div[4]/header/div[1]/div[2]/button[1]/i,,0
156,154,span,0,1,62,0.0125760649087,0.0731593662628,0.0924479166667,177.5,17,51.09375,13,"rgb(51,51,51)","rgba(0,0,0,0)",8,8,41,1,/html/body/div[4]/header/div[1]/div[2]/button[1]/span,SECTIONS,0
157,153,button,1,1,63,0.0127789046653,0.0736253494874,0.132600911458,254.59375,8,75.015625,30,"rgb(51,51,51)","rgba(0,0,0,0)",4,4,210,1,/html/body/div[4]/header/div[1]/div[2]/button[2],HOME,0
158,157,i,0,1,63,0.0127789046653,0.074091332712,0.137288411458,263.59375,15,16,16,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,32,1,/html/body/div[4]/header/div[1]/div[2]/button[2]/i,,0
