id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.000178157847853,0.000344471236652,0.0,0,0,1920,4694,"rgb(0,0,0)","rgba(0,0,0,0)",7220,8540,261414,1,/html,SECTIONS HOME SEARCH...next story,0
142,0,body,16,1,1,0.000178157847853,0.0492593868412,0.0,0,0,1920,4694,"rgb(51,51,51)","rgb(255,255,255)",7220,8540,230055,1,/html/body,SECTIONS HOME SEARCH...next story,0
143,142,div,2,1,1,0.000178157847853,0.0496038580779,0.0,0,0,1920,0,"rgb(51,51,51)","rgb(233,235,228)",0,0,334,1,/html/body/div[1],,0
144,143,div,1,1,1,0.000178157847853,0.0499483293145,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,128,0,/html/body/div[1]/div[1],,0
145,144,div,0,1,1,0.000178157847853,0.0502928005512,0.0,0,0,0,0,"rgb(51,51,51)","rgb(235,245,250)",0,0,31,1,/html/body/div[1]/div[1]/div,,0
146,143,div,1,1,1,0.000178157847853,0.0506372717878,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,140,0,/html/body/div[1]/div[2],,0
147,146,div,0,1,1,0.000178157847853,0.0509817430245,0.0,0,0,0,0,"rgb(51,51,51)","rgb(255,255,255)",0,0,31,1,/html/body/div[1]/div[2]/div,,0
148,142,div,1,1,1,0.000178157847853,0.0513262142611,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,125,0,/html/body/div[2],,0
149,148,div,0,1,1,0.000178157847853,0.0516706854978,0.0,0,0,0,0,"rgb(51,51,51)","rgb(248,248,212)",0,0,31,1,/html/body/div[2]/div,,0
150,142,style,0,1,3,0.00053447354356,0.0520151567344,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",747,830,847,0,/html/body/style,.lt-ie10 .messenger....portant; },0
