id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,17,1,1,0.000210748155954,0.00046685340803,0.0,0,0,1920,6243,"rgb(0,0,0)","rgba(0,0,0,0)",9376,11097,208388,1,/html,SECTIONS HOME SEARCH...next story,0
139,0,body,16,1,1,0.000210748155954,0.0653594771242,0.0,0,0,1920,6243,"rgb(51,51,51)","rgb(255,255,255)",9376,11097,177545,1,/html/body,SECTIONS HOME SEARCH...next story,0
140,139,div,2,1,1,0.000210748155954,0.0658263305322,0.0,0,0,1920,0,"rgb(51,51,51)","rgb(233,235,228)",0,0,334,1,/html/body/div[1],,0
141,140,div,1,1,1,0.000210748155954,0.0662931839402,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,128,0,/html/body/div[1]/div[1],,0
142,141,div,0,1,1,0.000210748155954,0.0667600373483,0.0,0,0,0,0,"rgb(51,51,51)","rgb(235,245,250)",0,0,31,1,/html/body/div[1]/div[1]/div,,0
143,140,div,1,1,1,0.000210748155954,0.0672268907563,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,140,0,/html/body/div[1]/div[2],,0
144,143,div,0,1,1,0.000210748155954,0.0676937441643,0.0,0,0,0,0,"rgb(51,51,51)","rgb(255,255,255)",0,0,31,1,/html/body/div[1]/div[2]/div,,0
145,139,div,1,1,1,0.000210748155954,0.0681605975724,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",0,0,125,0,/html/body/div[2],,0
146,145,div,0,1,1,0.000210748155954,0.0686274509804,0.0,0,0,0,0,"rgb(51,51,51)","rgb(248,248,212)",0,0,31,1,/html/body/div[2]/div,,0
147,139,style,0,1,3,0.000632244467861,0.0690943043884,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",747,830,847,0,/html/body/style,.lt-ie10 .messenger....portant; },0
148,139,div,5,1,45,0.00948366701791,0.0695611577965,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",89,104,534,0,/html/body/div[3],NYTimes.com no longe...ARN MORE »,0
149,148,div,4,1,46,0.00969441517387,0.0700280112045,0.0,0,0,0,0,"rgb(51,51,51)","rgb(248,248,212)",89,104,425,1,/html/body/div[3]/div,NYTimes.com no longe...ARN MORE »,0
150,149,div,3,1,47,0.00990516332982,0.0704948646125,0.0,0,0,0,0,"rgb(51,51,51)","rgba(0,0,0,0)",89,104,392,1,/html/body/div[3]/div/div,NYTimes.com no longe...ARN MORE »,0
151,150,div,2,1,48,0.0101159114858,0.0709617180205,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",89,104,330,1,/html/body/div[3]/div/div/div,NYTimes.com no longe...ARN MORE »,0
152,151,span,1,1,49,0.0103266596417,0.0714285714286,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",89,104,301,1,/html/body/div[3]/div/div/div/span,NYTimes.com no longe...ARN MORE »,0
153,152,i,0,1,50,0.0105374077977,0.0718954248366,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,31,0,/html/body/div[3]/div/div/div/span/i,,0
154,152,span,0,1,50,0.0105374077977,0.0723622782446,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",79,91,126,1,/html/body/div[3]/div/div/div/span/span,NYTimes.com no longe...r browser.,0
155,152,a,0,1,51,0.0107481559536,0.0728291316527,0.0,0,0,0,0,"rgb(50,104,145)","rgba(0,0,0,0)",10,12,104,1,/html/body/div[3]/div/div/div/span/a,LEARN MORE »,0
156,139,div,15,1,58,0.0122233930453,0.0732959850607,0.0815104166667,156.5,0,1607,6243,"rgb(51,51,51)","rgba(0,0,0,0)",9376,11097,104933,1,/html/body/div[4],SECTIONS HOME SEARCH...next story,0
157,156,header,12,1,59,0.0124341412013,0.0737628384687,0.0815104166667,156.5,0,1607,48,"rgb(51,51,51)","rgb(255,255,255)",104,121,16119,1,/html/body/div[4]/header,SECTIONS HOME SEARCH...N SETTINGS,0
