id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,11,1,1,0.00101419878296,0.00157977883096,0.0,0,0,1920,3654,"rgb(0,0,0)","rgba(0,0,0,0)",6737,8041,47008,1,/html,Press Room | About |...bs Contact,0
53,0,body,10,1,1,0.00101419878296,0.085308056872,0.0,0,0,1920,3644,"rgb(0,0,0)","rgb(255,255,255)",6737,8041,40178,1,/html/body,Press Room | About |...bs Contact,0
61,53,div,3,1,31,0.0314401622718,0.0979462875197,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,905,1,/html/body/div[1],,0
62,61,div,2,1,31,0.0314401622718,0.0995260663507,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,863,1,/html/body/div[1]/div,,0
63,62,div,1,1,31,0.0314401622718,0.101105845182,0.0,0,-10000,0,310,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,784,1,/html/body/div[1]/div/div,,0
64,63,iframe,0,1,31,0.0314401622718,0.102685624013,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,385,1,/html/body/div[1]/div/div/iframe[1],,0
65,63,iframe,0,1,31,0.0314401622718,0.104265402844,0.0,0,-9845,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,388,1,/html/body/div[1]/div/div/iframe[2],,0
67,53,div,2,1,41,0.0415821501014,0.107424960506,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,405,0,/html/body/div[2],,0
68,67,a,1,1,42,0.0425963488844,0.109004739336,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,117,1,/html/body/div[2]/a[1],,0
69,68,img,0,1,43,0.0436105476673,0.110584518167,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,74,1,/html/body/div[2]/a[1]/img,,0
70,67,a,1,1,44,0.0446247464503,0.112164296998,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,131,1,/html/body/div[2]/a[2],,0
71,70,img,0,1,44,0.0446247464503,0.113744075829,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/a[2]/img,,0
72,67,a,1,1,45,0.0456389452333,0.11532385466,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,127,1,/html/body/div[2]/a[3],,0
73,72,img,0,1,46,0.0466531440162,0.116903633491,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,78,1,/html/body/div[2]/a[3]/img,,0
74,53,div,9,1,48,0.0486815415822,0.118483412322,0.244791666667,470,0,980,3644,"rgb(0,0,0)","rgb(255,255,255)",6737,8041,35180,1,/html/body/div[3],Press Room | About |...bs Contact,0
75,74,div,5,1,49,0.0496957403651,0.120063191153,0.244791666667,470,0,980,85,"rgb(0,0,0)","rgba(0,0,0,0)",23,28,1961,1,/html/body/div[3]/div[1],Press Room | About | Contact,0
76,75,div,0,1,51,0.051724137931,0.121642969984,0.260416666667,500,0,400,85,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,97,1,/html/body/div[3]/div[1]/div[1],,0
77,75,div,4,1,53,0.053752535497,0.123222748815,0.244791666667,470,85,980,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1236,1,/html/body/div[3]/div[1]/div[2],,0
78,77,ul,3,1,54,0.0547667342799,0.124802527646,0.4546875,873,0,562,30,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1181,1,/html/body/div[3]/div[1]/div[2]/ul,,0
79,78,li,2,1,55,0.0557809330629,0.126382306477,0.475520833333,913,8,48,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,116,1,/html/body/div[3]/div[1]/div[2]/ul/li[1],,0
80,79,a,1,1,55,0.0557809330629,0.127962085308,0.475520833333,913,8,48,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,107,1,/html/body/div[3]/div[1]/div[2]/ul/li[1]/a,,0
81,80,img,0,1,55,0.0557809330629,0.129541864139,0.475520833333,913,1,48,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[1]/a/img,,0
82,78,li,2,1,56,0.0567951318458,0.13112164297,0.503125,966,8,37,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,117,1,/html/body/div[3]/div[1]/div[2]/ul/li[2],,0
83,82,a,1,1,56,0.0567951318458,0.132701421801,0.503125,966,8,37,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,108,1,/html/body/div[3]/div[1]/div[2]/ul/li[2]/a,,0
