id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,11,1,1,0.000999000999001,0.0015455950541,0.0,0,0,1920,3845,"rgb(0,0,0)","rgba(0,0,0,0)",8476,10119,49134,1,/html,Press Room | About |...bs Contact,0
53,0,body,10,1,1,0.000999000999001,0.0834621329212,0.0,0,0,1920,3835,"rgb(0,0,0)","rgb(255,255,255)",8476,10119,42621,1,/html/body,Press Room | About |...bs Contact,0
61,53,div,3,1,31,0.030969030969,0.0958268933539,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,903,1,/html/body/div[1],,0
62,61,div,2,1,31,0.030969030969,0.097372488408,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,861,1,/html/body/div[1]/div,,0
63,62,div,1,1,31,0.030969030969,0.0989180834621,0.0,0,-10000,0,310,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,782,1,/html/body/div[1]/div/div,,0
64,63,iframe,0,1,31,0.030969030969,0.100463678516,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,384,1,/html/body/div[1]/div/div/iframe[1],,0
65,63,iframe,0,1,31,0.030969030969,0.10200927357,0.0,0,-9845,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,387,1,/html/body/div[1]/div/div/iframe[2],,0
67,53,div,2,1,41,0.040959040959,0.105100463679,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,405,0,/html/body/div[2],,0
68,67,a,1,1,42,0.041958041958,0.106646058733,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,117,1,/html/body/div[2]/a[1],,0
69,68,img,0,1,43,0.042957042957,0.108191653787,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,74,1,/html/body/div[2]/a[1]/img,,0
70,67,a,1,1,44,0.043956043956,0.109737248841,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,131,1,/html/body/div[2]/a[2],,0
71,70,img,0,1,44,0.043956043956,0.111282843895,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/a[2]/img,,0
72,67,a,1,1,45,0.044955044955,0.112828438949,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,127,1,/html/body/div[2]/a[3],,0
73,72,img,0,1,46,0.045954045954,0.114374034003,0.0,0,0,0,0,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,78,1,/html/body/div[2]/a[3]/img,,0
74,53,div,9,1,48,0.047952047952,0.115919629057,0.244791666667,470,0,980,3835,"rgb(0,0,0)","rgb(255,255,255)",8476,10119,37627,1,/html/body/div[3],Press Room | About |...bs Contact,0
75,74,div,5,1,49,0.048951048951,0.117465224111,0.244791666667,470,0,980,85,"rgb(0,0,0)","rgba(0,0,0,0)",23,28,1961,1,/html/body/div[3]/div[1],Press Room | About | Contact,0
76,75,div,0,1,51,0.0509490509491,0.119010819165,0.260416666667,500,0,400,85,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,97,1,/html/body/div[3]/div[1]/div[1],,0
77,75,div,4,1,53,0.0529470529471,0.120556414219,0.244791666667,470,85,980,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1236,1,/html/body/div[3]/div[1]/div[2],,0
78,77,ul,3,1,54,0.0539460539461,0.122102009274,0.4546875,873,0,562,30,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1181,1,/html/body/div[3]/div[1]/div[2]/ul,,0
79,78,li,2,1,55,0.0549450549451,0.123647604328,0.475520833333,913,8,48,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,116,1,/html/body/div[3]/div[1]/div[2]/ul/li[1],,0
80,79,a,1,1,55,0.0549450549451,0.125193199382,0.475520833333,913,8,48,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,107,1,/html/body/div[3]/div[1]/div[2]/ul/li[1]/a,,0
81,80,img,0,1,55,0.0549450549451,0.126738794436,0.475520833333,913,1,48,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[1]/a/img,,0
82,78,li,2,1,56,0.0559440559441,0.12828438949,0.503125,966,8,37,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,117,1,/html/body/div[3]/div[1]/div[2]/ul/li[2],,0
83,82,a,1,1,56,0.0559440559441,0.129829984544,0.503125,966,8,37,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,108,1,/html/body/div[3]/div[1]/div[2]/ul/li[2]/a,,0
84,83,img,0,1,56,0.0559440559441,0.131375579598,0.503125,966,1,37,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[2]/a/img,,0
85,78,li,2,1,57,0.0569430569431,0.132921174652,0.525,1008,8,42,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,115,1,/html/body/div[3]/div[1]/div[2]/ul/li[3],,0
86,85,a,1,1,57,0.0569430569431,0.134466769706,0.525,1008,8,42,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,106,1,/html/body/div[3]/div[1]/div[2]/ul/li[3]/a,,0
87,86,img,0,1,57,0.0569430569431,0.13601236476,0.525,1008,1,42,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[3]/a/img,,0
88,78,li,2,1,58,0.0579420579421,0.137557959815,0.549479166667,1055,8,52,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,114,1,/html/body/div[3]/div[1]/div[2]/ul/li[4],,0
89,88,a,1,1,58,0.0579420579421,0.139103554869,0.549479166667,1055,8,52,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[3]/div[1]/div[2]/ul/li[4]/a,,0
90,89,img,0,1,58,0.0579420579421,0.140649149923,0.549479166667,1055,1,52,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[4]/a/img,,0
91,78,li,2,1,59,0.0589410589411,0.142194744977,0.579166666667,1112,8,47,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,111,1,/html/body/div[3]/div[1]/div[2]/ul/li[5],,0
92,91,a,1,1,59,0.0589410589411,0.143740340031,0.579166666667,1112,8,47,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,102,1,/html/body/div[3]/div[1]/div[2]/ul/li[5]/a,,0
93,92,img,0,1,59,0.0589410589411,0.145285935085,0.579166666667,1112,1,47,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[5]/a/img,,0
94,78,li,2,1,60,0.0599400599401,0.146831530139,0.60625,1164,8,34,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,113,1,/html/body/div[3]/div[1]/div[2]/ul/li[6],,0
95,94,a,1,1,60,0.0599400599401,0.148377125193,0.60625,1164,8,34,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,104,1,/html/body/div[3]/div[1]/div[2]/ul/li[6]/a,,0
96,95,img,0,1,60,0.0599400599401,0.149922720247,0.60625,1164,1,34,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[6]/a/img,,0
97,78,li,2,1,61,0.0609390609391,0.151468315301,0.6265625,1203,8,60,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,115,1,/html/body/div[3]/div[1]/div[2]/ul/li[7],,0
98,97,a,1,1,61,0.0609390609391,0.153013910355,0.6265625,1203,8,60,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,106,1,/html/body/div[3]/div[1]/div[2]/ul/li[7]/a,,0
99,98,img,0,1,61,0.0609390609391,0.15455950541,0.6265625,1203,0,60,25,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[7]/a/img,,0
100,78,li,2,1,62,0.0619380619381,0.156105100464,0.660416666667,1268,8,47,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,114,1,/html/body/div[3]/div[1]/div[2]/ul/li[8],,0
101,100,a,1,1,62,0.0619380619381,0.157650695518,0.660416666667,1268,8,47,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[3]/div[1]/div[2]/ul/li[8]/a,,0
102,101,img,0,1,62,0.0619380619381,0.159196290572,0.660416666667,1268,1,47,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[8]/a/img,,0
103,78,li,2,1,63,0.0629370629371,0.160741885626,0.6875,1320,8,62,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,118,1,/html/body/div[3]/div[1]/div[2]/ul/li[9],,0
104,103,a,1,1,63,0.0629370629371,0.16228748068,0.6875,1320,8,62,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,109,1,/html/body/div[3]/div[1]/div[2]/ul/li[9]/a,,0
105,104,img,0,1,63,0.0629370629371,0.163833075734,0.6875,1320,1,62,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[9]/a/img,,0
106,78,li,2,1,64,0.0639360639361,0.165378670788,0.722395833333,1387,8,48,21,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,115,1,/html/body/div[3]/div[1]/div[2]/ul/li[10],,0
107,106,a,1,1,64,0.0639360639361,0.166924265842,0.722395833333,1387,8,48,21,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,106,1,/html/body/div[3]/div[1]/div[2]/ul/li[10]/a,,0
108,107,img,0,1,64,0.0639360639361,0.168469860896,0.722395833333,1387,1,48,24,"rgb(0,0,238)","rgba(0,0,0,0)",0,0,83,1,/html/body/div[3]/div[1]/div[2]/ul/li[10]/a/img,,0
109,75,div,3,1,68,0.0679320679321,0.170015455951,0.528645833333,1015,45,408,22,"rgb(0,0,0)","rgba(0,0,0,0)",23,28,574,1,/html/body/div[3]/div[1]/div[3],Press Room | About | Contact,0
110,109,div,1,1,69,0.0689310689311,0.171561051005,0.528645833333,1015,45,140,19,"rgb(204,204,204)","rgba(0,0,0,0)",23,28,147,1,/html/body/div[3]/div[1]/div[3]/div[1],Press Room | About | Contact,0
111,110,a,0,1,70,0.0699300699301,0.173106646059,0.528645833333,1015,51,58,12,"rgb(204,204,204)","rgba(0,0,0,0)",9,10,41,1,/html/body/div[3]/div[1]/div[3]/div[1]/a[1],Press Room,0
112,110,a,0,1,71,0.0709290709291,0.174652241113,0.563020833333,1081,51,29,12,"rgb(204,204,204)","rgba(0,0,0,0)",5,5,27,1,/html/body/div[3]/div[1]/div[3]/div[1]/a[2],About,0
113,110,a,0,1,72,0.0719280719281,0.176197836167,0.582291666667,1118,51,37,12,"rgb(204,204,204)","rgba(0,0,0,0)",7,7,46,1,/html/body/div[3]/div[1]/div[3]/div[1]/a[3],Contact,0
114,109,div,2,1,75,0.0749250749251,0.177743431221,0.6015625,1155,45,268,22,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,364,1,/html/body/div[3]/div[1]/div[3]/div[2],,0
115,114,form,1,1,76,0.0759240759241,0.179289026275,0.6015625,1155,45,268,22,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,333,1,/html/body/div[3]/div[1]/div[3]/div[2]/form,,0
116,115,input,0,1,77,0.0769230769231,0.180834621329,0.606770833333,1165,45,237,22,"rgb(153,153,153)","rgb(255,255,255)",0,0,148,1,/html/body/div[3]/div[1]/div[3]/div[2]/form/input[1],,0
117,115,input,0,1,78,0.0779220779221,0.182380216383,0.7296875,1401,47,22,22,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,126,1,/html/body/div[3]/div[1]/div[3]/div[2]/form/input[2],,0
118,74,div,4,1,84,0.0839160839161,0.183925811437,0.244791666667,470,85,980,0,"rgb(0,0,0)","rgba(0,0,0,0)",97,112,1268,1,/html/body/div[3]/div[2],Home Cambodia China ...mmentaries,0
119,118,div,3,1,85,0.0849150849151,0.185471406491,0.2421875,465,85,990,41,"rgb(0,0,0)","rgb(255,255,255)",97,112,1208,1,/html/body/div[3]/div[2]/div,Home Cambodia China ...mmentaries,0
120,119,ul,2,1,87,0.0869130869131,0.187017001546,0.2421875,465,84,990,41,"rgb(0,0,0)","rgba(0,0,0,0)",97,112,1184,1,/html/body/div[3]/div[2]/div/ul,Home Cambodia China ...mmentaries,0
121,120,li,1,1,89,0.0889110889111,0.1885625966,0.252498372396,484.796875,85,54,41,"rgb(0,0,0)","rgba(0,0,0,0)",4,4,108,1,/html/body/div[3]/div[2]/div/ul/li[1],Home,0
122,121,a,0,1,90,0.0899100899101,0.190108191654,0.257706705729,494.796875,98,34,14,"rgb(0,0,0)","rgba(0,0,0,0)",4,4,45,1,/html/body/div[3]/div[2]/div/ul/li[1]/a,Home,0
123,120,li,0,1,92,0.0919080919081,0.191653786708,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,39,0,/html/body/div[3]/div[2]/div/ul/li[2],,0
124,120,li,1,1,97,0.0969030969031,0.193199381762,0.280623372396,538.796875,85,79,41,"rgb(0,0,0)","rgb(0,64,129)",8,8,98,1,/html/body/div[3]/div[2]/div/ul/li[3],Cambodia,0
125,124,a,0,1,98,0.0979020979021,0.194744976816,0.286352539063,549.796875,98,58,14,"rgb(255,255,255)","rgba(0,0,0,0)",8,8,63,1,/html/body/div[3]/div[2]/div/ul/li[3]/a,Cambodia,0
126,120,li,1,1,102,0.101898101898,0.19629057187,0.321769205729,617.796875,85,54,41,"rgb(0,0,0)","rgba(0,0,0,0)",5,5,68,1,/html/body/div[3]/div[2]/div/ul/li[4],China,0
127,126,a,0,1,103,0.102897102897,0.197836166924,0.327498372396,628.796875,98,33,14,"rgb(0,0,0)","rgba(0,0,0,0)",5,5,57,1,/html/body/div[3]/div[2]/div/ul/li[4]/a,China,0
128,120,li,1,1,107,0.106893106893,0.199381761978,0.349894205729,671.796875,85,49,41,"rgb(0,0,0)","rgba(0,0,0,0)",4,4,66,1,/html/body/div[3]/div[2]/div/ul/li[5],Laos,0
129,128,a,0,1,108,0.107892107892,0.200927357032,0.355623372396,682.796875,98,28,14,"rgb(0,0,0)","rgba(0,0,0,0)",4,4,55,1,/html/body/div[3]/div[2]/div/ul/li[5]/a,Laos,0
130,120,li,1,1,112,0.111888111888,0.202472952087,0.375415039063,720.796875,85,71,41,"rgb(0,0,0)","rgba(0,0,0,0)",7,7,72,1,/html/body/div[3]/div[2]/div/ul/li[6],Myanmar,0
131,130,a,0,1,113,0.112887112887,0.204018547141,0.381144205729,731.796875,98,50,14,"rgb(0,0,0)","rgba(0,0,0,0)",7,7,61,1,/html/body/div[3]/div[2]/div/ul/li[6]/a,Myanmar,0
132,120,li,1,1,117,0.116883116883,0.205564142195,0.412394205729,791.796875,85,87,41,"rgb(0,0,0)","rgba(0,0,0,0)",10,11,74,1,/html/body/div[3]/div[2]/div/ul/li[7],North Korea,0
133,132,a,0,1,118,0.117882117882,0.207109737249,0.418123372396,802.796875,98,66,14,"rgb(0,0,0)","rgba(0,0,0,0)",10,11,63,1,/html/body/div[3]/div[2]/div/ul/li[7]/a,North Korea,0
