id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,24,1,1,0.000251635631605,0.000226449275362,0.0,0,0,1920,4049,"rgb(0,0,0)","rgba(0,0,0,0)",5763,6887,563372,1,/html,Skip to main content... reserved.,0
128,0,body,23,1,1,0.000251635631605,0.0292119565217,0.0,0,0,1920,4049,"rgb(0,0,0)","rgb(255,255,255)",5763,6887,520410,1,/html/body,Skip to main content... reserved.,0
130,128,noscript,0,1,6,0.00150981378963,0.0296648550725,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",138,142,175,1,/html/body/noscript,<iframe data-origina...></iframe>,0
132,128,div,1,1,9,0.00226472068445,0.0301177536232,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",17,20,120,1,/html/body/div[1],Skip to main content,0
133,132,a,0,1,10,0.00251635631605,0.0303442028986,0.0,0,0,120,1,"rgb(51,122,183)","rgba(0,0,0,0)",17,20,92,1,/html/body/div[1]/a,Skip to main content,0
134,128,div,4,1,12,0.00301962757927,0.0305706521739,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1830,1,/html/body/div[2],,0
135,134,div,0,1,13,0.00327126321087,0.0307971014493,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,70,0,/html/body/div[2]/div[1],,0
136,134,div,3,1,13,0.00327126321087,0.0310235507246,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1140,1,/html/body/div[2]/div[2],,0
138,136,div,2,1,13,0.00327126321087,0.0314764492754,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,935,1,/html/body/div[2]/div[2]/div[1],,0
139,138,div,1,1,13,0.00327126321087,0.0317028985507,0.0,0,-10000,0,300,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,856,1,/html/body/div[2]/div[2]/div[1]/div,,0
140,139,iframe,0,1,13,0.00327126321087,0.0319293478261,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,421,1,/html/body/div[2]/div[2]/div[1]/div/iframe[1],,0
141,139,iframe,0,1,13,0.00327126321087,0.0321557971014,0.0,0,-9850,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,424,1,/html/body/div[2]/div[2]/div[1]/div/iframe[2],,0
142,136,div,1,1,13,0.00327126321087,0.0323822463768,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/div[2]/div[2],,0
143,142,div,0,1,13,0.00327126321087,0.0326086956522,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[2]/div[2]/div[2]/div,,0
145,128,header,22,1,37,0.0093105183694,0.0330615942029,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,31634,1,/html/body/header,South China Morning ...LE .TV ALL,0
146,145,div,21,1,38,0.00956215400101,0.0332880434783,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,31560,1,/html/body/header/div,South China Morning ...LE .TV ALL,0
147,146,section,20,1,39,0.00981378963261,0.0335144927536,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,31518,1,/html/body/header/div/section,South China Morning ...LE .TV ALL,0
148,147,div,19,1,42,0.0105686965274,0.033740942029,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,31419,1,/html/body/header/div/section/div,South China Morning ...LE .TV ALL,0
149,148,div,18,1,43,0.010820332159,0.0339673913043,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,31334,1,/html/body/header/div/section/div/div,South China Morning ...LE .TV ALL,0
150,149,div,17,1,44,0.0110719677906,0.0341938405797,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,31291,1,/html/body/header/div/section/div/div/div,South China Morning ...LE .TV ALL,0
151,150,div,16,1,44,0.0110719677906,0.0344202898551,0.0,0,0,1920,139,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,30263,1,/html/body/header/div/section/div/div/div/div[1],South China Morning ...LE .TV ALL,0
152,151,div,15,1,49,0.0123301459487,0.0346467391304,0.0,0,0,1920,139,"rgb(0,0,0)","rgba(0,0,0,0)",211,248,30201,1,/html/body/header/div/section/div/div/div/div[1]/div,South China Morning ...LE .TV ALL,0
153,152,div,14,1,50,0.0125817815803,0.0348731884058,0.0,0,0,1920,139,"rgb(255,255,255)","rgb(0,99,145)",211,248,30167,1,/html/body/header/div/section/div/div/div/div[1]/div/div,South China Morning ...LE .TV ALL,0
154,153,div,5,1,51,0.0128334172119,0.0350996376812,0.166666666667,320,0,1280,37,"rgb(255,255,255)","rgba(0,0,0,0)",91,101,1746,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1],South China Morning ...EWSLETTERS,0
155,154,div,4,1,52,0.0130850528435,0.0353260869565,0.171875,330,12,383,25,"rgb(255,255,255)","rgba(0,0,0,0)",42,47,818,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1]/div[1],South China Morning ...ERNATIONAL,0
