id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,24,1,1,0.000252844500632,0.000230574129583,0.0,0,0,1920,4985,"rgb(0,0,0)","rgba(0,0,0,0)",6353,7579,549138,1,/html,Skip to main content... reserved.,0
129,0,body,23,1,1,0.000252844500632,0.0299746368457,0.0,0,0,1920,4985,"rgb(0,0,0)","rgb(255,255,255)",6353,7579,506041,1,/html/body,Skip to main content... reserved.,0
131,129,noscript,0,1,6,0.00151706700379,0.0304357851049,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",138,142,175,1,/html/body/noscript,<iframe data-origina...></iframe>,0
133,129,div,1,1,9,0.00227560050569,0.0308969333641,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",17,20,120,1,/html/body/div[1],Skip to main content,0
134,133,a,0,1,10,0.00252844500632,0.0311275074937,0.0,0,0,120,1,"rgb(51,122,183)","rgba(0,0,0,0)",17,20,92,1,/html/body/div[1]/a,Skip to main content,0
135,129,div,4,1,12,0.00303413400759,0.0313580816232,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1830,1,/html/body/div[2],,0
136,135,div,0,1,13,0.00328697850822,0.0315886557528,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,70,0,/html/body/div[2]/div[1],,0
137,135,div,3,1,13,0.00328697850822,0.0318192298824,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1140,1,/html/body/div[2]/div[2],,0
139,137,div,2,1,13,0.00328697850822,0.0322803781416,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,935,1,/html/body/div[2]/div[2]/div[1],,0
140,139,div,1,1,13,0.00328697850822,0.0325109522712,0.0,0,-10000,0,300,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,856,1,/html/body/div[2]/div[2]/div[1]/div,,0
141,140,iframe,0,1,13,0.00328697850822,0.0327415264007,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,421,1,/html/body/div[2]/div[2]/div[1]/div/iframe[1],,0
142,140,iframe,0,1,13,0.00328697850822,0.0329721005303,0.0,0,-9850,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,424,1,/html/body/div[2]/div[2]/div[1]/div/iframe[2],,0
143,137,div,1,1,13,0.00328697850822,0.0332026746599,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/div[2]/div[2],,0
144,143,div,0,1,13,0.00328697850822,0.0334332487895,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[2]/div[2]/div[2]/div,,0
146,129,header,22,1,37,0.00935524652339,0.0338943970487,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,31634,1,/html/body/header,South China Morning ...LE .TV ALL,0
147,146,div,21,1,38,0.00960809102402,0.0341249711782,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,31560,1,/html/body/header/div,South China Morning ...LE .TV ALL,0
148,147,section,20,1,39,0.00986093552465,0.0343555453078,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,31518,1,/html/body/header/div/section,South China Morning ...LE .TV ALL,0
149,148,div,19,1,42,0.0106194690265,0.0345861194374,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,31419,1,/html/body/header/div/section/div,South China Morning ...LE .TV ALL,0
150,149,div,18,1,43,0.0108723135272,0.034816693567,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,31334,1,/html/body/header/div/section/div/div,South China Morning ...LE .TV ALL,0
151,150,div,17,1,44,0.0111251580278,0.0350472676966,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,31291,1,/html/body/header/div/section/div/div/div,South China Morning ...LE .TV ALL,0
152,151,div,16,1,44,0.0111251580278,0.0352778418261,0.0,0,0,1920,139,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,30233,1,/html/body/header/div/section/div/div/div/div[1],South China Morning ...LE .TV ALL,0
153,152,div,15,1,49,0.012389380531,0.0355084159557,0.0,0,0,1920,139,"rgb(0,0,0)","rgba(0,0,0,0)",203,238,30171,1,/html/body/header/div/section/div/div/div/div[1]/div,South China Morning ...LE .TV ALL,0
154,153,div,14,1,50,0.0126422250316,0.0357389900853,0.0,0,0,1920,139,"rgb(255,255,255)","rgb(0,99,145)",203,238,30137,1,/html/body/header/div/section/div/div/div/div[1]/div/div,South China Morning ...LE .TV ALL,0
155,154,div,5,1,51,0.0128950695322,0.0359695642149,0.166666666667,320,0,1280,37,"rgb(255,255,255)","rgba(0,0,0,0)",91,101,1748,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1],South China Morning ...EWSLETTERS,0
156,155,div,4,1,52,0.0131479140329,0.0362001383445,0.171875,330,12,383,25,"rgb(255,255,255)","rgba(0,0,0,0)",42,47,820,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1]/div[1],South China Morning ...ERNATIONAL,0
157,156,a,0,1,53,0.0134007585335,0.0364307124741,0.171875,330,16,189,17,"rgba(0,0,0,0)","rgba(0,0,0,0)",21,24,170,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1]/div[1]/a,South China Morning Post,0
158,156,div,3,1,54,0.0136536030341,0.0366612866036,0.277604166667,533,12,180,25,"rgb(255,255,255)","rgba(0,0,0,0)",21,22,610,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1]/div[1]/div,EDITION: INTERNATIONAL,0
159,158,h2,1,1,55,0.0139064475348,0.0368918607332,0.277604166667,533,12,180,25,"rgb(255,255,255)","rgb(0,51,102)",21,22,87,1,/html/body/header/div/section/div/div/div/div[1]/div/div/div[1]/div[1]/div/h2,EDITION: INTERNATIONAL,0
