id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,24,1,1,0.000255232261358,0.000228937728938,0.0,0,0,1920,4084,"rgb(0,0,0)","rgba(0,0,0,0)",5929,7102,553702,1,/html,Skip to main content... reserved.,0
128,0,body,23,1,1,0.000255232261358,0.029532967033,0.0,0,0,1920,4084,"rgb(0,0,0)","rgb(255,255,255)",5929,7102,509504,1,/html/body,Skip to main content... reserved.,0
130,128,noscript,0,1,6,0.00153139356815,0.0299908424908,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",138,142,175,1,/html/body/noscript,<iframe data-origina...></iframe>,0
132,128,div,1,1,9,0.00229709035222,0.0304487179487,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",17,20,120,1,/html/body/div[1],Skip to main content,0
133,132,a,0,1,10,0.00255232261358,0.0306776556777,0.0,0,0,120,1,"rgb(51,122,183)","rgba(0,0,0,0)",17,20,92,1,/html/body/div[1]/a,Skip to main content,0
134,128,div,4,1,12,0.00306278713629,0.0309065934066,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1826,1,/html/body/div[2],,0
135,134,div,0,1,13,0.00331801939765,0.0311355311355,0.0,0,0,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,70,0,/html/body/div[2]/div[1],,0
136,134,div,3,1,13,0.00331801939765,0.0313644688645,0.0,0,0,1920,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,1136,1,/html/body/div[2]/div[2],,0
138,136,div,2,1,13,0.00331801939765,0.0318223443223,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,931,1,/html/body/div[2]/div[2]/div[1],,0
139,138,div,1,1,13,0.00331801939765,0.0320512820513,0.0,0,-10000,0,300,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,852,1,/html/body/div[2]/div[2]/div[1]/div,,0
140,139,iframe,0,1,13,0.00331801939765,0.0322802197802,0.0,0,-10000,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,419,1,/html/body/div[2]/div[2]/div[1]/div/iframe[1],,0
141,139,iframe,0,1,13,0.00331801939765,0.0325091575092,0.0,0,-9850,300,150,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,422,1,/html/body/div[2]/div[2]/div[1]/div/iframe[2],,0
142,136,div,1,1,13,0.00331801939765,0.0327380952381,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,90,1,/html/body/div[2]/div[2]/div[2],,0
143,142,div,0,1,13,0.00331801939765,0.032967032967,0.0,0,-10000,0,0,"rgb(0,0,0)","rgba(0,0,0,0)",0,0,11,1,/html/body/div[2]/div[2]/div[2]/div,,0
145,128,header,22,1,37,0.00944359367024,0.0334249084249,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",208,245,31627,1,/html/body/header,South China Morning ...LE .TV ALL,0
146,145,div,21,1,38,0.0096988259316,0.0336538461538,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",208,245,31553,1,/html/body/header/div,South China Morning ...LE .TV ALL,0
147,146,section,20,1,39,0.00995405819296,0.0338827838828,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",208,245,31511,1,/html/body/header/div/section,South China Morning ...LE .TV ALL,0
148,147,div,19,1,42,0.010719754977,0.0341117216117,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",208,245,31412,1,/html/body/header/div/section/div,South China Morning ...LE .TV ALL,0
149,148,div,18,1,43,0.0109749872384,0.0343406593407,0.0,0,0,1920,234,"rgb(0,0,0)","rgba(0,0,0,0)",208,245,31327,1,/html/body/header/div/section/div/div,South China Morning ...LE .TV ALL,0
